g,z,tech,fuel,cap_mw,start_year,limit_mw_per_year,why
KAZ_N_ST_Coal_cand,KAZ_N,ST,Coal,10000,2022,10000000,unchanged
KAZ_N_CCGT_Gas_cand,KAZ_N,CCGT,Gas,10000,2021,10000000,unchanged
KAZ_N_CHP_Coal_cand,KAZ_N,CHP,Coal,10000,2022,10000000,unchanged
KAZ_N_GT_Gas_cand,KAZ_N,GT,Gas,10000,2020,10000000,unchanged
KAZ_N_HY_Water_cand,KAZ_N,HY,Water,10000,2022,10000000,unchanged
KAZ_N_PV_Solar_cand_2031,KAZ_N,PV,Solar,42867.2,2031,2143.36,"the rate rises to 6000 MW a year for KAZ in 2031; EPM has one column and cannot step, so this second candidate carries the increment, and it carries it to the end of the run because DeCA stops stating a rate after 2040"
KAZ_N_PV_Solar_cand,KAZ_N,PV,Solar,53583.9,2019,2143.36,"DeCA lets KAZ connect 3000 MW of Solar PV a year from 2026, and this zone carries 71% of the national peak in 2050; the cumulative cap is set to what that rate can deliver over the run, so the rate is what binds and not a round number inherited from a shorter horizon"
KAZ_N_WT_Wind_cand_2031,KAZ_N,WT,Wind,42867.2,2031,2143.36,"the rate rises to 6000 MW a year for KAZ in 2031; EPM has one column and cannot step, so this second candidate carries the increment, and it carries it to the end of the run because DeCA stops stating a rate after 2040"
KAZ_N_WT_Wind_cand,KAZ_N,WT,Wind,53583.9,2020,2143.36,"DeCA lets KAZ connect 3000 MW of Wind a year from 2025, and this zone carries 71% of the national peak in 2050; the cumulative cap is set to what that rate can deliver over the run, so the rate is what binds and not a round number inherited from a shorter horizon"
KAZ_N_ICE_HFO_cand,KAZ_N,ICE,HFO,10000,2019,10000000,unchanged
KAZ_N_ST_UR_cand,KAZ_N,ST,UR,10000,2022,10000000,unchanged
KAZ_S_ST_Coal_cand,KAZ_S,ST,Coal_KAZ_S,10000,2022,10000000,unchanged
KAZ_S_CCGT_Gas_cand,KAZ_S,CCGT,Gas,10000,2021,10000000,"was barred from building anything, opened"
KAZ_S_CHP_Gas_cand,KAZ_S,CHP,Gas,10000,2022,10000000,"was barred from building anything, opened"
KAZ_S_GT_Gas_cand,KAZ_S,GT,Gas,10000,2020,10000000,"was barred from building anything, opened"
KAZ_S_HY_Water_cand,KAZ_S,HY,Water,10000,2022,10000000,unchanged
KAZ_S_PV_Solar_cand_2031,KAZ_S,PV,Solar,17132.8,2031,856.642,"the rate rises to 6000 MW a year for KAZ in 2031; EPM has one column and cannot step, so this second candidate carries the increment, and it carries it to the end of the run because DeCA stops stating a rate after 2040"
KAZ_S_PV_Solar_cand,KAZ_S,PV,Solar,21416.1,2019,856.642,"DeCA lets KAZ connect 3000 MW of Solar PV a year from 2026, and this zone carries 29% of the national peak in 2050; the cumulative cap is set to what that rate can deliver over the run, so the rate is what binds and not a round number inherited from a shorter horizon"
