g,z,book,deca_plant,method,applied,annual_2020,annual_deca,annual_new,note
KAPCHAGAY_HY_2031,KAZ_S,KZ,HPP Kapshagayskaya,deca_profile,deca_profile,0.2618,,0.4231,
UZB_HY_2031,UZB,,,keep_2020,keep_2020,0.4770,,0.4770,
ANDIJAN-1_HY_2031,UZB,UZ,Andijan HPP,deca_level,deca_level,0.4718,0.5811,0.5811,
BAIPAZA_HY_2031,TAJ_S,TJ,Baypazinskaya HPP,deca_level,deca_level,0.4058,0.3689,0.3689,
CHARVAK_HY_2031,UZB,UZ,Chavark HPP,deca_level,deca_level,0.6003,0.3428,0.3428,
GAZALKENT_HY_2031,UZB,UZ,Gazalkent HP,deca_level,deca_level,0.4609,0.3976,0.3976,
KAMBARATA-2_HY_2031,KGZ_N,KG,Kambarata 2,keep_2020,keep_2020,0.5377,,0.5377,
KAMBARATA-2_HY_NEW_2031,KGZ_N,KG,Kambarata 2,keep_2020,keep_2020,0.5002,,0.5002,
KHODZHIKENT_HY_2031,UZB,UZ,Hodjikent HP,deca_level,deca_level,0.5168,0.3874,0.3874,
KURPSAI_HY_2031,KGZ_S,KG,Kurpsay HPP,deca_level,deca_level,0.4655,0.3753,0.3753,
MOYNAK_HY_2031,KAZ_S,KZ,HPP Moynakskaya,deca_profile,deca_profile,0.3135,,0.4145,
SANGTUDA-1_HY_2031,TAJ_S,TJ,Sangtuda-1 HPP,deca_level,deca_level,0.3575,0.3259,0.3259,
SANGTUDA-2_HY_2031,TAJ_S,TJ,Sangtuda-2 HPP,deca_level,deca_level,0.4733,0.3201,0.3201,
SHAMALDYSAI_HY_2031,KGZ_S,KG,Shamaldy HPP,deca_level,deca_level,0.5000,0.429,0.4290,
SHARDARINSKYA_HY_2031,KAZ_S,KZ,HPP Shardaryinskaya,keep_2020,keep_2020,0.5131,,0.5131,
SHULBINSKAYA_HY_2031,KAZ_N,KZ,HPP AES Shulbinskaya,deca_profile,deca_profile,0.3968,,0.3323,
TASH-KUMYR_HY_2031,KGZ_S,KG,TashKum HPP,deca_level,deca_level,0.4837,0.3945,0.3945,
TOKTOGUL_HY_2031,KGZ_S,KG,Toktogul HPP,deca_level,deca_level,0.5309,0.325,0.3250,
TYUYAMUYUNSKAYA_HY_2031,UZB,UZ,Tuyamuyun,deca_level,deca_level,0.4917,0.435,0.4350,
UST-KAMENOGORSK _HPP_HY_2031,KAZ_N,KZ,HPP AES Ust-Kamenogorskaya,deca_profile,deca_profile,0.3968,,0.5648,
ALLAI _KHWAR_HY_2031,PAK_N,,,keep_2020,keep_2020,0.4434,,0.4434,
PAK_N_HY_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
PAK_N_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
CHASHMA_HY_2031,PAK_N,,,keep_2020,keep_2020,0.6494,,0.6494,
DASU _DHP-1_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.6459,,0.6459,
DIAMER _BASHA_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4873,,0.4873,
DUBER _KHWAR_HY_2031,PAK_N,,,keep_2020,keep_2020,0.5359,,0.5359,
GHAZI-BAROTHA_HY_2031,PAK_N,,,keep_2020,keep_2020,0.5369,,0.5369,
GULPUR_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5104,,0.5104,
KAJAKI I_HY,NEPS_AFG,,,keep_2020,keep_2020,0.4767,,0.4767,
MANGLA_HY_2031,PAK_N,,,keep_2020,keep_2020,0.6535,,0.6535,
PATRIND_HY_2031,PAK_N,,,keep_2020,keep_2020,0.4814,,0.4814,
TARBELA_HY_2031,PAK_N,,,keep_2020,keep_2020,0.4969,,0.4969,
WARSAK_HY_2031,PAK_N,,,keep_2020,keep_2020,0.4138,,0.4138,
TARBELA-V_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
MANGLA_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
BUNJI_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.3981,,0.3981,
SEHRA_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
KAROT-JHELUM_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5032,,0.5032,
AZAD-PATTAN_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5308,,0.5308,
CHAKOTHI-HATIAN_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5502,,0.5502,
