g,availability,source,why
ABADAN _CITY-1_CHP_2023,0.768248,TM TMBezmeyinTG,"available over installed capacity, times one less the forced and scheduled outage rates"
ABADAN _CITY-2_CCGT_2028,0.9,TM TMCCGT_Akhal,"available over installed capacity, times one less the forced and scheduled outage rates"
ABADAN _CITY-2_CCGT_2031,0.9,TM TMCCGT_Akhal,"available over installed capacity, times one less the forced and scheduled outage rates"
ABADAN _CITY-2_GT_2031,0.768248,TM TMBezmeyinTG,"available over installed capacity, times one less the forced and scheduled outage rates"
AHAL_GT_2031,0.653788,TM TMAhal____TG,"available over installed capacity, times one less the forced and scheduled outage rates"
AKSUSKAYA_ST_2023,0.767706,KZ KZ_TPP Aksu Eurasian Energy Corporation,"available over installed capacity, times one less the forced and scheduled outage rates"
ALMATY-1_CHP_2023,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
ALMATY-2_CHP_2023,0.711243,KZ KZ_CHP-2 AlES Almaty Electric Stations,"available over installed capacity, times one less the forced and scheduled outage rates"
ALMATY-3_CHP_2023,0.717232,KZ KZ_CHP-3 AlES Almaty Electric Stations,"available over installed capacity, times one less the forced and scheduled outage rates"
ANGREN_ST_2023,0.572519,UZ UZAngren__TV,"available over installed capacity, times one less the forced and scheduled outage rates"
ANGREN_ST_2031,0.572519,UZ UZAngren__TV,"available over installed capacity, times one less the forced and scheduled outage rates"
ASHGABAT_GT_2031,0.792014,TM TMAshgabatTG,"available over installed capacity, times one less the forced and scheduled outage rates"
ASTANA-2_CHP_2023,0.565868,KZ KZ_CHP-2 Astana-Energia,"available over installed capacity, times one less the forced and scheduled outage rates"
ASTANA-2_CHP_2031,0.565868,KZ KZ_CHP-2 Astana-Energia,"available over installed capacity, times one less the forced and scheduled outage rates"
AVAZA_GT_2031,0.84583,TM TMAvaza___TG,"available over installed capacity, times one less the forced and scheduled outage rates"
BALKANABAD-2_GT_2031,0.70917,TM TMBalkanabTG,"available over installed capacity, times one less the forced and scheduled outage rates"
BALKHASH _ULKEN_CHP_NEW_2031,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
BISHKEK_CHP_2023,0.465517,KG KGBishkek_CO,"available over installed capacity, times one less the forced and scheduled outage rates"
DASHOGUZ _VELAYAT_CHP_2031,0.830606,TM TMDashoguzTG,"available over installed capacity, times one less the forced and scheduled outage rates"
DERWEZE_GT_2031,0.873592,TM TMDerveze_TG,"available over installed capacity, times one less the forced and scheduled outage rates"
