from,to,months,2026,2030,2050,source,note
KAZ_N,KAZ_S,all,2300,2300,2300,casa_2020,
KAZ_S,KAZ_N,all,2300,2300,2300,casa_2020,
KAZ_S,KGZ_N,all,2300,2300,2300,casa_2020,
KAZ_S,UZB,all,1000,1000,1000,casa_2020,
KGZ_N,KAZ_S,all,1300,1300,1300,casa_2020,
KGZ_N,KGZ_S,all,1000,1000,1000,casa_2020,
KGZ_S,KGZ_N,all,1900,1900,1900,casa_2020,
KGZ_S,TAJ_N,all,700,700,700,casa_2020,
KGZ_S,UZB,all,1700,1700,1700,casa_2020,
NEPS_AFG,NEPS_TAJ,all,400,400,400,casa_2020,
NEPS_AFG,NEPS_UZB,all,400,400,400,casa_2020,
NEPS_AFG,TUR,all,500,500,500,casa_2020,
NEPS_HERAT,NEPS_TKM,all,1e-09,350,350,casa_2020,
NEPS_TAJ,NEPS_AFG,all,400,400,400,casa_2020,
NEPS_TAJ,TAJ_S,all,450,450,450,casa_2020,
NEPS_TKM,NEPS_HERAT,all,1e-09,350,350,casa_2020,
NEPS_TKM,NEPS_UZB,all,400,400,400,casa_2020,
NEPS_TKM,TUR,all,80,80,80,casa_2020,Return leg of the swap above.
NEPS_UZB,NEPS_AFG,all,400,400,400,casa_2020,
NEPS_UZB,NEPS_TKM,all,400,400,400,casa_2020,
NEPS_UZB,UZB,all,400,400,400,casa_2020,
PAK_KAR,PAK_S,all,700,700,700,casa_2020,
PAK_N,PAK_S,all,1500,1500,1500,casa_2020,
PAK_N,TAJ_S,all,1000,1000,1000,deca_v51,"Same link, return direction. No contract supports it: candidate for closure."
PAK_S,PAK_KAR,all,700,700,700,casa_2020,
PAK_S,PAK_N,all,1500,1500,1500,casa_2020,
TAJ_N,KGZ_S,all,700,700,700,casa_2020,
TAJ_N,TAJ_S,all,1400,1400,1400,casa_2020,
TAJ_N,UZB,all,400,400,400,casa_2020,
TAJ_S,NEPS_TAJ,all,188,188,188,deca_v51,"Sangtuda-Kunduz 220 kV, existing PPA, 188 MW all year."
TAJ_S,PAK_N,all,1000,1000,1000,deca_v51,"CASA-1000 DC link Sangtuda-Nowshera, 1000 MW. The 2020 file carried 1300 MW, which is the rating of the whole link including the Afghan tap."
TAJ_S,TAJ_N,all,1400,1400,1400,casa_2020,
TAJ_S,UZB,all,800,800,800,casa_2020,
TUR,NEPS_AFG,all,500,500,500,casa_2020,
TUR,NEPS_TKM,all,1080,1080,1080,casa_2020,Directions swapped back: the 2020 file capped this way at 80 MW while pMaxAnnualTransfer requires 2100 GWh/y through it.
TUR,UZB,all,300,300,300,casa_2020,
UZB,KAZ_S,all,1700,1700,1700,casa_2020,
UZB,KGZ_S,all,1400,1400,1400,casa_2020,
UZB,NEPS_UZB,all,400,400,400,casa_2020,
UZB,TAJ_N,all,900,900,900,casa_2020,
UZB,TAJ_S,all,300,300,300,casa_2020,
UZB,TUR,all,300,300,300,casa_2020,
TAJ_S,NEPS_TAJ,"5,6,7,8,9",638,638,638,deca_v51,May-September window: 188 MW PPA + 150 MW seasonal + 300 MW CASA-1000 Afghan tap = 638 MW.
