zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Zone,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Zone,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Zone,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Zone,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Zone,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Zone,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Zone,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Zone,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Zone,PV,Solar,0,,,,,,15000,0,0,0.8,25
Zone,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Zone,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Zone,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Zone,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
