,dry,wet
MariaGleta,0.85,0.85
Yéripao,0.469219179,0.521719177
Akpakpa2,0.85,0.85
Gbegamey,0.85,0.85
Natitingou,0.85,0.85
Parakou1,0.85,0.85
Porto-Novo,0.85,0.85
Akpakpa1,0.85,0.85
MariaGleta2_IPP,0.85,0.85
MariaGleta3,0.85,0.85
GT_Benin,0.85,0.85
Beterou,0.09169639,0.065483797
Ketou,0.054563491,0.060668491
Oulougbé,0.089211637,0.063709342
Vossa,0.090979292,0.06497169
CC_GAS_LNG_BEN,0.85,0.85
OFSHORE_WIND_BEN,0.85,0.85
HYD_CAND_BEN,0.071068875,0.07902063
ONSHORE_WIND_BEN,1,0.85
BAGRE,0.33384325,0.235562293
KOMPIENGA,0.21532147,0.151932439
NIOFILA,0.071332457,0.188674952
TOURNI,0.056508308,0.16865802
DEDOUGOU,0.85,0.85
DORI,0.85,0.85
FADA,0.85,0.85
GAOUA,0.85,0.85
OUAGAI,0.85,0.85
OUAHIGOUYA,0.85,0.85
BOBOII,0.85,0.85
KOMSILGA,0.85,0.85
KOSSODO1,0.85,0.85
OUAGAII,0.85,0.85
Zagtouli,1,0.85
Ziga,1,0.85
Agrekkorental_Ouaga_IPP,0.85,0.85
Kaya,1,0.85
Koudougou,1,0.85
Samendeni,0.24131033,0.170270373
FADA2,0.85,0.85
KOSSODO2,0.85,0.85
GT_Burkina,0.85,0.85
BagréII,0.361966106,0.25540599
Bontioli,0.101652168,0.151769454
Folonzo,0.112005704,0.167227565
Gongourou,0.156657704,0.233894217
Ouéssa,0.154887631,0.23125145
Ouaga-NordOuest,0.85,0.85
Kodeni_PV,1,0.85
Pa_PV,1,0.85
WIND_CAND_BUR,1,0.85
HYD_CAND_BUR,0.154887631,0.23125145
Karpower_IPP,0.85,0.85
Brikama,0.85,0.85
Brikama3,0.85,0.85
WIND_CAND_GAM,1,0.85
OFSHORE_WIND_GAM,0.85,0.85
TAPCO_IPP,0.85,0.85
SUNSONASOGLI_IPP,0.85,0.85
SUNSONASOGLI2_IPP,0.85,0.85
KTPP1_IPP,0.85,0.85
CENIT_IPP,0.85,0.85
AMERI_6units_IPP,0.85,0.85
AKSA_IPP,0.85,0.85
Genser,0.85,0.85
KARPOWERIII_IPP,0.85,0.85
Bui_IPP,0.17,0.45
Winneba (BXC solar)_IPP,1,0.85
TICO,0.85,0.85
TT1PP,0.85,0.85
TT2PP,0.85,0.85
Akosombo,0.68,0.73
Navrongo,1,0.85
Kpong,0.65,0.69
EarlyPower_U1_IPP,0.85,0.85
CENPOWER_IPP,0.85,0.85
Amandi_IPP,0.85,0.85
Meinenergy_IPP,1,0.85
Ghana_PV,1,0.85
CENPOWER2_IPP,0.85,0.85
GT_Ghana,0.85,0.85
Daboya,0.24,0.7
Juale,0.24,0.7
Kulpawn,0.24,0.7
Pwalugu,0.15,0.4
Hemang,0.14,0.4
CC_GAS_LNG_GHA,0.85,0.85
ONSHORE_WIND_GHA,1,0.85
HYD_CAND_GHA,0.24,0.7
G-Energie_IPP,0.85,0.85
Kaloum1_IPP,0.85,0.85
Kaloum2_IPP,0.85,0.85
Kipé_IPP,0.85,0.85
Kaleta_IPP,0.452649007,0.319392523
Banéah,0.125189726,0.359108236
Garafiri,0.353756647,0.389405357
GrandesChutes1,0.166827572,0.4785469
GrandesChutes2,0.166827572,0.4785469
Kinkon,0.070534271,0.674763202
