Scenarios,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,high,high,high,high,high,high,high,high,high
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.159,0.159,0.159,0.159,0.159,0.159,0.381,0.317,0.444,0.317,0.163,0.163,0.19,0.19,0.19,0.19,0.19,0.19,0.365,0.317,0.73,0.683,0.171,0.171,0.175,0.175,0.175,0.175,0.175,0.175,0.365,0.46,0.921,0.746,0.212,0.212
Farankonedou,0.112,0.112,0.112,0.112,0.112,0.112,0.2,0.3,0.925,0.5,0.153,0.153,0.081,0.081,0.081,0.081,0.081,0.081,0.375,0.875,0.925,0.775,0.122,0.122,0.172,0.172,0.172,0.172,0.172,0.172,0.35,0.55,0.925,0.95,0.134,0.134
Baneah,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.8,0.8,1,0.35,0.35,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.8,1,0.275,0.275,0.375,0.375,0.375,0.375,0.375,0.375,0.6,0.8,0.8,1,0.275,0.275
Poudalde,0.167,0.167,0.167,0.167,0.167,0.167,0.478,0.622,0.833,0.433,0.182,0.182,0.219,0.219,0.219,0.219,0.219,0.219,0.456,0.578,0.911,0.911,0.186,0.186,0.193,0.193,0.193,0.193,0.193,0.193,0.467,0.878,0.911,0.956,0.24,0.24
Nzebela,0.205,0.205,0.205,0.205,0.205,0.205,0.143,0.278,0.212,0.465,0.323,0.323,0.303,0.303,0.303,0.303,0.303,0.303,0.361,0.339,0.914,0.847,0.298,0.298,0.38,0.38,0.38,0.38,0.38,0.38,0.507,0.439,0.281,0.61,0.38,0.38
Tiopo,0.441,0.441,0.441,0.441,0.441,0.441,0.438,0.305,0.21,0.143,0.412,0.412,0.465,0.465,0.465,0.465,0.465,0.465,0.429,0.295,0.257,0.952,0.429,0.429,0.433,0.433,0.433,0.433,0.433,0.433,0.438,0.381,0.914,0.952,0.495,0.495
Niagara,0.087,0.087,0.087,0.087,0.087,0.087,0.273,0.312,0.909,0.481,0.174,0.174,0.112,0.112,0.112,0.112,0.112,0.112,0.195,0.247,0.312,0.481,0.154,0.154,0.211,0.211,0.211,0.211,0.211,0.211,0.299,0.312,0.909,0.701,0.151,0.151
Digan,0.102,0.102,0.102,0.102,0.102,0.102,0.29,0.371,0.919,0.516,0.163,0.163,0.099,0.099,0.099,0.099,0.099,0.099,0.21,0.258,0.548,0.516,0.145,0.145,0.206,0.206,0.206,0.206,0.206,0.206,0.306,0.419,0.919,0.758,0.139,0.139
Bonkon-Diaria,0.106,0.106,0.106,0.106,0.106,0.106,0.377,0.678,0.65,0.339,0.122,0.122,0.15,0.15,0.15,0.15,0.15,0.15,0.361,0.65,0.923,0.705,0.126,0.126,0.131,0.131,0.131,0.131,0.131,0.131,0.372,0.896,0.923,0.776,0.169,0.169
Grand Chutes,0.321,0.321,0.321,0.321,0.321,0.321,0.893,0.893,0.893,0.893,0.469,0.469,0.344,0.344,0.344,0.344,0.344,0.344,0.893,0.893,0.893,0.893,0.464,0.464,0.571,0.571,0.571,0.571,0.571,0.571,0.893,0.893,0.893,0.893,0.522,0.522
