gen;zone;tech;fuel;StYr;RetrYr;Capacity;Status;MinLimitShare;HeatRate;RampUpRate;RampDnRate;OverLoadFactor;ResLimShare;FOMperMW;VOM;ReserveCost;Capex;Life;BuildLimitperYear;MaxTotalBuild;DescreteCap;fuel2;HeatRate2;MinUtilization;RETech;UnitSize
BangE-GT-RT-2023;BangladeshE;GT;LNG;2002;2023;539;1;;15.56079598;1;1;0;;20000;5;0;0;30;539;539;0;0;0;;;1
BangE-GT-RT-2024;BangladeshE;GT;LNG;2003;2024;949;1;;15.56079598;1;1;0;;20000;5;0;0;30;949;949;0;0;0;;;1
BangE-GT-RT-2025;BangladeshE;GT;LNG;2004;2025;156;1;;15.56079598;1;1;0;;20000;5;0;0;30;156;156;0;0;0;;;1
BangE-GT-RT-2042;BangladeshE;GT;LNG;2018;2042;1398;1;;8.54205318;1;1;0;;20000;5;0;0;30;1398;1398;0;0;0;;;1
BangE-GT-RT-2050;BangladeshE;GT;LNG;2019;2050;2669.5;1;;7.775823529;1;1;0;;20000;5;0;0;30;2669.5;2669.5;0;0;0;;;1
BangE-GT-RT-2051;BangladeshE;GT;LNG;2020;2051;2669.5;1;;7.775823529;1;1;0;;20000;5;0;0;30;2669.5;2669.5;0;0;0;;;1
Ashuganj_7_450_MW_CC_(S);BangladeshE;CCGT;LNG;2017;2042;360;1;;7.330136083;1;1;0;;35000;2.5;0;0;30;360;360;0;0;7.330136083;;;360
Shahjibazar_330MW_ccpp;BangladeshE;CCGT;LNG;2016;2046;330;1;;7.795802043;1;1;0;;35000;2.5;0;0;30;330;330;0;0;7.795802043;;;330
Ashuganj_8_450_MW_CC_(N);BangladeshE;CCGT;LNG;2017;2047;360;1;;6.679234671;1;1;0;;35000;2.5;0;0;30;360;360;0;0;6.679234671;;;360
Ghorasal_365_MW__CCPP;BangladeshE;CCGT;LNG;2018;2048;354;1;;7.96;1;1;0;;35000;2.5;0;0;30;354;354;0;0;7.962632948;;;354
Kushiara_163_MW_CCPP;BangladeshE;CCGT;LNG;2018;2048;109;1;;8.195907654;1;1;0;;35000;2.5;0;0;30;163;163;0;0;0;;;109
Shikalbaha_225_MW_CCPP_;BangladeshE;CCGT;LNG;2018;2048;225;1;;7.642596762;1;1;0;;35000;2.5;0;0;30;225;225;0;Diesel;7.466725581;;;225
Bibiana_#3_CCPP;BangladeshE;CCGT;LNG;2019;2049;388;1;;6.357083931;1;1;0;;35000;2.5;0;0;30;388;388;0;0;6.492812647;;;388
Sylhet_150_MW_PP_Conversion;BangladeshE;CCGT;LNG;2019;2049;218;1;;6.67;1;1;0;;35000;2.5;0;0;30;218;218;0;0;6.674615194;;;218
Ghorasal_4th_Unit_Repowering_;BangladeshE;CCGT;LNG;2022;2049;398;1;;10.27;1;1;0;;35000;2.5;0;0;30;200;200;0;0;10.27451804;;;398
Meghnaghat_550_MW_CCPP;BangladeshE;CCGT;LNG;2024;2049;530;2;;6.4;1;1;0;;35000;2.5;0;0.7;30;530;530;0;0;0;;;530
Bibiana_South_383_MW_CCPP;BangladeshE;CCGT;LNG;2020;2050;372;1;;6.4;1;1;0;;35000;2.5;0;0;30;372;372;0;0;6.4;;;372
Ashugonj_400_MW_CCPP_(East)_(APSCL);BangladeshE;CCGT;LNG;2021;2051;400;1;;6.4;1;1;0;;35000;2.5;0;0;30;400;400;0;0;6.4;;;400
Meghnaghat_500_MW_CCPP_(Summit);BangladeshE;CCGT;LNG;2022;2052;583;1;;6.203636364;1;1;0;;35000;2.5;0;0;30;583;583;0;0;0;;;583
