g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
WestMed_Agg_Biomass,WestMed,BiomassPlant,Biomass,1,2017,2060,263.723411,263.723411,30,13.5,,,0.03,,90000,10,6,
WestAna_Agg_Biomass,WestAna,BiomassPlant,Biomass,1,2017,2060,397.7042524,397.7042524,30,13.5,,,0.03,,90000,10,6,
EastMed_Agg_Biomass,EastMed,BiomassPlant,Biomass,1,2019,2060,191.4661901,191.4661901,30,13.5,,,0.03,,90000,10,6,
EastAna_Agg_Biomass,EastAna,BiomassPlant,Biomass,1,2019,2060,43.79415133,43.79415133,30,13.5,,,0.03,,90000,10,6,
SouthEast_Agg_Biomass,SouthEast,BiomassPlant,Biomass,1,2019,2060,210.8299373,210.8299373,30,13.5,,,0.03,,90000,10,6,
NorthWest_Agg_Biomass,NorthWest,BiomassPlant,Biomass,1,2019,2060,406.2145672,406.2145672,30,13.5,,,0.03,,90000,10,6,
CenterAna_Agg_Biomass,CenterAna,BiomassPlant,Biomass,1,2019,2060,431.5129627,431.5129627,30,13.5,,,0.03,,90000,10,6,
CenterBlack_Agg_Biomass,CenterBlack,BiomassPlant,Biomass,1,2019,2060,195.9656912,195.9656912,30,13.5,,,0.03,,90000,10,6,
Trakia_Agg_Biomass,Trakia,BiomassPlant,Biomass,1,2019,2060,303.7888366,303.7888366,30,13.5,,,0.03,,90000,10,6,
CenterAna_Agg_Biomass_Com,CenterAna,BiomassPlant,Biomass,2,2027,2060,147,147,30,13.5,,,0.03,2,90000,10,6,
WestMed_Agg_Biomass_Com,WestMed,BiomassPlant,Biomass,2,2027,2060,47,47,30,13.5,,,0.03,2,90000,10,6,
WestAna_Agg_Biomass_Com,WestAna,BiomassPlant,Biomass,2,2027,2060,53,53,30,13.5,,,0.03,2,90000,10,6,
NorthWest_Agg_Biomass_Com,NorthWest,BiomassPlant,Biomass,2,2026,2060,61,61,30,13.5,,,0.03,2,90000,10,6,
SouthEast_Agg_Biomass_Com,SouthEast,BiomassPlant,Biomass,2,2027,2060,69,69,30,13.5,,,0.03,2,90000,10,6,
CenterBlack_Agg_Biomass_Com,CenterBlack,BiomassPlant,Biomass,2,2025,2060,16,16,30,13.5,,,0.03,2,90000,10,6,
EastAna_Agg_Biomass_Com,EastAna,BiomassPlant,Biomass,2,2027,2060,8,8,30,13.5,,,0.03,2,90000,10,6,
EastMed_Agg_Biomass_Com,EastMed,BiomassPlant,Biomass,2,2025,2060,47,47,30,13.5,,,0.03,2,90000,10,6,
Trakia_Agg_Biomass_Com,Trakia,BiomassPlant,Biomass,2,2026,2060,101,101,30,13.5,,,0.03,2,90000,10,6,
CenterAna_Agg_Biomass_Cand,CenterAna,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
WestMed_Agg_Biomass_Cand,WestMed,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
WestAna_Agg_Biomass_Cand,WestAna,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
NorthWest_Agg_Biomass_Cand,NorthWest,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
SouthEast_Agg_Biomass_Cand,SouthEast,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
CenterBlack_Agg_Biomass_Cand,CenterBlack,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
EastAna_Agg_Biomass_Cand,EastAna,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
EastMed_Agg_Biomass_Cand,EastMed,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
Trakia_Agg_Biomass_Cand,Trakia,BiomassPlant,Biomass,3,2028,2060,100,100,30,13.5,,,0.03,2,90000,10,6,
AFSIN_ELBISTAN_A1,SouthEast,ST,DomesticCoal,1,1984,2038,340,340,50,18.2769139,0.05,0.05,0.03,,40000,4,10,
AFSIN_ELBISTAN_A2,SouthEast,ST,DomesticCoal,1,1985,2038,340,340,50,18.2769139,0.05,0.05,0.03,,40000,4,10,
AFSIN_ELBISTAN_A3,SouthEast,ST,DomesticCoal,1,1986,2038,340,340,50,18.2769139,0.05,0.05,0.03,,40000,4,10,
AFSIN_ELBISTAN_A4,SouthEast,ST,DomesticCoal,1,1988,2038,335,335,50,18.2769139,0.05,0.05,0.03,,40000,4,10,
EUAS_AFSIN_ELBISTAN_B1,SouthEast,ST,DomesticCoal,1,2006,2060,360,360,50,11.56426385,0.05,0.05,0.03,,40000,4,10,
EUAS_AFSIN_ELBISTAN_B2,SouthEast,ST,DomesticCoal,1,2006,2060,360,360,50,11.56426385,0.05,0.05,0.03,,40000,4,10,
EUAS_AFSIN_ELBISTAN_B3,SouthEast,ST,DomesticCoal,1,2006,2060,360,360,50,11.56426385,0.05,0.05,0.03,,40000,4,10,
EUAS_AFSIN_ELBISTAN_B4,SouthEast,ST,DomesticCoal,1,2006,2060,360,360,50,11.56426385,0.05,0.05,0.03,,40000,4,10,
BOLU_GOYNUK_1,NorthWest,ST,DomesticCoal,1,2015,2060,135,135,50,10.08278795,0.05,0.05,0.03,,40000,4,10,
BOLU_GOYNUK_2,NorthWest,ST,DomesticCoal,1,2016,2060,135,135,50,10.08278795,0.05,0.05,0.03,,40000,4,10,
