zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Angola,Peak,2590,2699,2816,2939,3070,3208,3356,3512,3678,3854,4040,4238,4449,4672,4908,5159,5426
Burundi,Peak,104,113,124,136,148,162,177,194,212,232,253,277,303,331,362,395,432
Cameroon,Peak,1616,1742,1878,2024,2182,2352,2535,2733,2946,3176,3423,3690,3977,4287,4621,4981,5369
CAR,Peak,17,19,21,24,27,30,33,38,42,47,53,59,67,75,84,94,105
Chad,Peak,73,79,85,92,100,108,118,128,140,152,166,182,198,217,237,259,283
Congo,Peak,513,537,562,588,615,644,673,705,737,771,807,844,883,924,967,1012,1059
DRC,Peak,2195,2342,2499,2666,2844,3034,3237,3468,3678,3876,4075,4288,4502,4728,4955,5183,5413
EquatorialGuinea,Peak,187,225,270,325,391,470,565,679,816,981,1180,1418,1705,2049,2463,2961,3560
Gabon,Peak,566,588,610,634,658,683,709,736,764,793,823,855,887,921,956,992,1030
Rwanda,Peak,270,308,352,403,461,527,602,664,732,807,889,980,1084,1200,1327,1467,1622
STP,Peak,36,40,46,52,59,67,76,87,99,112,127,145,164,187,212,241,274
Angola,Energy,16090,16575,17082,17611,18162,18737,19337,19963,20615,21296,22006,22746,23518,24324,25164,26040,26954
Burundi,Energy,484,536,593,656,727,804,891,986,1091,1208,1337,1481,1639,1814,2009,2223,2461
Cameroon,Energy,8238,8697,9180,9691,10230,10799,11399,12033,12703,13409,14155,14942,15773,16650,17576,18554,19586
CAR,Energy,119,131,145,160,177,197,219,243,270,301,335,374,416,464,517,576,641
Chad,Energy,328,356,387,421,459,501,547,598,655,717,785,861,944,1034,1134,1244,1364
Congo,Energy,2808,2887,2968,3051,3136,3224,3315,3431,3555,3679,3803,3927,4052,4186,4320,4454,4680
DRC,Energy,15576,16383,17232,18125,19064,20052,21092,21941,22824,23703,24578,25451,26323,27246,28169,29092,30014
EquatorialGuinea,Energy,1021,1211,1437,1705,2022,2399,2846,3377,4006,4752,5638,6689,7935,9414,11168,13250,15719
Gabon,Energy,3676,3801,3931,4065,4204,4347,4495,4649,4810,4972,5134,5296,5458,5631,5804,5978,6151
Rwanda,Energy,1512,1714,1943,2203,2498,2832,3211,3541,3902,4300,4737,5216,5769,6378,7048,7784,8597
STP,Energy,156,178,202,229,261,296,337,383,435,494,561,638,725,823,936,1063,1208
