zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Angola,Peak,5196.0,5396.0,5496.0,5840.0,5934.0,6028.0,6128.0,6228.0,6330.0,6434.0,6540.0,6646.0,6752.0,6858.0,6964.0,7072.0,7180.0
Burundi,Peak,204.0,204.0,238.4,272.8,307.2,341.6,376.0,411.2,446.4,481.6,516.8,552.0,585.2,618.4,651.6,684.8,718.0
Cameroon,Peak,3046.0,3218.0,3404.0,3604.0,3820.0,4050.0,4290.0,4554.0,4838.0,5142.0,5466.0,5808.0,6178.0,6576.0,7002.0,7454.0,7930.0
CAR,Peak,155.6,160.0,167.6,175.2,182.8,190.4,198.0,215.2,232.4,249.6,270.8,292.0,300.4,308.8,317.2,325.6,334.0
Chad,Peak,140.0,148.0,154.0,162.0,168.0,174.0,182.0,188.0,194.0,202.0,208.0,216.0,222.0,230.0,238.0,244.0,252.0
Congo,Peak,1028.0,1072.0,1118.0,1166.0,1214.0,1264.0,1314.0,1368.0,1422.0,1478.0,1534.0,1594.0,1654.0,1716.0,1780.0,1846.0,1914.0
EquatorialGuinea,Peak,268.0,284.0,300.0,316.0,332.0,348.0,364.0,382.0,398.0,416.0,434.0,452.0,470.0,488.0,506.0,524.0,544.0
Gabon,Peak,1146.0,1190.0,1236.0,1280.0,1326.0,1372.0,1420.0,1466.0,1514.0,1562.0,1610.0,1660.0,1710.0,1760.0,1812.0,1864.0,1916.0
Rwanda,Peak,474.0,514.0,558.0,606.0,658.0,714.0,776.0,846.0,926.0,1016.0,1118.0,1230.0,1364.0,1518.0,1696.0,1900.0,2130.0
STP,Peak,58.0,62.0,66.0,70.0,72.0,74.0,78.0,80.0,84.0,86.0,88.0,92.0,94.0,98.0,100.0,102.0,106.0
Angola,Energy,33532.0,33942.0,34388.0,34870.0,35390.0,35950.0,36550.0,37196.0,37890.0,38636.0,39440.0,40306.0,41240.0,42248.0,43340.0,44524.0,45646.0
Burundi,Energy,1108.0,1108.0,1314.4,1520.8,1727.2,1933.6,2140.0,2369.2,2598.4,2827.6,3056.8,3286.0,3523.6,3761.2,3998.8,4236.4,4474.0
Cameroon,Energy,16126.0,16868.0,17686.0,18562.0,19486.0,20444.0,21428.0,22500.0,23642.0,24840.0,26082.0,27356.0,28722.0,30160.0,31658.0,33202.0,34780.0
CAR,Energy,462.0,486.0,518.0,550.0,582.0,624.0,668.0,740.0,812.0,884.0,956.0,1024.0,1080.0,1136.0,1192.0,1268.0,1346.0
Chad,Energy,616.0,646.0,676.0,704.0,734.0,764.0,792.0,822.0,852.0,882.0,912.0,944.0,976.0,1006.0,1040.0,1072.0,1106.0
Congo,Energy,5794.0,5996.0,6198.0,6400.0,6602.0,6806.0,7012.0,7222.0,7432.0,7648.0,7864.0,8086.0,8310.0,8538.0,8770.0,9004.0,9244.0
EquatorialGuinea,Energy,1394.0,1414.0,1454.0,1500.0,1552.0,1604.0,1658.0,1736.0,1826.0,1922.0,2022.0,2122.0,2252.0,2396.0,2546.0,2700.0,2858.0
Gabon,Energy,7352.0,7578.0,7802.0,8024.0,8242.0,8460.0,8676.0,8892.0,9106.0,9322.0,9536.0,9750.0,9966.0,10182.0,10400.0,10618.0,10838.0
Rwanda,Energy,2726.0,2962.0,3218.0,3498.0,3802.0,4130.0,4486.0,4892.0,5352.0,5870.0,6450.0,7096.0,7850.0,8720.0,9716.0,10852.0,12142.0
STP,Energy,262.0,278.0,294.0,312.0,328.0,344.0,360.0,376.0,392.0,408.0,424.0,440.0,456.0,470.0,486.0,502.0,518.0
DRC,Peak,1968.0,2046.0,2124.0,2208.0,2296.0,2386.0,2482.0,2580.0,2684.0,2792.0,2904.0,3022.0,3144.0,3272.0,3406.0,3544.0,3690.0
DRC_South,Peak,4010.0,4084.0,4160.0,4238.0,4318.0,4400.0,4486.0,4574.0,4664.0,4756.0,4852.0,4950.0,5050.0,5154.0,5262.0,5374.0,5488.0
DRC,Energy,11906.0,12370.0,12852.0,13354.0,13880.0,14432.0,15006.0,15604.0,16230.0,16882.0,17562.0,18272.0,19014.0,19788.0,20596.0,21440.0,22318.0
DRC_South,Energy,24288.0,24734.0,25194.0,25666.0,26152.0,26652.0,27166.0,27694.0,28240.0,28800.0,29378.0,29974.0,30586.0,31218.0,31870.0,32540.0,33232.0
DRC_East,Peak,206.0,216.0,228.0,238.0,250.0,260.0,270.0,282.0,294.0,304.0,316.0,326.0,338.0,350.0,360.0,372.0,384.0
DRC_East,Energy,1266.0,1328.0,1396.0,1462.0,1528.0,1594.0,1662.0,1728.0,1798.0,1866.0,1936.0,2004.0,2074.0,2144.0,2214.0,2282.0,2352.0
