z,tech,fuel,Q1,Q2
Angola,ST,Coal,0.65,0.65
Angola,ST,Lignite,0.65,0.65
Angola,OCGT,Gas,0.8,0.8
Angola,CCGT,Gas,0.8,0.8
Angola,OCGT,Diesel,0.8,0.8
Angola,OCGT,HFO,0.8,0.8
Angola,BiomassPlant,Biomass,0.8,0.8
Angola,PV,Solar,1,1
Angola,CSPPlant,CSP,1,1
Angola,OnshoreWind,Wind,1,1
Angola,OffshoreWind,Wind,1,1
Angola,Storage,Battery,1,1
Angola,Storage,Water,0.8,0.8
Angola,ReservoirHydro,Water,0.8,0.8
Angola,ROR,Water,1,1
Burundi,ST,Coal,0.65,0.65
Burundi,ST,Lignite,0.65,0.65
Burundi,OCGT,Gas,0.8,0.8
Burundi,CCGT,Gas,0.8,0.8
Burundi,OCGT,Diesel,0.8,0.8
Burundi,OCGT,HFO,0.8,0.8
Burundi,BiomassPlant,Biomass,0.8,0.8
Burundi,PV,Solar,1,1
Burundi,CSPPlant,CSP,1,1
Burundi,OnshoreWind,Wind,1,1
Burundi,OffshoreWind,Wind,1,1
Burundi,Storage,Battery,1,1
Burundi,Storage,Water,0.8,0.8
Burundi,ReservoirHydro,Water,0.8,0.8
Burundi,ROR,Water,1,1
Cameroon,ST,Coal,0.65,0.65
Cameroon,ST,Lignite,0.65,0.65
Cameroon,OCGT,Gas,0.8,0.8
Cameroon,CCGT,Gas,0.8,0.8
Cameroon,OCGT,Diesel,0.8,0.8
Cameroon,OCGT,HFO,0.8,0.8
Cameroon,BiomassPlant,Biomass,0.8,0.8
Cameroon,PV,Solar,1,1
Cameroon,CSPPlant,CSP,1,1
Cameroon,OnshoreWind,Wind,1,1
Cameroon,OffshoreWind,Wind,1,1
Cameroon,Storage,Battery,1,1
Cameroon,Storage,Water,0.8,0.8
Cameroon,ReservoirHydro,Water,0.8,0.8
Cameroon,ROR,Water,1,1
CAR,ST,Coal,0.65,0.65
CAR,ST,Lignite,0.65,0.65
CAR,OCGT,Gas,0.8,0.8
CAR,CCGT,Gas,0.8,0.8
CAR,OCGT,Diesel,0.8,0.8
CAR,OCGT,HFO,0.8,0.8
CAR,BiomassPlant,Biomass,0.8,0.8
CAR,PV,Solar,1,1
CAR,CSPPlant,CSP,1,1
CAR,OnshoreWind,Wind,1,1
CAR,OffshoreWind,Wind,1,1
CAR,Storage,Battery,1,1
CAR,Storage,Water,0.8,0.8
CAR,ReservoirHydro,Water,0.8,0.8
CAR,ROR,Water,1,1
Chad,ST,Coal,0.65,0.65
Chad,ST,Lignite,0.65,0.65
Chad,OCGT,Gas,0.8,0.8
Chad,CCGT,Gas,0.8,0.8
Chad,OCGT,Diesel,0.8,0.8
Chad,OCGT,HFO,0.8,0.8
Chad,BiomassPlant,Biomass,0.8,0.8
Chad,PV,Solar,1,1
Chad,CSPPlant,CSP,1,1
Chad,OnshoreWind,Wind,1,1
Chad,OffshoreWind,Wind,1,1
Chad,Storage,Battery,1,1
Chad,Storage,Water,0.8,0.8
Chad,ReservoirHydro,Water,0.8,0.8
Chad,ROR,Water,1,1
Congo,ST,Coal,0.65,0.65
Congo,ST,Lignite,0.65,0.65
Congo,OCGT,Gas,0.8,0.8
Congo,CCGT,Gas,0.8,0.8
