gen,Q1,Q2,Q3,Q4,
AH_Cambambe_C1,0.75,0.8,0.84,0.83,0
AH_Cambambe_C2,0.59,0.51,0.48,0.52,0
AH_Capanda,0.75,0.65,0.76,0.63,0
AH_Lauca,0.75,0.75,0.75,0.75,0
Ah_Lauca_ECO,0.83,0.77,0.8,0.86,0
AH_Matala,0.7,0.7,0.55,0.35,0
BatokaGorgeNorth_HY_ZMB,0.43,0.59,0.28,0.13,0
BatokaGorgeSouth_HY_ZWE,0.76,0.38,0.38,0.76,0
Baynes(Angola)_HY_AGO,0.21,0.22,0.15,0.15,0
Baynes(Namibia)_HY_NAM,0.21,0.22,0.15,0.15,0
BotswanaCoal_TH_BWA,0.85,0.85,0.85,0.85,0
Busanga_HY_DRC,0.386870345,0.386870345,0.386870345,0.386870345,0
CaculoCabaca_HY_AGO,0.75,0.75,0.75,0.75,0
Cafula(Keve)_HY_AGO,0.544,0.544,0.544,0.544,0
CahoraBassa1_HY_MOZ,0.8,0.8,0.8,0.8,0
Calengue(Catumbela)_HY_AGO,0.683,0.683,0.683,0.683,0
CandidateHydro_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494,0
Cedar_Muloza,0.619706705,0.684349392,0.680922219,0.615215007,0
Chasombo_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
ChishimbaFalls_HY_ZMB,0.213,0.235,0.186,0.225,0
ChishimbaFallsExt_HY_ZMB,0.213,0.235,0.186,0.225,0
Chizuma_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Cutato1-3_HY_AGO,0.38,0.38,0.38,0.38,0
Devil'sGorgeNorth_HY_ZMB,0.43,0.59,0.28,0.13,0
Devil'sGorgeSouth_HY_ZWE,0.76,0.38,0.38,0.76,0
Edwaleni1_HY_SWZ,0.304,0.304,0.304,0.304,0
Edwaleni2_HY_SWZ,0.304,0.304,0.304,0.304,0
Existing_HY_MOZ,0.812880276,0.812880276,0.812880276,0.812880276,0
ExistingHydro1985_HY_ZAF,0.37,0.37,0.37,0.37,0
ExistingHydro2015_HY_ZAF,0.37,0.37,0.37,0.37,0
ExistingSmallHydro2000_HY_AGO,0.38,0.38,0.38,0.38,0
ExistingSmallHydro2012_HY_AGO,0.38,0.38,0.38,0.38,0
Ezulwini_HY_SWZ,0.2,0.2,0.2,0.2,0
Gairezi_HY_ZWE,0.76,0.38,0.38,0.76,0
Gariep_HY_ZAF,0.37,0.37,0.37,0.37,0
Genga_HY_AGO,0.38,0.38,0.38,0.38,0
Hale,0.229063609,0.26092694,0.212242387,0.217767064,1
Hamilton_Falls_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Harare1_TH_ZWE,0.85,0.85,0.85,0.85,0
Harare3_TH_ZWE,0.85,0.85,0.85,0.85,0
Hwange3Extension_TH_ZWE,0.85,0.85,0.85,0.85,0
HwangeII_TH_ZWE,0.85,0.85,0.85,0.85,0
Inga1_HY_DRC,0.77,0.77,0.77,0.77,0
Inga2_HY_DRC,0.87,0.87,0.87,0.87,0
Inga3BC_HY_DRC,0.9,0.9,0.9,0.9,0
Iringa_Ibosa,0.933641975,0.917022792,0.334641707,0.186191626,1
Iringa_Nginayo,0.842236467,0.774866159,0.390189521,0.310932274,1
ItheziThezi_HY_ZMB,0.64325706,0.64325706,0.514873881,0.514873881,0
JambaMina_HY_AGO,0.38,0.38,0.38,0.38,0
JambaOma_HY_AGO,0.38,0.38,0.38,0.38,0
JNHPP_1,0.485399702,1,0.300047967,0.206042074,1
JNHPP_2,0.485399702,1,0.300047967,0.206042074,1
KafueGorge_HY_ZMB,0.671255463,0.695346198,0.705201498,0.69581966,0
KafueGorgeLower_HY_ZMB,0.671255463,0.695346198,0.705201498,0.69581966,0
Kakono,0.70775463,0.91632326,0.919384058,0.726336051,1
KalungwishiI_HY_ZMB,0.43,0.59,0.28,0.13,0
Kam'mwamba_C_MWI,0.85,0.85,0.85,0.85,0
Kapichira_HY_MWI,0.62,0.68,0.68,0.62,0
Kapichira_parts_HY_MWI,0.62,0.68,0.68,0.62,0
KaribaNB_HY_ZMB,0.490202948,0.507795876,0.514992983,0.508141635,0
KaribaNBE_HY_ZMB,0.490202948,0.507795876,0.514992983,0.508141635,0
KaribaSouth1_HY_ZWE,0.76,0.38,0.38,0.76,0
KaribaSouthExtension_HY_ZWE,0.76,0.38,0.38,0.76,0
Kholombizo_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Kidatu,0.574164851,0.512416505,0.473323387,0.510398906,1
Kidunda,0.490740741,0.929487179,0.215126812,0.37817029,1
Kihansi,0.618370835,0.449288132,0.283689267,0.409654662,1
Kikonge,0.737044504,0.520870669,0.289463859,0.403305812,1
Kilubi_HY_DRC,0.54,0.54,0.54,0.54,0
Koni_HY_DRC,0.78,0.78,0.78,0.78,0
Kusile_I_TH_ZAF,0.71,0.71,0.71,0.71,0
Kusile_II_TH_ZAF,0.71,0.71,0.71,0.71,0
Kusile_III_TH_ZAF,0.71,0.71,0.71,0.71,0
Lomaum2_HY_AGO,0.38,0.38,0.38,0.38,0
Lower_Fufu_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Lower_Songwe_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
LowerMaguduza_HY_SWZ,0.367,0.367,0.367,0.367,0
Lubhuku_TH_SWZ,0.85,0.85,0.85,0.85,0
Luchenene_HY_ZMB,0.43,0.59,0.28,0.13,0
Lunsemfwa+Mulungushi_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494,0
Lunzua_HY_ZMB,0.228,0.25,0.234,0.228,0
Lupata_HY_MOZ,0.812880276,0.812880276,0.812880276,0.812880276,0
Lurio_HY_MOZ,0.812880276,0.812880276,0.812880276,0.812880276,0
Lusiwasi_HY_ZMB,0.177997632,0.210130222,0.097983257,0.153052596,0
LusiwasiLower_HY_ZMB,0.178,0.21,0.098,0.153,0
LusiwasiLowerExts_HY_ZMB,0.178,0.21,0.098,0.153,0
LusiwasiUpper_HY_ZMB,0.178,0.21,0.098,0.153,0
MaambaCoalI_TH_ZMB,0.85,0.85,0.85,0.85,0
Maguduza_HY_SWZ,0.367,0.367,0.367,0.367,0
Maguga_HY_SWZ,0.351,0.351,0.351,0.351,0
MagugaII_HY_SWZ,0.427,0.427,0.427,0.427,0
Malagarasi,0.514403292,0.801050801,0.169265115,0.191223833,1
MambilimbaFallsI_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494,0
Masigira,0.831371626,0.830772335,0.490512159,0.423728814,0
Mbongozi_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Medupi_TH_ZAF,0.85,0.85,0.85,0.85,0
Mnyera_Kisingo,0.676311728,0.786401099,0.386850845,0.352128623,1
Mnyera_Kwanini,0.677726337,0.790153134,0.389995974,0.348165761,1
Mnyera_Mnyera,0.679237632,0.790085827,0.388765471,0.353393103,1
Mnyera_Pumbwe,0.67675399,0.786577921,0.387725345,0.352377165,1
Mnyera_Ruaha,0.564814815,1,0.254378019,0.296648551,1
Mnyera_Taveta,0.823963845,0.957722833,0.471769324,0.428636128,1
MobayiMbongo_HY_DRC,0.43,0.43,0.43,0.43,0
MorupuleB_TH_BWA,0.85,0.85,0.85,0.85,0
MorupuleBupgrade_TH_BWA,0.85,0.85,0.85,0.85,0
Mota_Engil_C_MWI,0.85,0.85,0.85,0.85,0
Mpanga,0.932291667,1,0.533854167,0.485167572,0
Mpatamanga_Opt,0.619706705,0.684349392,0.680922219,0.615215007,0
MphandaNkuwa_HY_MOZ,0.812880276,0.812880276,0.812880276,0.812880276,0
Mtera,0.439612543,0.487120505,0.58856897,0.484697983,1
Muela_HY_LSO,0.786,0.944,0.82,0.617,0
Muela2_HY_LSO,0.786,0.944,0.82,0.617,0
Mulanje_Ruo_Ndiza,0.619706705,0.684349392,0.680922219,0.615215007,0
MumbotutaFalls_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494,0
MupataGorgeNorth_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494,0
MupataGorgeSouth_HY_ZWE,0.76,0.38,0.38,0.76,0
MusondaFalls_HY_ZMB,0.377,0.383,0.297,0.388,0
Mwadingusha_HY_DRC,0.88,0.88,0.88,0.88,0
NamibiaCoal_TH_NAM,0.85,0.85,0.85,0.85,0
New_Coal_1_BWA,0.85,0.85,0.85,0.85,0
New_Coal_2_BWA,0.85,0.85,0.85,0.85,0
New_Pangani_Falls,0.361345296,0.506093085,0.364596148,0.367965471,1
"Nkula_(A,B)_+_upgrade_HY_MWI",0.619706705,0.684349392,0.680922219,0.615215007,0
Nseke_HY_DRC,0.82,0.82,0.82,0.82,0
Nyumba_Ya_Mungu,0.634541602,0.581082074,0.495277869,0.507068134,1
Nzilo_HY_DRC,0.62,0.62,0.62,0.62,0
Nzongo_HY_DRC,0.87,0.87,0.87,0.87,0
NzongoII_HY_DRC,0.87,0.87,0.87,0.87,0
Nzoro_HY_DRC,0.386870345,0.386870345,0.386870345,0.386870345,0
Oxbow_HY_LSO,0.557,0.557,0.557,0.557,0
Quilengues_HY_AGO,0.38,0.38,0.38,0.38,0
RuacanaFlex_HY_NAM,0.3,0.3,0.3,0.3,0
RuacanaROR_HY_NAM,0.3,0.3,0.3,0.3,0
Ruhudji,1,0.902449506,0.318673589,0.306022792,1
Rukuru_C_MWI,0.85,0.85,0.85,0.85,0
Rumakali,0.823963845,0.957722833,0.471769324,0.428636128,1
Rusumo_HY_TZA,0.426573904,0.374933212,0.327530081,0.350962803,1
Ruzizi12Tshopo_HY_DRC,0.62,0.62,0.62,0.62,0
Ruzizi3_HY_DRC,0.62,0.62,0.62,0.62,0
Ruzizi4_HY_DRC,0.62,0.62,0.62,0.62,0
CahoraBassa2_HY_MOZ,0.8,0.8,0.8,0.8,0
CahoraBassa_Extension_HY_MOZ,0.8,0.8,0.8,0.8,0
SACoal(Large)_TH_ZAF,0.85,0.85,0.85,0.85,0
SACoal(Medium)_TH_ZAF,0.85,0.85,0.85,0.85,0
SACoal(Medium)can_TH_ZAF,0.85,0.85,0.85,0.85,0
SACoal(Medium)new_TH_ZAF,0.85,0.85,0.85,0.85,0
Secunda(SasolChemical)_TH_ZAF,0.85,0.85,0.85,0.85,0
SmallHydro_HY_DRC,0.386870345,0.386870345,0.386870345,0.386870345,0
Sombwe_HY_DRC,0.386870345,0.386870345,0.386870345,0.386870345,0
Songwe_Manolo,1,0.923035298,0.211009552,0.281002964,1
Songwe_Sofre,0.67675399,0.786577921,0.387725345,0.352377165,1
"Tedzani_I,_II,_III_HY_MWI",0.619706705,0.684349392,0.680922219,0.615215007,0
Tedzani_IV_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
TumulodoCacador_HY_AGO,0.695,0.695,0.695,0.695,0
Upper_Kihansi,0.238376675,0.355584132,0.210067838,0.1589963,1
Vanderkloof_HY_ZAF,0.37,0.37,0.37,0.37,0
VictoriaFalls_HY_ZMB,0.984125749,1,0.749202046,0.755846854,0
Vuka_HY_AGO,0.38,0.38,0.38,0.38,0
WanieRukula_HY_DRC,0.386870345,0.386870345,0.386870345,0.386870345,0
Wovwe_additional_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Wovwe_HY_MWI,0.619706705,0.684349392,0.680922219,0.615215007,0
Zenzo_HY_AGO,0.665,0.665,0.665,0.665,0
Arnot1_TH_ZAF,0.53,0.53,0.53,0.53,0
Arnot2_TH_ZAF,0.53,0.53,0.53,0.53,0
Camden_TH_ZAF,0.59,0.59,0.59,0.59,0
Duvha_TH_ZAF,0.49,0.49,0.49,0.49,0
Grootvlei_TH_ZAF,0.66,0.66,0.66,0.66,0
Hendrina_TH_ZAF,0.52,0.52,0.52,0.52,0
KelvinA_TH_ZAF,0.55,0.55,0.55,0.55,0
KelvinB_TH_ZAF,0.55,0.55,0.55,0.55,0
Kendal_TH_ZAF,0.55,0.55,0.55,0.55,0
KomatiI_TH_ZAF,0.55,0.55,0.55,0.55,0
KomatiII_TH_ZAF,0.52,0.55,0.55,0.55,0
Kriel_TH_ZAF,0.52,0.52,0.52,0.52,0
Lethabo_TH_ZAF,0.65,0.65,0.65,0.65,0
MajubaI_TH_ZAF,0.6,0.6,0.6,0.6,0
MajubaII_TH_ZAF,0.6,0.6,0.6,0.6,0
Matimba_TH_ZAF,0.69,0.69,0.69,0.69,0
Matla_TH_ZAF,0.61,0.61,0.61,0.61,0
PretoriaWest_TH_ZAF,0.55,0.55,0.55,0.55,0
Rooiwal_TH_ZAF,0.55,0.55,0.55,0.55,0
Tutuka_TH_ZAF,0.5,0.5,0.5,0.5,0
