,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Burundi,Coal,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,
Burundi,Diesel,22.76806,21.02,23.27,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.32,
Burundi,HFO,14.33,14.33,15.85,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,
Burundi,Peat,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,
Djibouti,coal,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,
Djibouti,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
Djibouti,Gas,11.13,11.13,11.76,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,
Djibouti,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
Djibouti,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DRC,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
DRC,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
DRC_E,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_E,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
DRC_E,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
DRC_Iso,Coal,2.637534,2.48927,2.363636,2.238002,2.112368,1.986734,1.8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DRC_Iso,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
DRC_Iso,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
DRC_S,Coal,2.637534,2.48927,2.363636,2.238002,2.112368,1.986734,1.8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DRC_S,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
DRC_S,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
DRC_W,Coal,2.637534,2.48927,2.363636,2.238002,2.112368,1.986734,1.8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DRC_W,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
DRC_W,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
EGYPT,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
EGYPT,Gas,11.13,11.13,11.76,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,
EGYPT,GasCCS,5.964877,5.964877,6.405161,5.551397,5.178219,4.805041,4.431863,4.393856,4.355849,4.317843,4.279836,4.241829,4.203822,4.165815,4.127809,4.089802,4.051795,4.013788,4,4,4,4,4,4,4,4,4,
EGYPT,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
EGYPT,Uranium,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,
Ethiopia,Coal,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,
Ethiopia,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
Ethiopia,Gas,11.13,11.13,11.76,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,
Ethiopia,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
Ethiopia,LFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenya,Biomass,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Kenya,Coal,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,13.83
Kenya,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,13.83
Kenya,Gas,11.13,11.13,11.76,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83
Kenya,GasCCS,0,0,13.21333,13.02579,12.83825,12.65071,12.46316,12.43163,12.40011,12.36858,12.33705,12.30552,12.30552,12.30552,12.30552,12.30552,12.30552,12.27399,12.24247,12.21094,12.17941,12.14788,12.1132,12.07852,12.04384,12.00916,11.97448,13.83
Kenya,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83
Kenya,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,12.94
Kenya,LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83
Kenya,Uranium,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,1.370971,13.83
Libya,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83
Libya,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
Libya,Gas,11.13,11.13,11.76,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,
Libya,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
Libya,LFO,13.40996,12.99379,12.9749,12.95602,12.93714,12.91826,12.89938,12.88049,12.76081,12.64112,12.52144,12.40175,12.28207,12.16238,12.0427,11.92301,11.80332,11.68364,11.56395,11.44427,11.32458,11.2049,11.08521,10.96553,10.84584,10.72615,10.60647,
Libya,LNG,13.40996,12.99379,12.9749,12.95602,12.93714,12.91826,12.89938,12.88049,12.76081,12.64112,12.52144,12.40175,12.28207,12.16238,12.0427,11.92301,11.80332,11.68364,11.56395,11.44427,11.32458,11.2049,11.08521,10.96553,10.84584,10.72615,10.60647,
Rwanda,Biomass,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Rwanda,Coal,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,
Rwanda,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
Rwanda,Gas,10.4,10.4,11,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,
Rwanda,HFO,14.33,14.33,15.85,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,
Rwanda,Methane,5.979447,5.861299,5.749697,5.646492,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,5.543762,
Rwanda,Peat,8.93654,8.268841,7.60115,6.933459,6.265767,5.598076,4.930385,4.892167,4.853951,4.815734,4.777518,4.739301,4.721376,4.703451,4.685525,4.6676,4.649675,4.634985,4.620296,4.605606,4.590917,4.576227,4.562488,4.54875,4.535011,4.521273,4.507534,
SOMALIA,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
SOMALIA,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
SOMALIA,HybridDiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SomaliaROC,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
SomaliaROC,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
SomaliaROC,HybridDiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Somaliland,Diesel,22.48,24.89,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,
Somaliland,HFO,15.35,15.35,16.96,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,17.98,17.98,
Somaliland,HybridDiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
