g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
BESS_1_2_3,Kenya,Storage,Battery,,2,2024,2052,20,250,0,250,1000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
BESS_4,Kenya,Storage,Battery,,3,2026,2052,20,250,0,250,1000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
BESS_generic,Rwanda,Storage,Battery,,3,2026,2055,20,10000,,50,200000,0,0.85,,,,,290,0,0,,,,,,,,,,,,,
NN_BAT,,,,,,,,20,,,,400000,,0.85,,,,,200.8333333,0,0,,,,,,,,,,,,,
Batt_GENC_DJI,Djibouti,Storage,Battery,,3,2027,2047,20,10000,0,117.94,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_DRE,Drc_E,Storage,Battery,,3,2027,2047,20,10000,0,200,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_EGY,Egypt,Storage,Battery,,3,2027,2047,20,10000,0,1000,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_ETH,Ethiopia,Storage,Battery,,3,2027,2047,20,10000,,100000,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_KEN,Kenya,Storage,Battery,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
EPPT_GENC_LIB,,,,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_LIB,Libya,Storage,Battery,,3,2027,2047,20,10000,0,826.94,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_MOG,Mogadishu,Storage,Battery,,3,2027,2047,20,10000,0,131,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_RWA,Rwanda,Storage,Battery,,,,,20,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,,
Batt_GENC_SOM,SomaliaROC,Storage,Battery,,3,2027,2047,20,10000,0,138,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_SOR,Somaliland,Storage,Battery,,3,2027,2047,20,10000,0,95,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_SOU,SouthSudan,Storage,Battery,,3,2027,2047,20,10000,0,47.63,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Batt_GENC_SUD,Sudan,Storage,Battery,,3,2027,2047,20,10000,0,304.01,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
BESS_TZA_Candidate,Tanzania,Storage,Battery,,3,2027,2047,20,50000,0,250,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.75,,,,,,,
Batt_GENC_UGA,Uganda,Storage,Battery,,3,2027,2047,20,10000,0,250,200000,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Battery_5MW_DJI,Djibouti,Storage,Battery,,2,2026,2046,20,5,0,5,25,0,0.85,0.3,40000,0,0,290,0,0,,0,1,1,0,0.5,,,,,,,
Generic_GENC_BAT,Egypt,Storage,Battery,,3,2027,2047,20,10000,0,1000,400000,0,0.85,0.3,20430.82,0,0,200.8333333,0,0,,0,1,1,0,0.95,,,,,,,
Generic_GENC_BESS,Kenya,Storage,Battery,,3,2027,2047,20,10000,,500,200000,,0.85,,,0,,290,0,0,,,,,,,,,,,,,
Pumped_Hydro,Kenya,Storage,Battery,,3,2035,2095,60,300,0,300,3000,0,0.8,2.9,50000,0,0,150,0,0,,0,1,1,0,0.75,,,,,,,
Hydro_pumped_storage_(11.16_MW),,,,,,,,60,,,,3000,,0.8,,,,,150,0,0,,,,,,,,,,,,,
PSH_generic,Rwanda,Storage,Battery,,3,2026,2055,20,1000,,100,21000,0,0.85,,,,,290,0,0,,,,,,,,,,,,,
