zone,tech,fuel,Q1,Q2,Q3,Q4
South_Africa,ST,Coal,0.65,0.65,0.65,0.65
South_Africa,OCGT,Gas,0.1,0.1,0.1,0.1
South_Africa,CCGT,Gas,0.1,0.1,0.1,0.1
South_Africa,ICE,Diesel,0.1,0.1,0.1,0.1
South_Africa,ICE,HFO,0.1,0.1,0.1,0.1
South_Africa,OCGT,HFO,0.1,0.1,0.1,0.1
South_Africa,ST,Uranium,0.9,0.9,0.9,0.9
South_Africa,ST,Biomass,0.1,0.1,0.1,0.1
South_Africa,CCGT,LNG,0.1,0.1,0.1,0.1
South_Africa,OCGT,LNG,0.1,0.1,0.1,0.1
South_Africa,PV,Solar,1.0,1.0,1.0,1.0
South_Africa,CSPPlant,CSP,1.0,1.0,1.0,1.0
South_Africa,OnshoreWind,Wind,1.0,1.0,1.0,1.0
South_Africa,OffshoreWind,Wind,1.0,1.0,1.0,1.0
South_Africa,ST,Geothermal,0.1,0.1,0.1,0.1
South_Africa,Storage,Battery,1.0,1.0,1.0,1.0
South_Africa,Storage,Water,0.1,0.1,0.1,0.1
South_Africa,ReservoirHydro,Water,0.1,0.1,0.1,0.1
Angola,ST,Coal,0.65,0.65,0.65,0.65
Angola,OCGT,Gas,0.1,0.1,0.1,0.1
Angola,CCGT,Gas,0.1,0.1,0.1,0.1
Angola,ICE,Diesel,0.1,0.1,0.1,0.1
Angola,ICE,HFO,0.1,0.1,0.1,0.1
Angola,OCGT,HFO,0.1,0.1,0.1,0.1
Angola,ST,Uranium,0.9,0.9,0.9,0.9
Angola,ST,Biomass,0.1,0.1,0.1,0.1
Angola,CCGT,LNG,0.1,0.1,0.1,0.1
Angola,OCGT,LNG,0.1,0.1,0.1,0.1
Angola,PV,Solar,1.0,1.0,1.0,1.0
Angola,CSPPlant,CSP,1.0,1.0,1.0,1.0
Angola,OnshoreWind,Wind,1.0,1.0,1.0,1.0
Angola,OffshoreWind,Wind,1.0,1.0,1.0,1.0
Angola,ST,Geothermal,0.1,0.1,0.1,0.1
Angola,Storage,Battery,1.0,1.0,1.0,1.0
Angola,Storage,Water,0.1,0.1,0.1,0.1
Angola,ReservoirHydro,Water,0.1,0.1,0.1,0.1
Botswana,ST,Coal,0.65,0.65,0.65,0.65
Botswana,OCGT,Gas,0.1,0.1,0.1,0.1
Botswana,CCGT,Gas,0.1,0.1,0.1,0.1
Botswana,ICE,Diesel,0.1,0.1,0.1,0.1
Botswana,ICE,HFO,0.1,0.1,0.1,0.1
Botswana,OCGT,HFO,0.1,0.1,0.1,0.1
Botswana,ST,Uranium,0.9,0.9,0.9,0.9
Botswana,ST,Biomass,0.1,0.1,0.1,0.1
Botswana,CCGT,LNG,0.1,0.1,0.1,0.1
Botswana,OCGT,LNG,0.1,0.1,0.1,0.1
Botswana,PV,Solar,1.0,1.0,1.0,1.0
Botswana,CSPPlant,CSP,1.0,1.0,1.0,1.0
Botswana,OnshoreWind,Wind,1.0,1.0,1.0,1.0
Botswana,OffshoreWind,Wind,1.0,1.0,1.0,1.0
Botswana,ST,Geothermal,0.1,0.1,0.1,0.1
Botswana,Storage,Battery,1.0,1.0,1.0,1.0
Botswana,Storage,Water,0.1,0.1,0.1,0.1
Botswana,ReservoirHydro,Water,0.1,0.1,0.1,0.1
DRC,ST,Coal,0.65,0.65,0.65,0.65
DRC,OCGT,Gas,0.1,0.1,0.1,0.1
DRC,CCGT,Gas,0.1,0.1,0.1,0.1
DRC,ICE,Diesel,0.1,0.1,0.1,0.1
DRC,ICE,HFO,0.1,0.1,0.1,0.1
DRC,OCGT,HFO,0.1,0.1,0.1,0.1
DRC,ST,Uranium,0.9,0.9,0.9,0.9
DRC,ST,Biomass,0.1,0.1,0.1,0.1
DRC,CCGT,LNG,0.1,0.1,0.1,0.1
DRC,OCGT,LNG,0.1,0.1,0.1,0.1
DRC,PV,Solar,1.0,1.0,1.0,1.0
DRC,CSPPlant,CSP,1.0,1.0,1.0,1.0
DRC,OnshoreWind,Wind,1.0,1.0,1.0,1.0
DRC,OffshoreWind,Wind,1.0,1.0,1.0,1.0
DRC,ST,Geothermal,0.1,0.1,0.1,0.1
DRC,Storage,Battery,1.0,1.0,1.0,1.0
DRC,Storage,Water,0.1,0.1,0.1,0.1
DRC,ReservoirHydro,Water,0.1,0.1,0.1,0.1
DRC,ROR,Water,1.0,1.0,1.0,1.0
DRC_South,ST,Coal,0.65,0.65,0.65,0.65
DRC_South,OCGT,Gas,0.1,0.1,0.1,0.1
DRC_South,CCGT,Gas,0.1,0.1,0.1,0.1
DRC_South,ICE,Diesel,0.1,0.1,0.1,0.1
DRC_South,ICE,HFO,0.1,0.1,0.1,0.1
DRC_South,OCGT,HFO,0.1,0.1,0.1,0.1
DRC_South,ST,Uranium,0.9,0.9,0.9,0.9
DRC_South,ST,Biomass,0.1,0.1,0.1,0.1
DRC_South,CCGT,LNG,0.1,0.1,0.1,0.1
DRC_South,OCGT,LNG,0.1,0.1,0.1,0.1
DRC_South,PV,Solar,1.0,1.0,1.0,1.0
DRC_South,CSPPlant,CSP,1.0,1.0,1.0,1.0
DRC_South,OnshoreWind,Wind,1.0,1.0,1.0,1.0
DRC_South,OffshoreWind,Wind,1.0,1.0,1.0,1.0
DRC_South,ST,Geothermal,0.1,0.1,0.1,0.1
DRC_South,Storage,Battery,1.0,1.0,1.0,1.0
DRC_South,Storage,Water,1.0,1.0,1.0,1.0
DRC_South,ReservoirHydro,Water,0.1,0.1,0.1,0.1
DRC_South,ROR,Water,0.1,0.1,0.1,0.1
Eswatini,ST,Coal,0.65,0.65,0.65,0.65
Eswatini,OCGT,Gas,0.1,0.1,0.1,0.1
Eswatini,CCGT,Gas,0.1,0.1,0.1,0.1
Eswatini,ICE,Diesel,0.1,0.1,0.1,0.1
Eswatini,ICE,HFO,0.1,0.1,0.1,0.1
Eswatini,OCGT,HFO,0.1,0.1,0.1,0.1
Eswatini,ST,Uranium,0.9,0.9,0.9,0.9
Eswatini,ST,Biomass,0.1,0.1,0.1,0.1
Eswatini,CCGT,LNG,0.1,0.1,0.1,0.1
Eswatini,OCGT,LNG,0.1,0.1,0.1,0.1
Eswatini,PV,Solar,1.0,1.0,1.0,1.0
Eswatini,CSPPlant,CSP,1.0,1.0,1.0,1.0
Eswatini,OnshoreWind,Wind,1.0,1.0,1.0,1.0
Eswatini,OffshoreWind,Wind,1.0,1.0,1.0,1.0
Eswatini,ST,Geothermal,0.1,0.1,0.1,0.1
Eswatini,Storage,Battery,1.0,1.0,1.0,1.0
Eswatini,Storage,Water,0.1,0.1,0.1,0.1
Eswatini,ReservoirHydro,Water,0.1,0.1,0.1,0.1
