,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,216703000,218620000,213370000,213917000,208211000,167760800,160845640,150886080,135318640,126837760,112638000,100936640,89471720,82319520,74229320,64040000,53793600,44401066.67,35862400,28177600,21346666.67,19212000,17077333.33,14942666.67,12808000,10673333.33,8538666.667,6404000,4269333.333,2134666.667,-6.39488E-09,,,,
Lesotho,4545.97,4545.97,4545.97,4545.97,4545.97,3636.776,3454.9372,3273.0984,3091.2596,2909.4208,2727.582,2545.7432,2363.9044,2182.0656,2000.2268,1818.388,1527.44592,1260.749013,1018.29728,800.09072,606.1293333,545.5164,484.9034667,424.2905333,363.6776,303.0646667,242.4517333,181.8388,121.2258667,60.61293333,-2.60209E-13,,,,
Eswatini,4545.97,4545.97,4545.97,4545.97,4545.97,3636.776,3454.9372,3273.0984,3091.2596,2909.4208,2727.582,2545.7432,2363.9044,2182.0656,2000.2268,1818.388,1527.44592,1260.749013,1018.29728,800.09072,606.1293333,545.5164,484.9034667,424.2905333,363.6776,303.0646667,242.4517333,181.8388,121.2258667,60.61293333,-2.60209E-13,,,,
Mozambique,1459160,1477110,1477110,1477110,1477110,1181688,1122603.6,1063519.2,1004434.8,945350.4,886266,827181.6,768097.2,709012.8,649928.4,590844,496308.96,409651.84,330872.64,259971.36,196948,177253.2,157558.4,137863.6,118168.8,98474,78779.2,59084.4,39389.6,19694.8,7.21645E-11,,,,
Zimbabwe,3314930,4173080,5672320,5672320,5672320,3794848,4235958.8,3605198.4,3790068.4,3567123.2,2480736,3121232.8,3090469.2,2806041.6,2816321.2,2594680,2179531.2,1798978.133,1453020.8,1141659.2,864893.3333,778404,691914.6667,605425.3333,518936,432446.6667,345957.3333,259468,172978.6667,86489.33333,4.88498E-10,,,,
Botswana,2488080,1267520,2108050,2108050,2108300,2198104,2090896.8,1917662.4,2062535.2,1890803.2,1512288,1835467.2,2237398.8,2218670.4,2177573.2,2107428,1770239.52,1461150.08,1180159.68,927268.32,702476,632228.4,561980.8,491733.2,421485.6,351238,280990.4,210742.8,140495.2,70247.6,0,,,,
Namibia,156321,102539,10087.9,10087.9,10087.9,8070.32,7666.804,7263.288,6859.772,6456.256,6052.74,5649.224,5245.708,4842.192,4438.676,4035.16,3389.5344,2797.710933,2259.6896,1775.4704,1345.053333,1210.548,1076.042667,941.5373333,807.032,672.5266667,538.0213333,403.516,269.0106667,134.5053333,0,,,,
Zambia,1510520,749545,749545,749545,749545,599636,596271.68,539672.4,712980,691385.6,449727,427964.88,567918,524232,480546,436860,366962.4,302889.6,244641.6,192218.4,145620,131058,116496,101934,87372,72810,58248,43686,29124,14562,-6.10623E-11,,,,
Angola,1577070,1577070,1877440,1877440,1877440,602479.2,572355.24,542231.28,512107.32,481983.36,451859.4,421735.44,156191.36,144176.64,132161.92,120147.2,100923.648,83302.05867,67282.432,52864.768,40049.06667,36044.16,32039.25333,28034.34667,24029.44,20024.53333,16019.62667,12014.72,8009.813333,4004.906667,0,,,,
Tanzania,3122420,3136020,1305270,1518200,1318680,1559808,1961438.4,2312582.4,2613240,2863411.2,3063096,2858889.6,2654683.2,2450476.8,2246270.4,2042064,1715333.76,1415831.04,1143555.84,898508.16,680688,612619.2,544550.4,476481.6,408412.8,340344,272275.2,204206.4,136137.6,68068.8,0,,,,
DRC,67120,67120,67120,67120,67120,53696,51011.2,48326.4,45641.6,42956.8,40272,37587.2,34902.4,32217.6,29532.8,26848,22552.32,18614.61333,15034.88,11813.12,8949.333333,8054.4,7159.466667,6264.533333,5369.6,4474.666667,3579.733333,2684.8,1789.866667,894.9333333,-4.16334E-12,,,,
Malawi,0,0,829677,829677,829677,663741.6,630554.52,597367.44,564180.36,530993.28,497806.2,464619.12,431432.04,398244.96,365057.88,635252,533611.68,440441.3867,355741.12,279510.88,211750.6667,190575.6,169400.5333,148225.4667,127050.4,105875.3333,84700.26667,63525.2,42350.13333,21175.06667,3.88578E-11,,,,
