gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Tech Valid
CC_CM_GAS_ALC_20_LIB,Libya,CCGT,Gas,2027,2057,250,2,0.15,6.7,1,1,0,0.2,8370,2.24,5,0.9,30,250,250,0,,0,0.05,0,0,TRUE
GT_CM_GAS_ALC_22_LIB,Libya,OCGT,Gas,2027,2057,2910,2,0,9.75,1,1,0,0.2,8100,4.05,5,0.8,30,2910,2910,0,,0,0.05,0,0,TRUE
PV_CM_SPV_…_19_LIB,Libya,PV,Solar,2019,2044,15,2,0,0,1,1,0,0,10000,0,0,0.8,25,15,15,0,,0,0.05,1,0,TRUE
ST_CM_GAS_ALC_25_LIB,Libya,ST,Gas,2027,2057,2800,2,0,9.42,1,1,0,0.2,32100,4.61,5,2,30,2800,2800,0,,0,0,0,0,TRUE
WI_CM_WND_…_18_LIB,Libya,OnshoreWind,Wind,2018,2048,28,2,0,0,1,1,0,0,31000,0,0,1.3,30,27.7,27.7,0,,0,0,1,0,TRUE
CC_EX_GAS_ALC_07_LIB,Libya,CCGT,Gas,2007,2037,1215,1,0.15,6.9,1,1,0,0.2,11000,6.7,5,0,30,0,0,0,,0,0,0,0,TRUE
CC_EX_GAS_ALC_10_LIB,Libya,CCGT,Gas,2010,2040,710,1,0.15,6.7,1,1,0,0.2,11000,6.7,5,0,30,0,0,0,,0,0,0,0,TRUE
CC_EX_GAS_ALC_11_LIB,Libya,CCGT,Gas,2010,2040,920,1,0.15,6.7,1,1,0,0.2,11000,6.7,5,0,30,0,0,0,,0,0,0,0,TRUE
CC_EX_GAS_ALC_15_LIB,Libya,CCGT,Gas,2015,2045,410,1,0.15,6.7,1,1,0,0.2,11000,6.7,5,0,30,0,0,0,,0,0,0,0,TRUE
CC_EX_GAS_ALC_95_LIB,Libya,CCGT,Gas,1995,2025,740,1,0.15,6.84,1,1,0,0.2,14000,10.2,5,0,30,0,0,0,,0,0,0,0,TRUE
GT_EX_GAS_ALC_10_LIB,Libya,OCGT,Gas,2010,2040,1370,1,0,7.64,1,1,0,0.2,11000,6.7,5,0,30,0,0,0,,0,0,0,0,TRUE
GT_EX_GAS_ALC_15_LIB,Libya,OCGT,Gas,2016,2046,231,1,0,9.75,1,1,0,0.2,7300,10.69,5,0,30,0,0,0,,0,0,0,0,TRUE
GT_EX_GAS_ALC_16_LIB,Libya,OCGT,Gas,2016,2046,1512,1,0,10.8,1,1,0,0.2,6980,6.9,5,0,30,0,0,0,,0,0,0,0,TRUE
GT_EX_GAS_ALC_17_LIB,Libya,OCGT,Gas,2017,2047,736,1,0,9.75,1,1,0,0.2,7300,10.69,5,0,30,0,0,0,,0,0,0,0,TRUE
GT_EX_GAS_ALC_82_LIB,Libya,OCGT,Gas,1982,2012,244,1,0,8.57,1,1,0,0.2,17000,2.22,5,0,30,0,0,0,,0,0,0,0,TRUE
GT_EX_GAS_ALC_94_LIB,Libya,OCGT,Gas,1994,2024,545,1,0,8.57,1,1,0,0.2,17000,2.22,5,0,30,0,0,0,,0,0,0,0,TRUE
ST_EX_GAS_ALC_85_LIB,Libya,ST,Gas,1985,2015,625,1,0,12.67,1,1,0,0.2,5175,1.97,5,0,30,0,0,0,,0,0,0,0,TRUE
ST_EX_GAS_ALC_92_LIB,Libya,ST,Gas,1992,2022,565,1,0,14.27,1,1,0,0.2,1010,2,5,0,30,0,0,0,,0,0,0,0,TRUE
