z,tech,fuel,Q1,Q2
CEN,BiomassPlant,Biomass,0.85,0.85
CEN,CCGT,Gas,0.85,0.85
CEN,CCGT,Hydrogen,0.85,0.85
CEN,CCGT_CCS,GasCCS,0.8,0.8
CEN,Geothermal,Geothermal,0.9,0.9
CEN,GT,Diesel,0.85,0.85
CEN,GT,Gas,0.85,0.85
CEN,GT,Hydrogen,0.85,0.85
CEN,GT,LicorNegro,0.8,0.8
CEN,ICE,Biogas,0.85,0.85
CEN,ICE,Diesel,0.85,0.85
CEN,ICE,Gas,0.85,0.85
CEN,ICE,HFO,0.85,0.85
CEN,ImportTransmission,Import,1,1
CEN,Nuclear,Uranium,0.9,0.9
CEN,OCGT,Gas,0.85,0.85
CEN,OCGT_CCS,GasCCS,0.8,0.8
CEN,OffshoreWind,Wind,1,1
CEN,OnshoreWind,Wind,1,1
CEN,PV,Gas,0.85,0.85
CEN,PV,Solar,1,1
CEN,ST,ChemReaction,0.75,0.75
CEN,ST,Coal,0.65,0.65
CEN,ST,Coke,0.7,0.7
CEN,ST,Gas,0.85,0.85
CEN,ST,HFO,0.85,0.85
CEN,ST,Steam,0.75,0.75
CEN,STO HY,Water,0.85,0.85
CEN,Storage,Battery,1,1
ORI,BiomassPlant,Biomass,0.85,0.85
ORI,CCGT,Gas,0.85,0.85
ORI,CCGT,Hydrogen,0.85,0.85
ORI,CCGT_CCS,GasCCS,0.8,0.8
ORI,Geothermal,Geothermal,0.9,0.9
ORI,GT,Diesel,0.85,0.85
ORI,GT,Gas,0.85,0.85
ORI,GT,Hydrogen,0.85,0.85
ORI,GT,LicorNegro,0.8,0.8
ORI,ICE,Biogas,0.85,0.85
ORI,ICE,Diesel,0.85,0.85
ORI,ICE,Gas,0.85,0.85
ORI,ICE,HFO,0.85,0.85
ORI,ImportTransmission,Import,1,1
ORI,Nuclear,Uranium,0.9,0.9
ORI,OCGT,Gas,0.85,0.85
ORI,OCGT_CCS,GasCCS,0.8,0.8
ORI,OffshoreWind,Wind,1,1
ORI,OnshoreWind,Wind,1,1
ORI,PV,Gas,0.85,0.85
ORI,PV,Solar,1,1
ORI,ST,ChemReaction,0.75,0.75
ORI,ST,Coal,0.65,0.65
ORI,ST,Coke,0.7,0.7
ORI,ST,Gas,0.85,0.85
ORI,ST,HFO,0.85,0.85
ORI,ST,Steam,0.75,0.75
ORI,STO HY,Water,0.85,0.85
ORI,Storage,Battery,1,1
OCC,BiomassPlant,Biomass,0.85,0.85
OCC,CCGT,Gas,0.85,0.85
OCC,CCGT,Hydrogen,0.85,0.85
OCC,CCGT_CCS,GasCCS,0.8,0.8
OCC,Geothermal,Geothermal,0.9,0.9
OCC,GT,Diesel,0.85,0.85
OCC,GT,Gas,0.85,0.85
OCC,GT,Hydrogen,0.85,0.85
OCC,GT,LicorNegro,0.8,0.8
OCC,ICE,Biogas,0.85,0.85
OCC,ICE,Diesel,0.85,0.85
OCC,ICE,Gas,0.85,0.85
OCC,ICE,HFO,0.85,0.85
OCC,ImportTransmission,Import,1,1
OCC,Nuclear,Uranium,0.9,0.9
OCC,OCGT,Gas,0.85,0.85
OCC,OCGT_CCS,GasCCS,0.8,0.8
OCC,OffshoreWind,Wind,1,1
OCC,OnshoreWind,Wind,1,1
OCC,PV,Gas,0.85,0.85
OCC,PV,Solar,1,1
OCC,ST,ChemReaction,0.75,0.75
OCC,ST,Coal,0.65,0.65
OCC,ST,Coke,0.7,0.7
OCC,ST,Gas,0.85,0.85
OCC,ST,HFO,0.85,0.85
OCC,ST,Steam,0.75,0.75
OCC,STO HY,Water,0.85,0.85
OCC,Storage,Battery,1,1
NOR,BiomassPlant,Biomass,0.85,0.85
NOR,CCGT,Gas,0.85,0.85
NOR,CCGT,Hydrogen,0.85,0.85
NOR,CCGT_CCS,GasCCS,0.8,0.8
NOR,Geothermal,Geothermal,0.9,0.9
NOR,GT,Diesel,0.85,0.85
NOR,GT,Gas,0.85,0.85
NOR,GT,Hydrogen,0.85,0.85
NOR,GT,LicorNegro,0.8,0.8
NOR,ICE,Biogas,0.85,0.85
NOR,ICE,Diesel,0.85,0.85
NOR,ICE,Gas,0.85,0.85
NOR,ICE,HFO,0.85,0.85
NOR,ImportTransmission,Import,1,1
NOR,Nuclear,Uranium,0.9,0.9
NOR,OCGT,Gas,0.85,0.85
NOR,OCGT_CCS,GasCCS,0.8,0.8
NOR,OffshoreWind,Wind,1,1
NOR,OnshoreWind,Wind,1,1
NOR,PV,Gas,0.85,0.85
NOR,PV,Solar,1,1
NOR,ST,ChemReaction,0.75,0.75
NOR,ST,Coal,0.65,0.65
NOR,ST,Coke,0.7,0.7
NOR,ST,Gas,0.85,0.85
NOR,ST,HFO,0.85,0.85
NOR,ST,Steam,0.75,0.75
NOR,STO HY,Water,0.85,0.85
NOR,Storage,Battery,1,1
NTE,BiomassPlant,Biomass,0.85,0.85
NTE,CCGT,Gas,0.85,0.85
NTE,CCGT,Hydrogen,0.85,0.85
NTE,CCGT_CCS,GasCCS,0.8,0.8
NTE,Geothermal,Geothermal,0.9,0.9
NTE,GT,Diesel,0.85,0.85
NTE,GT,Gas,0.85,0.85
NTE,GT,Hydrogen,0.85,0.85
NTE,GT,LicorNegro,0.8,0.8
NTE,ICE,Biogas,0.85,0.85
NTE,ICE,Diesel,0.85,0.85
NTE,ICE,Gas,0.85,0.85
NTE,ICE,HFO,0.85,0.85
NTE,ImportTransmission,Import,1,1
NTE,Nuclear,Uranium,0.9,0.9
NTE,OCGT,Gas,0.85,0.85
NTE,OCGT_CCS,GasCCS,0.8,0.8
NTE,OffshoreWind,Wind,1,1
NTE,OnshoreWind,Wind,1,1
NTE,PV,Gas,0.85,0.85
NTE,PV,Solar,1,1
NTE,ST,ChemReaction,0.75,0.75
NTE,ST,Coal,0.65,0.65
NTE,ST,Coke,0.7,0.7
NTE,ST,Gas,0.85,0.85
NTE,ST,HFO,0.85,0.85
NTE,ST,Steam,0.75,0.75
NTE,STO HY,Water,0.85,0.85
NTE,Storage,Battery,1,1
NES,BiomassPlant,Biomass,0.85,0.85
NES,CCGT,Gas,0.85,0.85
NES,CCGT,Hydrogen,0.85,0.85
NES,CCGT_CCS,GasCCS,0.8,0.8
NES,Geothermal,Geothermal,0.9,0.9
NES,GT,Diesel,0.85,0.85
NES,GT,Gas,0.85,0.85
NES,GT,Hydrogen,0.85,0.85
NES,GT,LicorNegro,0.8,0.8
NES,ICE,Biogas,0.85,0.85
NES,ICE,Diesel,0.85,0.85
NES,ICE,Gas,0.85,0.85
NES,ICE,HFO,0.85,0.85
NES,ImportTransmission,Import,1,1
NES,Nuclear,Uranium,0.9,0.9
NES,OCGT,Gas,0.85,0.85
NES,OCGT_CCS,GasCCS,0.8,0.8
NES,OffshoreWind,Wind,1,1
