scenario,zext,q,d,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Flat_Prices,CAISO,Q1,d1,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q1,d2,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q1,d3,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q1,d4,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q1,d5,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q2,d1,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q2,d2,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q2,d3,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q2,d4,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q2,d5,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q3,d1,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q3,d2,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q3,d3,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q3,d4,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q3,d5,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q4,d1,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q4,d2,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q4,d3,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q4,d4,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,CAISO,Q4,d5,2024,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Flat_Prices,WEPP,Q1,d1,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q1,d2,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q1,d3,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q1,d4,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q1,d5,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q2,d1,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q2,d2,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q2,d3,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q2,d4,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q2,d5,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q3,d1,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q3,d2,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q3,d3,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q3,d4,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q3,d5,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q4,d1,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q4,d2,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q4,d3,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q4,d4,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,WEPP,Q4,d5,2024,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Flat_Prices,ERCOT,Q1,d1,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q1,d2,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q1,d3,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q1,d4,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q1,d5,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q2,d1,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q2,d2,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q2,d3,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q2,d4,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q2,d5,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q3,d1,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q3,d2,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q3,d3,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q3,d4,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q3,d5,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q4,d1,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q4,d2,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q4,d3,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q4,d4,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,ERCOT,Q4,d5,2024,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Flat_Prices,GUA,Q1,d1,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q1,d2,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q1,d3,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q1,d4,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q1,d5,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q2,d1,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q2,d2,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q2,d3,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q2,d4,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q2,d5,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q3,d1,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q3,d2,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q3,d3,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q3,d4,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q3,d5,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q4,d1,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q4,d2,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q4,d3,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q4,d4,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Flat_Prices,GUA,Q4,d5,2024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Avg.2020,USA,Q1,d1,2020,48.264444444444443,48.261111111111113,48.25333333333333,48.25333333333333,48.25,48.468888888888884,61.436666666666675,75.631111111111125,76.38,76.551111111111098,62.800000000000004,62.780000000000008,61.202222222222225,61.198888888888888,61.312222222222218,62.037777777777784,61.535555555555547,62.444444444444443,87.866666666666674,228.66999999999996,254.51555555555555,120.53,48.75333333333333,48.27000000000001
Avg.2020,USA,Q1,d2,2020,41.961111111111109,41.466666666666669,41.296666666666667,41.121111111111105,46.396666666666661,51.24111111111111,73.788888888888891,84.285555555555575,84.196666666666658,84.070000000000022,64.65666666666668,64.678888888888892,61.38000000000001,61.358888888888906,61.362222222222236,61.60777777777777,67.576666666666668,55.043333333333322,169.01444444444445,195.93111111111114,233.37444444444444,98.794444444444451,56.826666666666668,53.594444444444449
Avg.2020,USA,Q1,d3,2020,48.387777777777785,48.386666666666677,48.384444444444448,48.384444444444448,48.385555555555555,48.495555555555562,60.578888888888883,80.085555555555558,82.518888888888895,82.522222222222226,68.117777777777775,68.116666666666674,66.105555555555554,64.861111111111128,64.881111111111125,65.959999999999994,64.873333333333335,66.016666666666666,113.19222222222223,231.0588888888889,252.03888888888892,134.7488888888889,48.401111111111113,48.38333333333334
Avg.2020,USA,Q1,d4,2020,50.496666666666663,35.845555555555556,35.677777777777777,35.538888888888877,35.75555555555556,41.756666666666668,55.050000000000004,78.263333333333321,78.223333333333329,78.224444444444444,61.46,61.472222222222221,55.041111111111121,54.948888888888888,54.918888888888901,55.143333333333338,55.155555555555551,54.998888888888892,88.164444444444442,231.12,232.27333333333334,102.12111111111111,76.873333333333335,48.128888888888895
Avg.2020,USA,Q1,d5,2020,50.357777777777777,37.981111111111119,37.851111111111109,37.742222222222217,37.914444444444449,48.09,55.182222222222229,75.174444444444447,75.088888888888889,75.048888888888897,58.286666666666669,58.302222222222227,55.112222222222229,55.006666666666668,54.986666666666665,55.215555555555554,55.184444444444445,55.053333333333342,89.256666666666661,249.75222222222223,231.32888888888888,88.661111111111111,62.404444444444444,44.861111111111114
Avg.2020,USA,Q2,d1,2020,22.858888888888892,22.523333333333333,22.134444444444441,21.91333333333333,22.166666666666668,21.995555555555555,23.556666666666665,43.617777777777782,43.704444444444441,44.157777777777781,43.861111111111107,43.88333333333334,42.394444444444446,42.37,42.38333333333334,42.348888888888879,42.331111111111113,42.337777777777781,81.231111111111119,62.701111111111103,47.555555555555543,46.071111111111115,23.30777777777778,23.095555555555556
Avg.2020,USA,Q2,d2,2020,19.938888888888886,19.936666666666667,19.935555555555556,19.936666666666667,19.943333333333335,19.966666666666665,26.05777777777778,52.615555555555559,53.298888888888897,53.997777777777777,51.427777777777777,53.942222222222227,46.828888888888891,46.797777777777782,46.791111111111107,46.784444444444439,46.894444444444453,140.14111111111112,171.71444444444444,88.755555555555574,51.3888888888889,49.68888888888889,19.967777777777776,19.942222222222224
Avg.2020,USA,Q2,d3,2020,20.63666666666667,20.625555555555554,20.621111111111112,20.617777777777778,20.619999999999997,20.621111111111112,20.621111111111112,44.055555555555557,44.2,44.206666666666671,43.888888888888886,43.892222222222216,40.364444444444445,40.223333333333329,40.223333333333329,40.221111111111114,40.315555555555548,40.723333333333329,70.394444444444446,72.634444444444441,49.330000000000005,43.325555555555553,21.664444444444445,21.215555555555554
