g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
CahoraBassa1_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2000,2060,700,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
CTMJICA1_TH_MOZ,Mozambique_South,OCGT,Gas,2018,2068,106,1,,10.425987,,,,,,,,0,,0,0,7,11.125987,0.5,0,0
Existing_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2000,2060,96.2,1,,,,,,0.406440138,,,0,0,50,,0,,0,0,0,0
Corumana_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2000,2060,16.6,1,,,,,,0.406440138,,,0,0,50,,0,,0,0,0,0
ExistingSolar_REN_MOZ,Mozambique_North,PV,Solar,2019,2060,20,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Kuvaninga_TH_MOZ,Mozambique_South,OCGT,Gas,2017,2067,40,1,,10.41544727,,,,,,,,0,,0,0,7,11.11544727,0.5,0,0
LuisCabral_TH_MOZ,Mozambique_South,OCGT,HFO,2000,2050,14,1,,13.62126767,,,,,,,,0,,,0,,0,0,0,0
MetoroSolarPV_REN_MOZ,Mozambique_North,PV,Solar,2023,2060,30,1,,0,,,,,,,,0,,0,0,,0,0,1,0
MocubaSolarPV_REN_MOZ,Mozambique_North,PV,Solar,2019,2060,30,1,,0,,,,,,,,0,,0,0,,0,0,1,0
NacalaJICA_TH_MOZ,Mozambique_North,ICE,HFO,2021,2071,102,1,,10.425987,,,,,,,,0,,0,0,,0,0,0,40
RessanoGarciaEDM/Sasol_TH_MOZ,Mozambique_South,OCGT,Gas,2015,2065,175,1,,9.990938997,,,,,,,,0,,,0,7,10.690939,0.5,0,0
RessanoGarciaGigawatt_TH_MOZ,Mozambique_South,OCGT,Gas,2016,2066,120,1,,9.990938997,,,,,,,,0,,,0,7,10.690939,0.5,0,0
CahoraBassa2_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2000,2060,1375,1,,,,,,0.4,,,0,0,50,,0,,0,0,0,0
Temane_TH_MOZ,Mozambique_South,OCGT,Gas,2000,2055,1,1,,10.41544727,,,,,,,,0,,,0,7,11.11544727,0.45,0,0
Temane2_TH_MOZ,Mozambique_South,OCGT,Gas,2014,2064,9.2,1,,10.41544727,,,,,,,,0,,,0,7,11.11544727,0.45,0,0
Lurio_HY_MOZ,Mozambique_North,ReservoirHydro,Water,2030,2110,120,2,,,,,,0.406440138,,,0,4.248837209,50,120,0,,0,0,0,0
MozMGTPEDMSasolGT_TH_MOZ,Mozambique_South,CCGT,Gas,2028,2058,450,2,,9,,,,,,,0,1.25,,450,0,7,9.7,0.05,0,0
MphandaNkuwa_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2032,2112,1500,2,,,,,,0.406440138,,,0,4.436550388,50,1500,0,,0,0,0,0
Lichinga_PV_MOZ,Mozambique_North,PV,Solar,2028,2058,30,3,,0,1,1,,,,,,,,30,,,,,,
CuambaII_PV_MOZ,Mozambique_North,PV,Solar,2028,2058,30,3,,0,1,1,,,,,,,,30,,,,,,
Nacala_TH_MOZ,Mozambique_North,OCGT,Gas,2030,2060,250,3,,,,,,,,,,1.016815742,,250,,,,,,
Manje_PV_MOZ,Mozambique_Central,PV,Solar,2028,2058,30,3,,0,1,1,,,,,,,,30,,,,,,
Boroma_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2032,2110,200,3,,,,,,,,,,,,200,,,,,,
Mugeba_HY_MOZ,Mozambique_North,ReservoirHydro,Water,2032,2110,150,3,,,,,,,,,,,,150,,,,,,
Ruo_HY_MOZ,Mozambique_North,ReservoirHydro,Water,2032,2110,85,3,,,,,,,,,,,,85,,,,,,
AltoMalema_HY_MOZ,Mozambique_North,ReservoirHydro,Water,2032,2110,60,3,,,,,,,,,,,,60,,,,,,
Dondo_PV_MOZ,Mozambique_Central,PV,Solar,2027,2057,30,3,,0,1,1,,,,,,,,30,,,,,,
MavuziII_HY_MOZ,Mozambique_Central,ROR,Water,2030,2110,18,3,,,,,,,,,,,,18,,,,,,
Tsate_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2032,2110,50,3,,,,,,,,,,,,50,,,,,,
Mapai_HY_MOZ,Mozambique_South,ReservoirHydro,Water,2032,2110,75,3,,,,,,,,,,,,75,,,,,,
Massingir_HY_MOZ,Mozambique_South,ROR,Water,2030,2110,18,3,,,,,,,,,,,,18,,,,,,
New_BESS_MOZ_CE,Mozambique_Central,Storage,Battery,2027,2047,4000,3,,,,,,,,,,,,100,,,,,,
New_BESS_MOZ_NO,Mozambique_North,Storage,Battery,2027,2047,2000,3,,,,,,,,,,,,100,,,,,,
New_BESS_MOZ_SO,Mozambique_South,Storage,Battery,2027,2047,4000,3,,,,,,,,,,,,100,,,,,,
New_OffshoreWind_MOZ,Mozambique_South,OffshoreWind,Wind,2032,2062,8000,3,,0,1,1,0,0,70000,0,0,3.2,,200,0,,0,0,1,0
New_OnshoreWind2030_MOZ,Mozambique_South,OnshoreWind,Wind,2030,2060,4000,3,,,,,,,,,,,,150,,,,,,
Namaacha_OnshoreWind_MOZ,Mozambique_South,OnshoreWind,Wind,2028,2058,120,3,,,,,,,,,,,,120,,,,,,
Jangamo_OnshoreWind_MOZ,Mozambique_South,OnshoreWind,Wind,2028,2058,50,3,,,,,,,,,,,,50,,,,,,
New_OnshoreWind2030_MOZ,Mozambique_Central,OnshoreWind,Wind,2030,2060,4000,3,,,,,,,,,,,,100,,,,,,
New_PV_2026_MOZ,Mozambique_Central,PV,Solar,2026,2056,200,3,,0,1,1,,,,,,,,200,,,,,,
New_PV_2030_MOZ_CE,Mozambique_Central,PV,Solar,2030,2060,8000,3,,0,1,1,,,,,,,,100,,,,,,
New_PV_2030_MOZ_NO,Mozambique_North,PV,Solar,2030,2060,3000,3,,0,1,1,,,,,,,,100,,,,,,
CTMJICA2_TH_MOZ,Mozambique_South,OCGT,Gas,2028,2048,29,3,,,,,,,,,,1.016815742,,29,0,7,9.7,0.05,0,0
Lupata_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2032,2110,650,3,,,,,,0.406440138,,,0,4.248837209,,650,0,,0,0,0,0
Beluluane_TH_MOZ,Mozambique_South,CCGT,Gas,2030,2060,2000,3,,,,,,,,,,1.245080501,,100,0,7,7.1,0.05,0,0
