z,q,d,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
ALGERIA,Q1,d1,2018,9317.0,9468.6,9373.3,9520.7,9231.4,9099.9,8997.0,9319.0,10889.0,11995.0,11660.0,10211.0,8837.6,8020.8,7310.2,6922.4,6696.3,6659.2,6669.7,6835.9,7618.4,8737.4,8949.9,9251.9
ALGERIA,Q1,d1,2019,10193.339413372,10359.1986228887,10254.9348849801,10416.1990504337,10099.688039133,9955.81939763267,9843.24081808604,10195.5275295925,11913.1987627141,13123.2270326711,12756.7175657312,11171.427363952,9668.84795530924,8775.22129084189,7997.78359768507,7573.50786252293,7326.14132379121,7285.55176790025,7297.03937805807,7478.8718359847,8334.97230726983,9559.22333266033,9791.71068109239,10122.1162303935
ALGERIA,Q1,d1,2020,11184.0,11359.0,11249.0,11419.0,11085.0,10931.0,10810.0,11187.0,12968.0,14207.0,13833.0,12204.0,10621.0,9627.9,8757.4,8282.4,8005.6,7960.2,7973.0,8176.4,9135.0,10501.0,10754.0,11109.0
ALGERIA,Q1,d1,2021,11652.7102910442,11835.0443665926,11720.4343762479,11897.5589067806,11549.561299734,11389.1073132515,11263.0363238723,11655.8360180536,13511.4759526343,14802.4012075166,14412.7272403447,12715.4574742403,11066.1155222801,10031.3956912683,9124.41390404065,8629.50712755228,8341.10671548495,8293.80404674269,8307.1404819828,8519.06477322013,9517.83874362384,10941.0864419041,11204.6894196969,11574.5671158092
ALGERIA,Q1,d1,2022,12141.0637631445,12331.0392780363,12211.6260972472,12396.173740285,12033.5919004342,11866.4134473294,11735.0589484614,12144.3204862569,14077.7284406704,15422.7550861046,15016.7502714215,13248.3496213712,11529.8853923782,10451.8014847263,9506.80899493576,8991.16116880078,8690.67418296044,8641.38910652564,8655.28445847201,8876.09028549487,9916.7218773538,11399.6164678809,11674.266783696,12059.6456853337
ALGERIA,Q1,d1,2023,12649.8836424372,12847.8208417779,12723.4031736209,12915.685024409,12537.9077410959,12363.7230056761,12226.8635707034,12653.2768515688,14667.712006002,16069.1073773342,15646.0873056003,13803.5747471659,12013.0913954154,10889.8260658996,9905.22988289339,9367.97177039718,9054.8916745257,9003.54110966817,9018.0188019628,9248.07838108223,10332.3218055851,11877.3630301532,12163.5236669143,12565.0534141483
ALGERIA,Q1,d1,2024,13180.0276556456,13386.2602056937,13256.628317092,13456.9685085673,13063.3589559041,12881.8743118618,12739.2792343999,13183.5630707893,15282.4211944217,16742.5476487622,16301.7992275166,14382.0688044974,12516.548080348,11346.2078206179,10320.3481930929,9760.57412867659,9434.37315808622,9380.87054224517,9395.95498019154,9635.65612693317,10765.3391125109,12375.1314746007,12673.2848183845,13091.6422770535
ALGERIA,Q1,d1,2025,13754.0,13964.0,13832.0,14036.0,13634.0,13448.0,13300.0,13756.0,15878.0,17342.0,16900.0,14973.0,13069.0,11840.0,10759.0,10168.0,9824.5,9768.2,9784.1,10037.0,11228.0,12922.0,13232.0,13662.0
ALGERIA,Q1,d1,2026,14303.779770992,14522.1739655469,14384.8976146839,14597.0519751086,14178.9830883892,13985.5482303549,13831.6323218114,14305.8597157021,16512.6810530618,18035.200580816,17575.5327998957,15571.5060717656,13591.398707801,12313.2726834772,11189.0625676969,10574.4389058781,10217.2084019275,10158.6579583397,10175.1935187846,10438.20252737,11676.8096022029,13438.5227716126,13760.9142016698,14208.1023143299
ALGERIA,Q1,d1,2027,14875.5355341748,15102.6594590096,14959.8958491135,15180.5305189529,14745.7504342693,14544.5835294157,14384.5152395322,14877.6986191733,17172.7318025031,18756.1100213509,18278.0682366988,16193.9358407154,14134.678922214,12805.4631906813,11636.3157490321,10997.1241319972,10625.6142835176,10564.7234408119,10581.9199665494,10855.4420646003,12143.5591811629,13975.6921748297,14310.9703495857,14776.0336242473
ALGERIA,Q1,d1,2028,15470.1457217103,15706.3483247028,15557.8781171075,15787.3320743003,15335.1728057146,15125.9647859212,14959.4981895265,15472.3952703102,17859.1663348347,19505.8359099825,19008.6856693983,16841.2455933669,14699.6753262347,13317.3277115784,12101.4466933169,11436.705082038,11050.3451100002,10987.0203169122,11004.9042282816,11289.3596487426,12628.9658400002,14534.3335041399,14883.0135371289,15366.6664861136
ALGERIA,Q1,d1,2029,16088.5238787624,16334.1680560592,16179.7631446155,16418.3889168467,15948.15577745,15730.5852204157,15557.4645621303,16090.8633471176,18573.0392719929,20285.5301080048,19768.5076015039,17514.4298412614,15287.2559671038,13849.6526628288,12585.1700168391,11893.8571178753,11492.0534278684,11426.1973936693,11444.7961670932,11740.6219406092,13133.7753461353,15115.3050429961,15477.9226380533,15980.9083344229
ALGERIA,Q1,d1,2030,13560.0,12998.0,12587.0,12259.0,12149.0,12607.0,13985.0,15204.0,16151.0,17049.0,17141.0,17014.0,16668.0,16878.0,16783.0,16685.0,16518.0,17527.0,20600.0,21032.0,20410.0,18313.0,16250.0,14687.0
ALGERIA,Q1,d1,2031,14102.0251341175,13517.5606705943,13090.1320326797,12749.021100232,12634.6241411795,13110.9314797802,14544.0133850024,15811.739685776,16796.5935059832,17730.4886807942,17826.1661374563,17694.0896483684,17334.2592135303,17552.6534080852,17453.856034358,17351.9387435657,17178.2633602767,18227.5954664954,21423.4305134823,21872.6985708524,21225.8357660279,19045.0137375438,16899.5507691305,15274.0739782289
ALGERIA,Q1,d1,2032,14665.7162893275,14057.8894047699,13613.3754375933,13258.6294978515,13139.6598229381,13635.0062875776,15125.371851493,16443.7721580336,17467.9929047883,18439.2180690815,18538.7199790091,18401.364081609,18027.1503768814,18254.2743017161,18151.5277642909,18045.536599368,17864.9190019994,18956.1953837053,22279.7754837867,22747.0018434467,22074.2824089362,19806.2877880867,17575.0656122104,15884.6146859405
ALGERIA,Q1,d1,2033,15251.9395075172,14619.8163509372,14157.5341136518,13788.6081432635,13664.8829702674,14180.0295996511,15729.9685850021,17101.0684566587,18166.2297187249,19176.277040093,19279.7562756897,19136.9099395942,18747.7380318065,18983.9406347991,18877.0870763024,18766.8591949059,18579.0218868119,19713.919155476,23170.3505792665,23656.2530768512,22956.6434622733,20597.991755248,18277.5823744214,16519.5601435771
ALGERIA,Q1,d1,2034,15861.5954483073,15204.204840494,14723.4440934988,14339.7712832448,14211.1005237084,14746.8387770509,16358.7324737889,17784.6384362879,18892.3767024787,19942.7979939669,20050.4135383065,19901.8572977508,19497.1292722999,19742.7734495967,19631.6487027243,19517.0147533191,19321.6691456593,20501.9309308615,24096.5240586379,24601.8492233628,23874.2745648932,21421.3419944581,19008.1803860615,17179.8858664668
ALGERIA,Q1,d1,2035,16495.6207728048,15811.9527142269,15311.9748279715,14912.9657119332,14779.1516791155,15336.3046521202,17012.6295359642,18495.5323178263,19647.5494912663,20739.958595542,20851.8757866259,20697.3814032818,20276.4754455096,20531.9385990708,20416.3719343645,20297.155796036,20094.0017643945,21321.4413926954,25059.71887314,25585.2430747515,24828.5855437276,22277.6034817385,19767.9821208022,17866.6063635829
ALGERIA,Q1,d1,2036,17154.989582667,16443.9937017334,15924.0305219048,15509.0720718226,15369.9091769779,15949.332866422,17692.6644036576,19234.8423019814,20432.9083148712,21568.9835836939,21685.374368473,21524.7044807888,21086.9739206411,21352.6485380717,21232.462401615,21108.4809134807,20897.206336762,22173.7096176551,26061.4148527241,26607.9454942958,25821.0425798107,23168.0917571814,20558.1549202314,18580.7766962116
ALGERIA,Q1,d1,2037,17840.7149166883,17101.2988559819,16560.5515233301,16129.0062067612,15984.2806432777,16586.8652621452,18399.8818665107,20003.7042472956,21249.6597801941,22431.1466529955,22552.1898515453,22385.0976100689,21929.8699285664,22206.1641861257,22081.1739267536,21952.2366065593,21732.5168874526,23060.0450106781,27103.1509796297,27671.5277380375,26853.1704608855,24094.1749461145,21379.9127873292,19323.4940989234
ALGERIA,Q1,d1,2038,18553.8503072097,17784.8780452147,17222.5157682041,16773.7205690327,16623.2099839447,17249.8813291292,19135.3684768678,20803.2994152519,22099.0587250548,23327.7724105913,23453.6539908467,23279.8826789724,22806.4584749683,23093.7968646817,22963.8104502876,22829.7192017547,22601.2167680302,23981.8093167009,28186.5277528406,28777.6238688225,27926.5549240523,25057.2758610568,22234.518251634,20095.8996653384
ALGERIA,Q1,d1,2039,19295.4913987407,18495.7815044861,17910.9402828871,17444.2056826816,17287.6788350517,17939.3997097289,19900.254219129,21634.8562851367,22982.410146096,24260.2384112928,24391.1517747651,24210.4344143197,23718.0863299565,24016.9103117954,23881.7280342969,23742.276842772,23504.640628643,24940.4187128118,29313.2096470545,29927.9332668374,29042.8450920574,26058.8741876946,23123.2843089629,20899.1801012762
ALGERIA,Q1,d1,2040,20066.7776312824,19235.1014492189,18626.8827466779,18141.4916653312,17978.7080709771,18656.4797638331,20695.7142458322,22499.6524414467,23901.0712037494,25229.9772740217,25366.123552936,25178.1824939999,24666.1540972135,24976.922777344,24836.3369458564,24691.3115617955,24444.1764685489,25937.3459840329,30484.9276699423,31124.2232404964,30203.7560069671,27100.5087582356,24047.5764386681,21734.5695479826
ALGERIA,Q1,d1,2041,20066.7776312824,19235.1014492189,18626.8827466779,18141.4916653312,17978.7080709771,18656.4797638331,20695.7142458322,22499.6524414467,23901.0712037494,25229.9772740217,25366.123552936,25178.1824939999,24666.1540972135,24976.922777344,24836.3369458564,24691.3115617955,24444.1764685489,25937.3459840329,30484.9276699423,31124.2232404964,30203.7560069671,27100.5087582356,24047.5764386681,21734.5695479826
ALGERIA,Q1,d2,2018,5955.6,5553.2,5337.4,5284.7,5305.8,5665.2,5942.4,6036.1,6902.0,7342.6,7403.7,7377.3,7139.4,7155.1,7000.4,6760.0,6605.9,6448.7,6688.7,8365.4,8659.8,8285.2,7905.9,6893.6
ALGERIA,Q1,d2,2019,6515.77248151531,6075.52349794325,5839.4257577473,5781.76889533614,5804.85352146281,6198.05800629332,6501.33091445976,6603.84415939193,7551.18907707345,8033.23108045777,8100.07803099518,8071.19489688409,7810.9184724512,7828.09518478242,7658.84439512388,7395.83282541532,7227.23847062294,7055.25253568872,7317.82648215317,9152.23371564043,9474.32442330349,9064.4902551969,8649.51401397204,7541.9989889472
ALGERIA,Q1,d2,2020,7108.3,6632.1,6379.1,6317.6,6342.1,6764.0,7092.6,7204.5,8257.4,8797.1,8871.9,8839.6,8548.1,8567.4,8377.9,8083.5,7895.0,7703.1,7996.3,10050.0,10407.0,9951.6,9487.2,8247.1
ALGERIA,Q1,d2,2021,7406.20176697332,6910.04469968119,6646.44172188843,6582.36431819572,6607.89108877249,7047.47249719449,7389.84379562413,7506.43341307476,8603.45940247394,9165.77769146505,9243.71248489943,9210.05882409822,8906.34234968483,8926.4511934453,8729.00943735152,8422.27142682904,8225.87157973839,8025.92924203708,8331.41696175581,10471.1854814909,10843.1469956096,10368.6616355826,9884.79909452743,8592.72773974167
