zone,type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,39512.937596,40350.076107,39345.509896,40684.931507,41019.786907,41354.642318,41856.925418,42024.353118000006,42442.922379,42861.491629000004,43531.20244,44200.91324,45038.051751,45875.190262000004,47130.898023,48386.60578400001,49726.027395000005,51065.449006,52739.726028,54414.003039,55920.852361000005,57427.701672,58934.550994000005,60441.40030500001,61864.535766,63287.671238,64794.52054900001,66301.36986,67724.505332,69147.640793,70654.490104
Lesotho,Peak,203.50000000000003,203.50000000000003,204.60000000000002,210.10000000000002,209.00000000000003,205.70000000000002,209.00000000000003,215.60000000000002,214.50000000000003,224.4,225.50000000000003,225.50000000000003,225.50000000000003,225.50000000000003,227.70000000000002,227.70000000000002,232.10000000000002,236.50000000000003,242.00000000000003,246.40000000000003,251.90000000000003,257.40000000000003,262.90000000000003,268.40000000000003,273.90000000000003,279.40000000000003,284.90000000000003,290.40000000000003,295.90000000000003,301.40000000000003,306.90000000000003
Eswatini,Peak,328.38235298,341.32352936,354.26470585000004,367.20588234,380.14705883000005,393.08823532,406.02941181000006,418.97058819000006,431.9117646800001,444.85294117,457.79411766000004,470.73529415,483.67647064000005,496.61764702000005,509.55882351,522.5,535.4411764900001,548.3823529800001,561.3235293600001,574.26470585,587.20588234,600.14705883,613.0882353200001,626.02941181,638.9705881900001,651.91176468,664.8529411700001,677.7941176600001,690.7352941500001,703.67647064,716.61764702
Mozambique,Peak,896.6931215000001,989.4045260000001,1039.54469212,1101.7409194000002,1205.8696518000002,1286.1301904000002,1384.5694951,1475.7638786000002,1568.4684950000003,1637.709436,1708.7985794,1763.7180055000001,1820.4930359,1878.4515860000001,1938.9393914000002,2000.6924971000003,2064.987188,2131.2301219,2199.4180318,2269.5477255000005,2342.3685472,2415.1893689000003,2488.0101906,2560.8310123,2633.6518340000002,2706.4726557,2779.2934774000005,2852.1142991,2924.9351219000005,2997.7559436,3070.5767653000003
Zimbabwe,Peak,1970.1000000000001,2025.1000000000001,2157.1000000000004,2246.2000000000003,2329.8,2369.4,2516.8,2589.4,2667.5,2743.4,2824.8,2897.6151633000004,2996.1297949000004,3074.2990146,3179.2385141000004,3261.6909776,3361.2764218,3435.1623955000005,3512.2608037000005,3589.3592119000004,3668.5992420000002,3747.8392721000005,3827.0793022000003,3906.3193323,3985.5593635,4064.7993936000003,4144.0394237,4223.279453800001,4302.519485000001,4381.7595151000005,4460.9995452
Botswana,Peak,635.8000000000001,674.3000000000001,748.0000000000001,817.3000000000001,881.1,957.0000000000001,1035.1000000000001,1052.7,1082.4,1118.7,1140.7,1181.7890194000001,1152.8000000000002,1194.3248713,1237.3455061000002,1191.3000000000002,1234.2116754,1278.6690675000002,1261.7,1307.147545,1290.3000000000002,1336.7777423,1384.9296549,1434.8160409,1486.4993792000002,1540.044396,1595.5181517,1652.9901212000002,1712.5322819,1774.2192028,1838.1281413000002
Namibia,Peak,707.3000000000001,710.6,727.1,744.7,765.6,793.1,811.8000000000001,830.5000000000001,838.2,853.6,865.7,876.7,885.5000000000001,902.0000000000001,914.1,926.2,935.0000000000001,952.6,965.8000000000001,979.0000000000001,987.8000000000001,1006.5000000000001,1020.8000000000001,1034.0,1051.75209645,1069.80896748,1088.17584568,1106.8580534,1125.8610033,1145.1902044000003,1164.8512557
Zambia,Peak,2549.8,2681.8,2813.8,2945.8,3077.8,3209.8,3341.8,3859.6250000000005,4377.450000000001,4895.275000000001,5413.1,5710.43,6007.760000000001,6305.09,6602.42,6899.750000000001,7197.080000000001,7494.410000000001,7791.74,8089.070000000001,8386.400000000001,8651.17,8915.94,9180.710000000001,9445.48,9710.25,9975.020000000002,10239.79,10504.560000000001,10769.33,11034.1
Angola,Peak,2462.9770000000003,2522.6124000000004,2583.1969691000004,2733.5617463000003,3217.0242698,3959.8325481000006,4283.999809100001,4644.129787000001,4781.501399400001,4953.408314800001,5086.9654396,5219.3258326000005,5350.9575405,5485.1044292,5617.0514499,5749.548437600001,5882.045425300001,6014.542413000001,6147.0394007,6279.536389500001,6412.0333772,6547.326024800001,6685.473322000001,6826.5354993,6970.574061,7117.651808300001,7267.832867900001,7421.182717300001,7577.768218900001,7737.6576442000005,7900.920704600001
Tanzania,Peak,0.0,0.0,1552.43,1725.46,2161.181,2528.097,2991.5270000000005,3449.589,3980.3280000000004,4308.700000000001,4743.618,5047.691000000001,5240.444,5408.051,5570.202,5733.486000000001,5889.675,6054.070000000001,6210.875000000001,6523.264,6698.032,6872.547000000001,7036.579000000001,7215.274,7382.947000000001,7567.5380000000005,7740.689,7933.497000000001,8155.939,0.0,0.0
DRC,Peak,1370.7875830000003,1423.4258269000002,1478.0853780000002,1534.8438567000003,1593.7818611000002,1654.9830847,1718.5344352000002,1784.5261566000001,1853.0519612,1924.2091572000002,1998.0987884,2074.8257816,2154.4990918000003,2237.2318573000002,2323.1415603,2412.3501963000003,2504.9844435000005,2601.1758465000003,2701.0609989,2804.7817413000002,2912.4853604000004,3020.1889795,3127.8925975,3235.5962166000004,3343.2998357,3451.0034548000003,3558.7070739,3666.4106919000005,3774.1143110000003,3881.8179301000005,3989.5215492
