gen,Q1,Q2,Q3,Q4
CTH_10,0.9,0.9,0.9,0.9
CTH_30,0.9,0.9,0.9,0.9
CTH_5,0.9,0.9,0.9,0.9
Mubuga,1,1,1,1
Buhiga,0.332676856,0.35081261,0.32699473,0.305515804
Gikonge,0.332676856,0.35081261,0.32699473,0.305515804
Kayenzi,0.332676856,0.35081261,0.32699473,0.305515804
Marangara,0.332676856,0.35081261,0.32699473,0.305515804
Mugere,0.332676856,0.35081261,0.32699473,0.305515804
Nyemanga,0.332676856,0.35081261,0.32699473,0.305515804
Rusumo Falls,0.540980095,0.622084456,0.45813434,0.454012765
Ruvyironza,0.540980095,0.622084456,0.45813434,0.454012765
RUZB 007,0.540980095,0.622084456,0.45813434,0.454012765
Ruzizi I,0.522777916,0.551276959,0.513848862,0.480096263
Ruzizi II,0.522777916,0.551276959,0.513848862,0.480096263
Rwegura,0.540980095,0.622084456,0.45813434,0.454012765
Maramvya,1,1,1,1
Dama015,0.332676856,0.35081261,0.32699473,0.305515804
Kabu16,0.525609011,0.55426239,0.516631602,0.482696216
Kabu23,0.332676856,0.35081261,0.32699473,0.305515804
Kirasa-karonge,0.332676856,0.35081261,0.32699473,0.305515804
Mpanda_BUR,0.525609011,0.55426239,0.516631602,0.482696216
Mule037 (Mulembwe),0.332676856,0.35081261,0.32699473,0.305515804
Mulembwe,0.525609011,0.55426239,0.516631602,0.482696216
Mushara,0.332676856,0.35081261,0.32699473,0.305515804
Sigu011,0.332676856,0.35081261,0.32699473,0.305515804
Waga (Kanka),0.332676856,0.35081261,0.32699473,0.305515804
Centrale tourbe (Kayanza),0.92,0.92,0.92,0.92
Jiji,0.525609011,0.55426239,0.516631602,0.482696216
Ruvyi102 (Ruvyironza),0.540980095,0.622084456,0.45813434,0.454012765
Centrale thermique (Dechets Municipaux),0.92,0.92,0.92,0.92
Gikuka (KIKU002),0.540980095,0.622084456,0.45813434,0.454012765
BoulaosM01,0.486725664,0.486725664,0.486725664,0.486725664
BoulaosM02,0.486725664,0.486725664,0.486725664,0.486725664
