gen,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Solar,0.957,1,1,0.954023,0.909091,0.863114,0.818182,0.772205,0.727273,0.681296,0.670846,0.660397,0.649948,0.638454,0.628004,0.617555,0.607106,0.596656,0.585162,0.574713,0.564263,0.553814,0.543365,0.53187,0.521421,0.510972,0.500522,0.490073,0.478579,0.46813
Rooftop PV,0.951,1,1,0.948475,0.895899,0.844374,0.79285,0.741325,0.6898,0.637224,0.629863,0.622503,0.615142,0.607781,0.600421,0.59306,0.585699,0.578339,0.570978,0.563617,0.556257,0.548896,0.541535,0.534175,0.526814,0.519453,0.512093,0.504732,0.49632,0.488959
Wind_Low_1,0.993,1,1,0.991944,0.984894,0.977845,0.970796,0.962739,0.95569,0.94864,0.945619,0.942598,0.939577,0.936556,0.934542,0.931521,0.928499,0.925478,0.923464,0.920443,0.917422,0.914401,0.91138,0.909366,0.906344,0.903323,0.900302,0.897281,0.895267,0.892246
Wind_Offshore,0.955,1,1,0.95288,0.905759,0.858639,0.811518,0.765445,0.718325,0.671204,0.659686,0.649215,0.638743,0.627225,0.616754,0.606283,0.594764,0.584293,0.573822,0.562304,0.551832,0.541361,0.529843,0.519372,0.507853,0.497382,0.486911,0.475393,0.464921,0.45445
Battery,0.915,1,1,0.913661,0.864481,0.817486,0.775956,0.734426,0.693989,0.659016,0.652459,0.645902,0.640437,0.63388,0.627322,0.620765,0.614208,0.608743,0.602186,0.595628,0.589071,0.582514,0.577049,0.570492,0.563934,0.557377,0.55082,0.545355,0.538798,0.53224
Wind_Low_2,0.993,1,1,0.991944,0.984894,0.977845,0.970796,0.962739,0.95569,0.94864,0.945619,0.942598,0.939577,0.936556,0.934542,0.931521,0.928499,0.925478,0.923464,0.920443,0.917422,0.914401,0.91138,0.909366,0.906344,0.903323,0.900302,0.897281,0.895267,0.892246
Geothermal,0.987,1,1,0.986829,0.973658,0.960486,0.948328,0.935157,0.921986,0.908815,0.903749,0.899696,0.89463,0.890578,0.886525,0.881459,0.877406,0.873354,0.868288,0.864235,0.860182,0.855117,0.851064,0.847011,0.842958,0.838906,0.834853,0.829787,0.825735,0.821682
Biomass,0.994,1,1,0.992958,0.986922,0.979879,0.973843,0.967807,0.960765,0.954728,0.948692,0.94165,0.935614,0.929577,0.922535,0.916499,0.910463,0.903421,0.897384,0.890342,0.884306,0.87827,0.871227,0.865191,0.859155,0.852113,0.846076,0.84004,0.832998,0.826962
GasCCS,0.992,1,1,0.985887,0.975806,0.960685,0.945565,0.931452,0.917339,0.905242,0.892137,0.88004,0.867944,0.852823,0.83871,0.824597,0.810484,0.796371,0.789315,0.783266,0.77621,0.769153,0.762097,0.75504,0.747984,0.740927,0.733871,0.727823,0.721774,0.715726
Wind_High,0.993,1,1,0.991944,0.984894,0.977845,0.970796,0.962739,0.95569,0.94864,0.945619,0.942598,0.939577,0.936556,0.934542,0.931521,0.928499,0.925478,0.923464,0.920443,0.917422,0.914401,0.91138,0.909366,0.906344,0.903323,0.900302,0.897281,0.895267,0.892246
Wind_NREL,0.962342,1,1,0.960868,0.921736,0.882605,0.843473,0.804341,0.765209,0.726078,0.718817,0.711556,0.704295,0.697035,0.689774,0.682513,0.675252,0.667991,0.660731,0.65347,0.646209,0.638948,0.631688,0.624427,0.617166,0.609905,0.602644,0.595384,0.588123,0.580862
