zone,season,day,year,t1,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t2,t20,t21,t22,t23,t24,t3,t4,t5,t6,t7,t8,t9
Burundi,Q1,d1,2022,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749
Burundi,Q1,d1,2023,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Burundi,Q1,d1,2024,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Burundi,Q1,d1,2026,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Burundi,Q1,d1,2028,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921
Burundi,Q1,d1,2030,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,234.801,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375
Burundi,Q1,d1,2032,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97
Burundi,Q1,d1,2034,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087
Burundi,Q1,d1,2036,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809,46.3809
Burundi,Q1,d1,2038,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986,46.7986
Burundi,Q1,d1,2040,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648,49.9648
Burundi,Q1,d1,2042,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776,70.3776
Burundi,Q1,d1,2044,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945,115.945
Burundi,Q1,d1,2046,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981,128.981
Burundi,Q1,d1,2048,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554,126.554
Burundi,Q1,d1,2050,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127,124.127
Burundi,Q1,d2,2022,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749,318.749
Burundi,Q1,d2,2023,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Burundi,Q1,d2,2024,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Burundi,Q1,d2,2026,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Burundi,Q1,d2,2028,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921,166.921
Burundi,Q1,d2,2030,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,234.801,234.801,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375,147.375
Burundi,Q1,d2,2032,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97,145.97
Burundi,Q1,d2,2034,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087,46.9087
