zone,tech,fuel,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,ST,Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,OCGT,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,ICE,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,CCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,OCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,OCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,CCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,ICE,Diesel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,Nuclear,Uranium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,ST,Biomass,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,ST,Geothermal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,ROR,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,Storage,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,ReservoirHydro,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South_Africa,PV,Solar,1.000 ,0.945,0.891,0.836,0.782,0.727,0.672,0.617,0.609,0.600,0.592,0.583,0.575,0.566,0.558,0.550,0.542,0.534,0.525,0.517,0.508,0.500,0.492,0.483,0.475,0.466,0.458,0.449
South_Africa,OnshoreWind,Wind,1.000 ,0.947,0.895,0.842,0.789,0.737,0.684,0.632,0.624,0.618,0.611,0.603,0.596,0.588,0.582,0.575,0.567,0.560,0.553,0.546,0.539,0.532,0.524,0.517,0.511,0.503,0.496,0.488
South_Africa,OffshoreWind,Wind,1.000 ,0.953,0.905,0.857,0.809,0.762,0.714,0.667,0.657,0.648,0.637,0.628,0.618,0.609,0.600,0.590,0.580,0.570,0.561,0.551,0.542,0.532,0.522,0.513,0.503,0.494,0.484,0.475
South_Africa,Storage,Battery,1.000 ,0.906,0.811,0.758,0.705,0.654,0.601,0.549,0.542,0.535,0.528,0.521,0.514,0.507,0.501,0.494,0.486,0.480,0.473,0.467,0.459,0.452,0.446,0.439,0.432,0.425,0.418,0.412
South_Africa,CSPPlant,CSP,1.000,0.944,0.887,0.831,0.775,0.719,0.663,0.653,0.643,0.633,0.622,0.612,0.602,0.592,0.582,0.571,0.562,0.551,0.542,0.531,0.522,0.511,0.501,0.491,0.480,0.471,0.460,0.379
Angola,ST,Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,OCGT,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,ICE,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,CCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,OCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,OCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,CCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,ICE,Diesel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,Nuclear,Uranium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,ST,Biomass,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,ST,Geothermal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,ROR,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,Storage,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,ReservoirHydro,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,PV,Solar,1.000 ,0.945,0.891,0.836,0.782,0.727,0.672,0.617,0.609,0.600,0.592,0.583,0.575,0.566,0.558,0.550,0.542,0.534,0.525,0.517,0.508,0.500,0.492,0.483,0.475,0.466,0.458,0.449
Angola,OnshoreWind,Wind,1.000 ,0.947,0.895,0.842,0.789,0.737,0.684,0.632,0.624,0.618,0.611,0.603,0.596,0.588,0.582,0.575,0.567,0.560,0.553,0.546,0.539,0.532,0.524,0.517,0.511,0.503,0.496,0.488
Angola,OffshoreWind,Wind,1.000 ,0.953,0.905,0.857,0.809,0.762,0.714,0.667,0.657,0.648,0.637,0.628,0.618,0.609,0.600,0.590,0.580,0.570,0.561,0.551,0.542,0.532,0.522,0.513,0.503,0.494,0.484,0.475
Angola,Storage,Battery,1.000 ,0.906,0.811,0.758,0.705,0.654,0.601,0.549,0.542,0.535,0.528,0.521,0.514,0.507,0.501,0.494,0.486,0.480,0.473,0.467,0.459,0.452,0.446,0.439,0.432,0.425,0.418,0.412
Angola,CSPPlant,CSP,1.000,0.944,0.887,0.831,0.775,0.719,0.663,0.653,0.643,0.633,0.622,0.612,0.602,0.592,0.582,0.571,0.562,0.551,0.542,0.531,0.522,0.511,0.501,0.491,0.480,0.471,0.460,0.379
Botswana,ST,Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,OCGT,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,ICE,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,CCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,OCGT,Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,OCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
