zone,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
South_Africa,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Angola,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Botswana,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
DRC,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
DRC_South,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Eswatini,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Lesotho,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Malawi,ST ,Coal,,0.33,0.33,0,0.05,60000,3,0,,30
Mozambique,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Namibia,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Tanzania,ST ,Coal,,0.04,0.04,0,0.1,66000,6.5,0,2.2,50
Zambia,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Zimbabwe,ST ,Coal,,0.33,0.33,0,0.05,45000,3,0,,30
Malawi,ICE,Diesel,11,0.15,0.15,0,0.2,46550,5.58,0,,30
South_Africa,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Angola,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Botswana,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
DRC,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
DRC_South,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Eswatini,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Lesotho,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Malawi,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Mozambique,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Namibia,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Tanzania,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Zambia,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
Zimbabwe,OCGT,HFO,,1,1,0,0.2,20000,4.4,0,,30
South_Africa,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Angola,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Botswana,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
DRC,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
DRC_South,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Eswatini,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Lesotho,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Malawi,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Mozambique,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Namibia,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Tanzania,ICE,HFO,,0.16,0.16,0,0.2,13300,4.5,0,,30
Zambia,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
Zimbabwe,ICE,HFO,,1,1,0,0.4,8000,6.4,0,,30
South_Africa,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Angola,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Botswana,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
DRC,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
DRC_South,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Eswatini,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Lesotho,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Malawi,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Mozambique,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Namibia,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Tanzania,CCGT,Gas,6.75,0.1,0.1,0,0.2,30000,4.5,0,1.2,30
Zambia,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
Zimbabwe,CCGT,Gas,6.4,1,1,0,0.05,30000,2,0,,30
South_Africa,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Angola,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Botswana,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
DRC,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
DRC_South,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Eswatini,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Lesotho,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Malawi,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Mozambique,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Namibia,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Tanzania,OCGT,Gas,9,0.2,0.2,0,0.2,20000,4.5,0,,30
Zambia,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
Zimbabwe,OCGT,Gas,9,1,1,0,0.2,20000,4,0,,30
South_Africa,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
Angola,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
Botswana,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
DRC,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
DRC_South,CCGT,LNG,6.4,1,1,0,0.05,30000,2,0,,30
