From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola,Namibia,2032,2,313.0,452.647843,30,2
Botswana,Zimbabwe,2032,2,275.0,305.731,30,3
DRC,Angola,2035,2,200.0,246.8064,30,3
DRC,South_Africa,2037,2,1500.0,2100.0,30,3
DRC,DRC_South,2032,2,300.0,885.2,30,3
DRC_South,Zambia,2032,3,143.3,161.34,30,3
Eswatini,South_Africa,2032,2,0.0,45.0,30,3
Lesotho,South_Africa,2032,2,0.0,17.0,30,3
Malawi,Zambia,2030,2,400.0,191.7,30,2
Malawi,Mozambique,2026,2,300.0,167.52,30,2
Mozal,Mozambique,2032,2,1000.0,500.0,30,3
Mozambique,Zambia,2033,2,300.0,136.2,30,3
Mozambique,South_Africa,2032,2,0.0,206.0,30,3
Mozambique,Zimbabwe,2033,2,275.0,107.184,30,3
Mozambique,Eswatini,2032,2,0.0,182.9484902,30,3
Namibia,Botswana,2034,2,300.0,344.52,30,3
Namibia,South_Africa,2032,2,0.0,129.468,30,3
South_Africa,Zimbabwe,2032,2,0.0,150.394,30,3
South_Africa,Botswana,2032,2,300.0,128.515,30,3
Tanzania,Mozambique,2034,2,200.0,150.02,30,3
Tanzania,Malawi,2032,2,200.0,63.0,30,3
Zambia,Angola,2037,2,1920.0,1284.0,30,3
Zambia,Botswana,2032,2,0.0,131.731,30,3
Zambia,Namibia,2034,2,155.0,131.731,30,3
Zambia,Zimbabwe,2032,2,410.0,68.352,30,3
Zambia,Tanzania,2032,2,250.0,400.0,30,3
