gen,Q1,Q2,Q3,Q4
AH_Cambambe_C1_HY_AGO_NO,0.87,0.83,0.77,0.85
AH_Cambambe_C2_HY_AGO_NO,0.5,0.46,0.4,0.48
AH_Capanda_HY_AGO_NO,0.68,0.63,0.57,0.65
AH_Lauca_HY_AGO_NO,0.53,0.48,0.42,0.5
AH_Gove_HY_AGO_CE,0.32,0.28,0.22,0.28
BatokaGorgeNorth_HY_ZMB,0.75,0.85,0.35,0.4
BatokaGorgeSouth_HY_ZWE,0.75,0.85,0.35,0.4
Baynes(Angola)_HY_AGO_SO,0.24,0.22,0.17,0.22
Baynes(Namibia)_HY_NAM,0.24,0.22,0.17,0.22
BotswanaCoal_TH_BWA,0.85,0.85,0.85,0.85
Busanga_HY_DRCSouth,0.68,0.62,0.55,0.6
CaculoCabaca_HY_AGO_NO,0.52,0.47,0.38,0.45
Cafula(Keve)_HY_AGO,0.62,0.55,0.47,0.55
CahoraBassa1_HY_MOZ,0.9,0.87,0.8,0.82
Boroma_HY_MOZ,0.58,0.55,0.43,0.45
Calengue(Catumbela)_HY_AGO,0.73,0.69,0.62,0.69
CandidateHydro_HY_ZMB,0.85,0.92,0.47,0.43
Cedar_Muloza_HY_MWI,0.72,0.67,0.6,0.55
Chasombo_HY_MWI,0.72,0.67,0.6,0.55
ChishimbaFalls_HY_ZMB,0.72,0.55,0.43,0.58
ChishimbaFallsExt_HY_ZMB,0.72,0.55,0.43,0.58
Corumana_HY_MOZ,0.38,0.3,0.22,0.3
Chizuma_HY_MWI,0.72,0.67,0.6,0.55
Cutato1-3_HY_AGO,0.43,0.38,0.31,0.38
Devil'sGorgeNorth_HY_ZMB,0.75,0.85,0.35,0.4
Devil'sGorgeSouth_HY_ZWE,0.75,0.85,0.35,0.4
Edwaleni1_HY_SWZ,0.76,0.38,0.35,0.68
Edwaleni2_HY_SWZ,0.76,0.38,0.35,0.68
Existing_HY_MOZ,0.43,0.4,0.3,0.33
ExistingHydro1985_HY_ZAF,0.43,0.4,0.32,0.33
ExistingHydro2015_HY_ZAF,0.43,0.4,0.32,0.33
ExistingSmallHydro2000_HY_AGO,0.52,0.32,0.27,0.5
ExistingSmallHydro2012_HY_AGO,0.52,0.32,0.27,0.5
Ezulwini_HY_SWZ,0.67,0.33,0.3,0.6
Gairezi_HY_ZWE,0.62,0.55,0.38,0.43
Gariep_HY_ZAF,0.32,0.3,0.25,0.26
Genga_HY_AGO,0.43,0.38,0.31,0.38
Hale_HY_TZA,0.5,0.72,0.48,0.3
Hamilton_Falls_HY_MWI,0.72,0.67,0.6,0.55
Harare1_TH_ZWE,0.85,0.85,0.85,0.85
Harare3_TH_ZWE,0.85,0.85,0.85,0.85
Hwange3Extension_TH_ZWE,0.85,0.85,0.85,0.85
HwangeII_TH_ZWE,0.85,0.85,0.85,0.85
Inga1_HY_DRC,0.75,0.8,0.7,0.88
Inga2_HY_DRC,0.85,0.88,0.8,0.95
Inga3BC_HY_DRC,0.63,0.67,0.52,0.73
Iringa_Ibosa_HY_TZA,0.45,0.6,0.28,0.15
Iringa_Nginayo_HY_TZA,0.55,0.72,0.35,0.38
ItheziThezi_HY_ZMB,0.58,0.53,0.43,0.46
JambaMina_HY_AGO,0.43,0.38,0.31,0.38
JambaOma_HY_AGO,0.43,0.38,0.31,0.38
JNHPP_1_HY_TZA,0.35,0.55,0.25,0.22
KafueGorge_HY_ZMB,0.73,0.7,0.58,0.62
KafueGorgeLower_HY_ZMB,0.72,0.7,0.5,0.4
Kakono_HY_TZA,0.5,0.72,0.48,0.7
KalungwishiI_HY_ZMB,0.62,0.57,0.4,0.43
Kam'mwamba_C_MWI,0.85,0.85,0.85,0.85
Kapichira_HY_MWI,0.7,0.65,0.53,0.5
KaribaNB_HY_ZMB,0.57,0.54,0.44,0.45
KaribaSouth1_HY_ZWE,0.57,0.54,0.44,0.45
KaribaNBE_HY_ZMB,0.57,0.54,0.44,0.45
Kholombizo_HY_MWI,0.72,0.67,0.6,0.55
Kidatu_HY_TZA,0.52,0.8,0.18,0.2
Kidunda_HY_TZA,0.5,0.68,0.32,0.33
Kihansi_HY_TZA,0.82,0.93,0.47,0.43
Kikonge_HY_TZA,0.52,0.68,0.35,0.35
Kilubi_HY_DRC,0.62,0.67,0.55,0.72
Koni_HY_DRC,0.48,0.52,0.48,0.58
Kusile_I_TH_ZAF,0.71,0.71,0.71,0.71
Kusile_II_TH_ZAF,0.71,0.71,0.71,0.71
Kusile_III_TH_ZAF,0.71,0.71,0.71,0.71
Lomaum2_HY_AGO,0.43,0.38,0.31,0.38
Lower_Fufu_HY_MWI,0.72,0.67,0.6,0.55
Lower_Songwe_HY_MWI,0.72,0.67,0.6,0.55
LowerMaguduza_HY_SWZ,0.67,0.4,0.38,0.6
Lubhuku_TH_SWZ,0.85,0.85,0.85,0.85
Luchenene_HY_ZMB,0.58,0.53,0.4,0.43
Lunsemfwa+Mulungushi_HY_ZMB,0.52,0.88,0.22,0.38
Lunzua_HY_ZMB,0.74,0.52,0.29,0.4
Lupata_HY_MOZ,0.58,0.55,0.42,0.44
Lurio_HY_MOZ,0.6,0.55,0.38,0.45
Lusiwasi_HY_ZMB,0.83,0.83,0.49,0.42
LusiwasiLower_HY_ZMB,0.62,0.6,0.38,0.33
LusiwasiLowerExts_HY_ZMB,0.62,0.6,0.38,0.33
LusiwasiUpper_HY_ZMB,0.7,0.78,0.38,0.35
MaambaCoalI_TH_ZMB,0.85,0.85,0.85,0.85
Maguduza_HY_SWZ,0.67,0.33,0.3,0.6
Maguga_HY_SWZ,0.65,0.45,0.38,0.55
MagugaII_HY_SWZ,0.55,0.4,0.32,0.47
Malagarasi_HY_TZA,0.47,0.62,0.43,0.3
MavuziII_HY_MOZ,0.38,0.33,0.22,0.28
MambilimbaFallsI_HY_ZMB,0.6,0.55,0.4,0.43
Masigira_HY_TZA,0.48,0.65,0.38,0.35
Mbongozi_HY_MWI,0.72,0.67,0.6,0.55
Medupi_TH_ZAF,0.85,0.85,0.85,0.85
Mnyera_Kisingo_HY_TZA,0.45,0.65,0.38,0.35
Mnyera_Kwanini_HY_TZA,0.45,0.65,0.38,0.35
Mnyera_Mnyera_HY_TZA,0.45,0.65,0.38,0.35
Mnyera_Pumbwe_HY_TZA,0.45,0.65,0.38,0.35
Mnyera_Ruaha_HY_TZA,0.42,0.65,0.28,0.25
Mnyera_Taveta_HY_TZA,0.45,0.65,0.38,0.35
MobayiMbongo_HY_DRC,0.43,0.47,0.38,0.5
MorupuleB_TH_BWA,0.85,0.85,0.85,0.85
MorupuleBupgrade_TH_BWA,0.85,0.85,0.85,0.85
Mota_Engil_C_MWI,0.85,0.85,0.85,0.85
Mpanga_HY_TZ,0.37,0.5,0.25,0.25
Mpatamanga_Opt_MWI,0.62,0.57,0.42,0.4
MphandaNkuwa_HY_MOZ,0.72,0.7,0.58,0.62
Mtera_HY_TZ,0.43,0.42,0.32,0.35
Muela_HY_LSO,0.82,0.77,0.65,0.72
Muela2_HY_LSO,0.82,0.77,0.65,0.72
Mulanje_Ruo_Ndiza_HY_MWI,0.42,0.3,0.2,0.28
Mugeba_HY_MOZ,0.38,0.33,0.22,0.28
Ruo_HY_MOZ,0.38,0.32,0.22,0.28
AltoMalema_HY_MOZ,0.38,0.33,0.22,0.28
MumbotutaFalls_HY_ZMB,0.6,0.55,0.38,0.42
MupataGorgeNorth_HY_ZMB,0.7,0.68,0.42,0.45
MupataGorgeSouth_HY_ZWE,0.7,0.68,0.42,0.45
MusondaFalls_HY_ZMB,0.68,0.79,0.39,0.35
Mwadingusha_HY_DRCSouth,0.87,0.9,0.82,0.95
NamibiaCoal_TH_NAM,0.85,0.85,0.85,0.85
New_Coal_1_BWA,0.85,0.85,0.85,0.85
New_Coal_2_BWA,0.85,0.85,0.85,0.85
New_Pangani_Falls_HY_TZA,0.6,0.82,0.58,0.38
Massingir_HY_MOZ,0.88,0.82,0.72,0.78
Nkula_(A.B)_+_upgrade_HY_MWI,0.62,0.57,0.42,0.38
Nseke_HY_DRCSouth,0.42,0.46,0.38,0.48
Nyumba_Ya_Mungu_HY_TZA,0.48,0.68,0.42,0.35
Mapai_HY_MOZ,0.88,0.82,0.72,0.78
Nzilo_HY_DRCSouth,0.57,0.62,0.52,0.65
Nzongo_HY_DRC,0.7,0.65,0.5,0.75
NzongoII_HY_DRC,0.7,0.65,0.5,0.75
Nzoro_HY_DRC,0.67,0.7,0.7,0.7
Oxbow_HY_LSO,0.32,0.27,0.2,0.23
Quilengues_HY_AGO_CE,0.45,0.4,0.3,0.38
RuacanaROR_HY_NAM,0.58,0.5,0.32,0.42
Ruhudji_HY_TZA,0.4,0.57,0.32,0.3
Rukuru_C_MWI,0.85,0.85,0.85,0.85
Rumakali_HY_TZA,0.47,0.65,0.35,0.35
Rusumo_HY_TZA,0.5,0.72,0.48,0.7
Ruzizi1_HY_DRC,0.7,0.75,0.6,0.62
Ruzizi2_HY_DRC,0.7,0.75,0.6,0.62
Ruzizi3_HY_DRC,0.7,0.75,0.6,0.62
Ruzizi4_HY_DRC,0.7,0.75,0.6,0.62
SACoal(Large)_TH_ZAF,0.85,0.85,0.85,0.85
SACoal(Medium)_TH_ZAF,0.85,0.85,0.85,0.85
SACoal(Medium)can_TH_ZAF,0.85,0.85,0.85,0.85
SACoal(Medium)new_TH_ZAF,0.85,0.85,0.85,0.85
Secunda(SasolChemical)_TH_ZAF,0.85,0.85,0.85,0.85
SmallHydro_HY_DRC,0.38,0.42,0.34,0.45
Sombwe_HY_DRC,0.38,0.42,0.34,0.45
Songwe_Manolo_HY_TZA,0.62,0.57,0.4,0.42
Songwe_Sofre_HY_TZA,0.62,0.57,0.4,0.42
"Tedzani_I,_II,_III_HY_MWI",0.62,0.57,0.42,0.38
Tedzani_IV_HY_MWI,0.62,0.57,0.42,0.38
TumulodoCacador_HY_AGO,0.75,0.7,0.62,0.7
Upper_Kihansi_HY_TZA,0.37,0.52,0.27,0.27
Vanderkloof_HY_ZAF,0.5,0.46,0.38,0.4
NgonyeFalls_HY_ZMB,0.65,0.62,0.35,0.38
Lufubu_HY_ZMB,0.6,0.55,0.38,0.42
VanEck_TH_NAM,0.06,0.06,0.06,0.06
VictoriaFalls_HY_ZMB,0.92,0.88,0.62,0.7
AH_COMBI_HY_AGO_CE,0.43,0.38,0.31,0.38
AH_Matala_HY_AGO_SO,0.48,0.42,0.33,0.4
AH_HIDROCHICAPA_OFF_AGO_EA,0.55,0.5,0.4,0.48
AH_TCHIUMBEDALA_OFF_AGO_EA,0.55,0.5,0.4,0.48
Vuka_HY_AGO_EA,0.55,0.5,0.4,0.48
WanieRukula_HY_DRC,0.38,0.42,0.34,0.45
Wovwe_additional_HY_MWI,0.72,0.67,0.6,0.55
Wovwe_HY_MWI,0.72,0.67,0.6,0.55
Zenzo_HY_AGO_NO,0.72,0.67,0.6,0.67
Arnot1_TH_ZAF,0.53,0.53,0.53,0.53
Arnot2_TH_ZAF,0.53,0.53,0.53,0.53
Camden_TH_ZAF,0.59,0.59,0.59,0.59
Duvha_TH_ZAF,0.49,0.49,0.49,0.49
