y,South_Africa,Namibia,Zambia,Zimbabwe,Angola,Botswana,Tanzania,Eswatini,Lesotho,Malawi,DRC_South
2024,0.01,0.5,0.08,0.07,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2025,0.01,0.5,0.08,0.07,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2026,0.01,0.5,0.08,0.07,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2027,0.01,0.5,0.08,0.07,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2028,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2029,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2030,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2031,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.2,0.6
2032,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2033,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2034,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2035,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2036,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2037,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2038,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2039,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2040,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2041,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2042,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2043,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2044,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2045,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2046,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2047,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2048,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2049,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2050,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2051,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2052,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2053,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2054,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2055,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2056,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2057,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2058,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2059,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
2060,0.01,0.5,0.08,0.05,0.01,0.4,0.01,0.6,0.6,0.08,0.6
