y,South_Africa,Lesotho,Eswatini,Mozambique,Zimbabwe,Botswana,Namibia,Zambia,Angola,Tanzania,DRC,Malawi
2024,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2025,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2026,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2027,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2028,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2029,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2030,2.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01,6.00E-01
2031,1.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01
2032,1.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01
2033,1.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01,4.00E-01
2034,1.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01
2035,1.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01
2036,1.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01
2037,1.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01
2038,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2039,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2040,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2041,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2042,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2043,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2044,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2045,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2046,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2047,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2048,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2049,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
2050,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
