z,tech,f,Life,StorageDuration,UnitSize,BuildLimitperYear,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
South_Africa,Storage,Battery,20,,,,,0.9,0.3,13860,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
South_Africa,Storage,Water,50,,,,,0.75,2,70000,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Lesotho,Storage,Battery,20,,,,,0.9,0.36,15523,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Lesotho,Storage,Water,50,,,,,0.75,3.2,78400,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Eswatini,Storage,Battery,20,,,,,0.9,0.33,14553,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Mozambique_North,Storage,Battery,20,,,,,0.9,0.345,15523,0,0,290,0,0,,,1,1,,0.5,,,,,,,
Mozambique_South,Storage,Battery,20,,,,,0.9,0.345,15523,0,0,290,0,0,,,1,1,,0.5,,,,,,,
Mozambique_Central,Storage,Battery,20,,,,,0.9,0.345,15523,0,0,290,0,0,,,1,1,,0.5,,,,,,,
Zimbabwe,Storage,Battery,20,,,,,0.9,0.36,15246,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Botswana,Storage,Battery,20,,,,,0.9,0.315,14553,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Namibia,Storage,Battery,20,,,,,0.9,0.315,14553,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Zambia,Storage,Battery,20,,,,,0.9,0.345,15246,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Angola_North,Storage,Battery,20,,,,,0.9,0.36,15939,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Angola_East,Storage,Battery,20,,,,,0.9,0.36,15939,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Angola_Central,Storage,Battery,20,,,,,0.9,0.36,15939,0,0,290,0,0,,,1,1,,,,,,,,,
Angola_South,Storage,Battery,20,,,,,0.9,0.36,15939,0,0,290,0,0,,,1,1,,,,,,,,,
Tanzania,Storage,Battery,20,,,,,0.9,0.33,15246,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
DRC,Storage,Battery,20,,,,,0.9,0.405,17325,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Malawi,Storage,Battery,20,,,,,0.9,0.36,15939,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
DRC_South,Storage,Battery,20,,,,,0.9,0.405,17325,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
Zimbabwe,Storage,Water,50,,,,,0.75,2.36,77000,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Zambia,Storage,Water,50,,,,,0.75,2.3,77000,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Mozambique,Storage,Water,50,,,,,0.75,2.6,78400,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Tanzania,Storage,Water,50,,,,,0.75,2.8,78400,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Malawi,Storage,Water,50,,,,,0.75,2.9,78400,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Eswatini,Storage,Water,50,,,,,0.75,2.5,73500,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
DRC,Storage,Water,50,,,,,0.75,3.5,87500,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Namibia,Storage,Water,50,,,,,0.75,2.2,73500,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
Angola_North,Storage,Water,50,,,,,0.75,2.6,80500,1.5,0,150,0,0,,,0.2,0.5,0.05,0,,,,,,,
