From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola_South,Namibia,2029,1,400,80,30,2
Botswana,Zimbabwe_West,2030,1,549,305.731,30,0
DRC,Angola_North,2036,2,500,246.8046,30,0
Angola_North,Angola_East,2036,1,200,150,30,0
Angola_Central,Angola_South,2029,1,900,500,30,0
DRC_South,Zambia,2030,1,700,250,30,0
Malawi,Zambia,2030,1,400,134.11,30,2
Malawi,Mozambique_Central,2026,2,300,167.52,30,2
Mozambique_Central,Mozambique_South,2030,1,800,360,30,0
Mozambique_Central,Zimbabwe_East,2034,1,600,230,30,0
Mozambique_North,Mozambique_Central,2034,1,800,360,30,0
Angola_East,Zambia,2036,1,900,450,30,0
Namibia,South_Africa,2028,1,925,142.6,30,2
Namibia,Botswana,2036,2,500,344.52,30,0
South_Africa,Botswana,2034,1,800,128.515,30,0
Tanzania,Mozambique_North,2036,1,800,150.02,30,0
Tanzania,Malawi,2036,1,800,150.02,30,0
Zambia,Zimbabwe_West,2034,1,410,68.352,30,0
Zambia,Tanzania,2029,1,800,315,30,2
Mozambique_Central,Zambia,2034,1,800,230,30,0
Zambia,Botswana,2036,1,800,131.731,30,0
Zimbabwe_West,Zimbabwe_East,2029,1,400,130,30,0
South_Africa,Zimbabwe_West,2034,1,500,150.394,30,0
,,,,,,,
,,,,,,,
Zambia,Namibia,2033,1,400,340,30,0
DRC,DRC_South,2030,2,300,885.2,30,0
Namibia,Angola,2032,1,225,43,30,0
DRC,South_Africa,2035,1,3000,2100,30,0
Mozal,Mozambique,2030,1,1000,500,30,0
Mozambique_South,South_Africa,2030,2,0,206,30,3
Mozambique_South,Eswatini,2030,2,0,182.9484902,30,3
Eswatini,South_Africa,2030,2,0,45,30,3
Lesotho,South_Africa,2030,2,0,17,30,3
DRC,Angola_East,2038,2,200,150,30,0
Angola,Namibia,2029,2,210,103,30,0
DRC,Angola,2033,2,375,246.8046,30,0
Zambia,Angola,2035,1,300,170,30,0
