z,tech,f,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinGenShareAllHours,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn
WestMed,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
WestMed,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
WestMed,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
WestMed,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
WestMed,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
WestMed,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
WestMed,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
WestMed,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
WestMed,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
WestMed,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
WestMed,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
WestMed,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
WestMed,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
WestMed,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
WestMed,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
WestMed,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
WestAna,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
WestAna,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
WestAna,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
WestAna,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
WestAna,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
WestAna,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
WestAna,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
WestAna,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
WestAna,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
WestAna,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
WestAna,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
WestAna,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
WestAna,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
WestAna,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
WestAna,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
WestAna,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
EastMed,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
EastMed,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
EastMed,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
EastMed,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
EastMed,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
EastMed,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
EastMed,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
EastMed,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
EastMed,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
EastMed,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
EastMed,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
EastMed,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
EastMed,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
EastMed,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
EastMed,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
EastMed,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
EastAna,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
EastAna,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
EastAna,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
EastAna,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
EastAna,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
EastAna,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
EastAna,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
EastAna,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
EastAna,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
EastAna,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
EastAna,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
EastAna,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
EastAna,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
EastAna,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
EastAna,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
EastAna,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
SouthEast,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
SouthEast,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
SouthEast,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
SouthEast,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
SouthEast,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
SouthEast,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
SouthEast,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
SouthEast,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
SouthEast,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
SouthEast,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
SouthEast,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
SouthEast,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
SouthEast,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
SouthEast,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
SouthEast,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
SouthEast,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
NorthWest,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
NorthWest,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
NorthWest,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
NorthWest,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
NorthWest,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
NorthWest,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
NorthWest,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
NorthWest,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
NorthWest,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
NorthWest,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
NorthWest,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
NorthWest,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
NorthWest,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
NorthWest,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
NorthWest,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
NorthWest,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
CenterAna,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
CenterAna,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
CenterAna,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
CenterAna,ICE,Gas,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
CenterAna,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
CenterAna,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
CenterAna,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
CenterAna,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
CenterAna,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
CenterAna,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
CenterAna,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
CenterAna,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
CenterAna,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
CenterAna,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
CenterAna,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
CenterAna,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
