c,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Benin,961349.852147428,961349.852147428,961349.852147428,961349.852147428,876408.5693234025,876408.5693234025,922912.3194879892,922912.3194879892,923123.8886268396,923123.8886268396,1022403.9801507704,1022403.9801507704,963371.8894344316,963371.8894344316,948734.9427612536,948734.9427612536,913872.3396229072,913872.3396229072,860261.1871482041,860261.1871482041,803997.8986164493,803997.8986164493,739214.5515435864
Burkina,1731027.2145331432,1731027.2145331432,1731027.2145331432,1731027.2145331432,1368661.251909523,1368661.251909523,1588059.6132597916,1588059.6132597916,1386683.0739983595,1386683.0739983595,1411634.913356049,1411634.913356049,1088343.8293315875,1088343.8293315875,813863.6929577177,813863.6929577177,626002.0937911515,626002.0937911515,437992.6227443567,437992.6227443567,337766.3841250973,337766.3841250973,242920.73488600465
Gambia,400198.99842704134,400198.99842704134,400198.99842704134,400198.99842704134,422129.6942138324,422129.6942138324,380501.5299851157,380501.5299851157,393359.39996978536,393359.39996978536,442868.3050281028,442868.3050281028,404519.2277471207,404519.2277471207,382766.0901431645,382766.0901431645,352031.3890757116,352031.3890757116,330364.1005060069,330364.1005060069,303850.97582704894,303850.97582704894,263355.9897611253
Ghana,9207491.701476043,9207491.701476043,9207491.701476043,9207491.701476043,9698790.779910808,9698790.779910808,10008659.83215043,10008659.83215043,8194720.212747372,8194720.212747372,8214655.152224059,8214655.152224059,7211756.530911053,7211756.530911053,6997237.850307303,6997237.850307303,6444060.120208923,6444060.120208923,5962256.900725592,5962256.900725592,5339716.358458815,5339716.358458815,4776812.13481542
Guinea,994659.10479191,994659.10479191,994659.10479191,994659.10479191,481420.04325047747,481420.04325047747,456082.14623729506,456082.14623729506,,,,,,,,,,,,,,,
GuineaBissau,83912.25023999998,83912.25023999998,83912.25023999998,83912.25023999998,224203.04360999932,224203.04360999932,333362.59621475305,333362.59621475305,363253.508766609,363253.508766609,390918.2998469241,390918.2998469241,316234.1805994048,316234.1805994048,287456.29620162456,287456.29620162456,258370.64743608152,258370.64743608152,237852.8212081072,237852.8212081072,211602.78617517583,211602.78617517583,180859.7476835288
IvoryCoast,4101073.856674193,4101073.856674193,4101073.856674193,4101073.856674193,3612857.600000009,3612857.600000009,3550528.9343692902,3550528.9343692902,4156576.970304372,4156576.970304372,4362820.472000004,4362820.472000004,4681644.845996842,4681644.845996842,4937157.491607343,4937157.491607343,4617628.067000004,4617628.067000004,4262425.9079999905,4262425.9079999905,3691559.945858403,3691559.945858403,3197773.239008505
Liberia,142155.1475847988,142155.1475847988,142155.1475847988,142155.1475847988,130537.40083280382,130537.40083280382,216389.16679256927,216389.16679256927,328527.57763265545,328527.57763265545,493856.54728530865,493856.54728530865,465266.89811110456,465266.89811110456,610609.5057631407,610609.5057631407,745353.8318195684,745353.8318195684,856437.2998733675,856437.2998733675,941527.0944176832,941527.0944176832,841058.7810578521
Mali,1628338.830090148,1628338.830090148,1628338.830090148,1628338.830090148,1494320.386105882,1494320.386105882,1441869.783316346,1441869.783316346,1246777.2077635103,1246777.2077635103,1333278.9749573471,1333278.9749573471,768661.8678141293,768661.8678141293,566647.3764099407,566647.3764099407,349601.68055403134,349601.68055403134,141698.55340568363,141698.55340568363,129890.34062187672,129890.34062187672,118082.12783806914
Niger,1092868.0634992828,1092868.0634992828,1092868.0634992828,1092868.0634992828,909109.6128346918,909109.6128346918,782604.489462352,782604.489462352,928310.9345873035,928310.9345873035,1075317.8195805422,1075317.8195805422,1011065.8480657848,1011065.8480657848,873064.6037636781,873064.6037636781,836500.3498770877,836500.3498770877,796066.5627018323,796066.5627018323,748744.8208718969,748744.8208718969,691429.510494503
Nigeria,15939044.917243026,15939044.917243026,15939044.917243026,15939044.917243026,15639643.27228723,15639643.27228723,15179078.726659857,15179078.726659857,15081761.287737356,15081761.287737356,16490359.910662228,16490359.910662228,17043419.85259833,17043419.85259833,16872372.328775533,16872372.328775533,16162310.712597832,16162310.712597832,14307975.86150082,14307975.86150082,13904330.026935767,13904330.026935767,12744093.592981672
Senegal,3229081.8083102955,3229081.8083102955,3229081.8083102955,3229081.8083102955,3056617.446190612,3056617.446190612,2715331.8964113607,2715331.8964113607,2589101.0970035414,2589101.0970035414,2931004.3842712026,2931004.3842712026,1000350.9952595456,1000350.9952595456,720732.9840258625,720732.9840258625,669336.8273477443,669336.8273477443,676153.9825197806,676153.9825197806,619807.9337948167,619807.9337948167,563589.6247289452
SierraLeone,272143.04689940816,272143.04689940816,272143.04689940816,272143.04689940816,314877.981544823,314877.981544823,314549.2229698934,314549.2229698934,105851.9123242496,105851.9123242496,143615.98190943463,143615.98190943463,76389.95312453336,76389.95312453336,88522.27455094545,88522.27455094545,94082.54150466649,94082.54150466649,100169.71752284588,100169.71752284588,131792.94265752067,131792.94265752067,120533.03894274894
