c,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Benin,24.5,26.28904665,28.12778905,30.06592292,32.2525355,34.93610548,36.97363083,39.11054767,40.9989858,42.83772819,44.77586207,46.46551724,48.45334686,50.39148073,52.37931034,54.31744422,56.22907603,58.20798524,60.25653958,62.37719013,64.57247421,66.61153234,68.71497947,70.88484889,73.12323805,75.43231068
Burkina,42,45.47482014,49.25179856,53.33093525,57.71223022,62.54676259,67.68345324,73.04676259,78.86330935,85.13309353,91.85611511,94.57553957,97.44604317,100.3920863,103.4136691,106.5107914,110.2593002,114.1397328,118.1567323,122.3151048,126.6198259,130.6182042,134.7428427,138.9977283,143.3869738,147.9148222
Gambia,7.102499774,7.530361206,7.958222638,8.38608407,8.856731645,9.327379221,9.755240653,10.18310209,10.61096352,11.08161109,11.59504481,12.10847853,12.62191225,13.17813211,13.73435197,14.24778569,14.74921798,15.26829752,15.8056454,16.36190454,16.93774049,17.47259745,18.02434403,18.59351356,19.18065623,19.78633958
Ghana,283.92,308.21,328.44,345.38,364.42,383.53,402.08,425.11,445.48,467.39,490.28,515.55,542.08,570.22,600.39,632.45,654.7082553,677.7498609,701.6023858,726.2943694,751.8553552,775.5973101,800.0889841,825.354052,851.4169356,878.3028284
Guinea,49.78,53.08,56.38,59.68,62.98,66.28,69.58,72.87999999,76.17999998,79.47999997,82.78000003,86.08000002,89.38000001,92.68,95.97999999,99.27999998,102.58,105.88,109.18,112.48,115.78,119.08,122.38,125.68,128.98,132.28
GuineaBissau,2.45,4.69,5.18,5.6,6.02,6.65,7.35,8.05,8.75,9.45,9.94,10.64,11.34,12.04,12.74,14,14.49271179,15.00276394,15.5307667,16.0211945,16.52710893,17.04899904,17.5873693,18.14274013,18.71564835,18.71564835
IvoryCoast,157.08,169.26,180.74,192.22,203.49,215.11,227.08,239.4,251.93,264.81,278.32,293.09,308.42,323.82,339.5,356.37,368.9119787,381.895356,395.3356664,409.2489911,423.6519771,437.029984,450.8304392,465.0666827,479.7524758,494.9020143
Liberia,9.1,10.29065421,11.65140187,13.18224299,14.88317757,16.83925234,18.96542056,21.4317757,24.23831776,27.38504673,30.9451028,34.96796617,39.51380177,44.650596,50.45517348,57.01434603,64.42621102,72.80161845,82.26582885,92.9603866,105.0452369,118.7011176,134.1322629,151.5694571,171.2734865,193.5390398
Africana,9.1,10.29065421,11.65140187,13.18224299,14.88317757,16.83925234,18.96542056,21.4317757,24.23831776,27.38504673,30.9451028,34.96796617,39.51380177,44.650596,50.45517348,57.01434603,64.42621102,72.80161845,82.26582885,92.9603866,105.0452369,118.7011176,134.1322629,151.5694571,171.2734865,193.5390398
Mali,41.37,43.28429306,45.30493573,47.37875321,49.61209512,51.89861183,54.29147815,56.84386889,59.44943445,61.25737789,63.06532134,64.9796144,66.89390746,68.91455013,70.98836761,73.1153599,75.6885599,78.35232034,81.10982836,83.96438329,86.91940056,89.66412595,92.4955238,95.41633102,98.42937097,101.5375562
Niger,24.5,26.19160171,28,30.16208566,32.49112184,35,37.19304992,39.52351321,42,44.8,47.6,50.5988,53.7865244,57.17507544,60.77710519,64.60606282,68.67624477,73.00284819,77.60202763,82.49095537,87.68788556,93.21222235,99.08459236,105.3269217,111.9625177,119.0161564
Nigeria,406,437.9584508,472.432925,509.6210064,539.5589045,571.2551185,599.7875722,629.7429929,661.1993267,694.2931301,729.0364876,761.6046088,795.6228876,831.1638318,864.0159422,898.1611098,929.774544,962.4937233,996.3669863,1031.436629,1067.732864,1101.449026,1136.23468,1172.113995,1209.123223,1247.304663
Senegal,103.0572993,115.8840506,119.2780636,122.5302701,127.9655976,131.1257257,134.6753802,138.7363899,142.8255419,147.1103082,151.5236174,156.0693259,160.7514057,165.5739479,170.5411663,175.6574013,180.9271234,186.3549371,191.9455852,197.7039527,203.6350713,209.7441235,216.0364472,222.5175406,229.1930668,236.0688588
SierraLeone,10.5,10.875,11.4375,11.90625,12.46875,13.03125,13.59375,14.25,14.90625,15.375,15.84375,16.3125,16.78125,17.34375,17.8125,18.375,19.02168423,19.69112767,20.3841313,21.10152429,21.844165,22.53395616,23.24552942,23.97957262,24.73679531,25.51792944
Togo,26.95,29.8375,31.49513889,35.18472222,36.41458333,37.59097222,38.71388889,39.94375,41.06666667,42.24305556,43.36597222,44.64930556,45.98611111,47.37638889,48.82013889,50.26388889,52.03286109,53.86408997,55.75976657,57.72215904,59.75361536,61.64050441,63.58697731,65.59491559,67.66626018,69.80301332
Mauritania,30.79826163,33.06883427,35.50680273,38.1245081,41.7300596,45.67659914,49.58094705,53.81903111,58.41937844,64.6686567,71.58643709,78.83832316,86.82484352,95.62041848,105.3070073,115.9748719,120.0564567,124.2816876,128.6556199,133.1834872,137.8707068,142.2243635,146.7154992,151.3484551,156.1277098,161.0578829
