z,tech,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Gambia,OnshoreWind,dry,1,0.64,0.644,0.637,0.626,0.619,0.61,0.593,0.5,0.39,0.343,0.324,0.322,0.293,0.224,0.165,0.161,0.313,0.68,0.791,0.769,0.685,0.552,0.412,0.34
Gambia,OnshoreWind,dry,2,0.123,0.151,0.2,0.267,0.327,0.331,0.292,0.243,0.165,0.114,0.085,0.082,0.096,0.117,0.128,0.138,0.139,0.127,0.126,0.127,0.104,0.086,0.086,0.092
Gambia,OnshoreWind,dry,3,0.648,0.642,0.617,0.51,0.457,0.425,0.39,0.348,0.267,0.191,0.323,0.45,0.492,0.425,0.272,0.112,0.022,0.019,0.186,0.474,0.663,0.7,0.643,0.547
Gambia,OnshoreWind,dry,4,0.165,0.212,0.3,0.341,0.367,0.371,0.385,0.4,0.324,0.19,0.087,0.032,0.01,0.005,0.006,0.007,0.009,0.014,0.018,0.023,0.032,0.058,0.086,0.104
Gambia,OnshoreWind,wet,1,0.229,0.231,0.247,0.248,0.236,0.213,0.177,0.127,0.075,0.054,0.061,0.084,0.132,0.208,0.349,0.51,0.631,0.682,0.676,0.596,0.45,0.284,0.145,0.077
Gambia,OnshoreWind,wet,2,0.108,0.084,0.072,0.059,0.041,0.034,0.112,0.296,0.331,0.253,0.191,0.161,0.154,0.157,0.14,0.085,0.037,0.015,0.01,0.009,0.01,0.014,0.029,0.064
Gambia,OnshoreWind,wet,3,0.299,0.309,0.314,0.295,0.271,0.27,0.297,0.344,0.382,0.264,0.232,0.319,0.299,0.319,0.248,0.119,0.057,0.028,0.025,0.042,0.008,0,0.004,0.01
Gambia,OnshoreWind,wet,4,0.108,0.166,0.2,0.187,0.124,0.061,0.04,0.05,0.05,0.041,0.044,0.071,0.118,0.138,0.132,0.132,0.145,0.159,0.187,0.21,0.213,0.199,0.184,0.192
Ghana,OnshoreWind,dry,1,0.311,0.319,0.316,0.309,0.274,0.202,0.119,0.045,0.023,0.012,0.014,0.03,0.061,0.118,0.198,0.266,0.307,0.334,0.364,0.363,0.344,0.31,0.282,0.273
Ghana,OnshoreWind,dry,2,0.38,0.371,0.359,0.355,0.345,0.33,0.291,0.206,0.194,0.184,0.134,0.09,0.059,0.039,0.029,0.03,0.046,0.082,0.143,0.187,0.213,0.225,0.219,0.204
Ghana,OnshoreWind,dry,3,0.223,0.227,0.211,0.177,0.15,0.132,0.114,0.12,0.15,0.165,0.176,0.188,0.199,0.209,0.206,0.206,0.213,0.245,0.269,0.246,0.223,0.214,0.219,0.22
Ghana,OnshoreWind,dry,4,0.345,0.334,0.311,0.3,0.286,0.27,0.249,0.2,0.214,0.192,0.137,0.087,0.062,0.054,0.06,0.087,0.107,0.146,0.207,0.252,0.278,0.279,0.261,0.241
