z,z2,2018,2050
Benin,Burkina,0.05,0.05
Benin,Niger,0.05,0.05
Benin,Nigeria,0.05,0.05
Benin,Togo,0.05,0.05
Burkina,Benin,0.05,0.05
Burkina,Ghana,0.05,0.05
Burkina,IvoryCoast,0.05,0.05
Burkina,Mali,0.05,0.05
Burkina,Niger,0.05,0.05
Burkina,Togo,0.05,0.05
Gambia,GuineaBissau,0.05,0.05
Gambia,Senegal,0.05,0.05
Ghana,Burkina,0.05,0.05
Ghana,IvoryCoast,0.05,0.05
Ghana,Togo,0.05,0.05
Guinea,GuineaBissau,0.05,0.05
Guinea,IvoryCoast,0.05,0.05
Guinea,Liberia,0.05,0.05
Guinea,Mali,0.05,0.05
Guinea,Senegal,0.05,0.05
Guinea,SierraLeone,0.05,0.05
GuineaBissau,Gambia,0.05,0.05
GuineaBissau,Guinea,0.05,0.05
GuineaBissau,Senegal,0.05,0.05
IvoryCoast,Burkina,0.05,0.05
IvoryCoast,Ghana,0.05,0.05
IvoryCoast,Guinea,0.05,0.05
IvoryCoast,Liberia,0.05,0.05
IvoryCoast,Mali,0.05,0.05
Liberia,Guinea,0.05,0.05
Liberia,IvoryCoast,0.05,0.05
Liberia,SierraLeone,0.05,0.05
Mali,Burkina,0.05,0.05
Mali,Guinea,0.05,0.05
Mali,IvoryCoast,0.05,0.05
Mali,Niger,0.05,0.05
Mali,Senegal,0.05,0.05
Niger,Benin,0.05,0.05
Niger,Burkina,0.05,0.05
Niger,Mali,0.05,0.05
Niger,Nigeria,0.05,0.05
Nigeria,Benin,0.05,0.05
Nigeria,Niger,0.05,0.05
Senegal,Gambia,0.05,0.05
Senegal,Guinea,0.05,0.05
Senegal,GuineaBissau,0.05,0.05
Senegal,Mali,0.05,0.05
Senegal,Mauritania_grid,0.05,0.05
SierraLeone,Guinea,0.05,0.05
SierraLeone,Liberia,0.05,0.05
Togo,Benin,0.05,0.05
Togo,Burkina,0.05,0.05
Togo,Ghana,0.05,0.05
Mauritania_grid,Senegal,0.05,0.05
Mauritania_grid,Mauritania_Nema,0.05,0.05
Mauritania_Nema,Mauritania_grid,0.05,0.05
Mauritania_grid,Mali,0.05,0.05
Senegal,Senegal,1,1
