zone,tech,fuel,Life,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn
BiH,BiomassPlant,Biomass,30,,12.5,1,1,0,0.05,2,100000,2.5,0,50,0,0,0,0,0,0,0
BiH,CCGT,Gas,30,,6.4,1,1,0,0.05,0.9,30000,2,0,50,0.6,0,0,4,6,2000,0
BiH,ICE,Diesel,25,,9,1,1,0,0.2,1.2,36000,7.5,0,,0,0,0,0,0,0,0
BiH,ICE,Gas,25,,9,1,1,0,0.2,1.2,36000,7.5,0,,0,0,0,0,0,0,0
BiH,ICE,HFO,25,,9,1,1,0,0.2,1.2,36000,7.5,0,,0,0,0,0,0,0,0
BiH,OCGT,Diesel,30,,9.9,1,1,0,0.2,0.8,20000,4.4,0,50,0.3,0,0,3,4,1000,0
BiH,OCGT,Gas,30,,9,1,1,0,0.2,0.8,20000,4,0,50,0.3,0,0,3,4,1000,0
BiH,OCGT,HFO,30,,9.9,1,1,0,0.2,0.8,20000,4.4,0,50,0.3,0,0,3,4,1000,0
BiH,OffshoreWind,Wind,30,,,,,,,3,70000,0,0,,0,0,0,0,0,0,0
BiH,OnshoreWind,Wind,30,,,,,,,1.3,40000,0,0,,0,0,0,0,0,0,0
BiH,PV,Solar,25,,,,,,,0.8,15000,0,0,,0,0,0,0,0,0,0
BiH,ReservoirHydro,Water,50,,,1,1,0,0.45,3.3,50000,0.5,0,,0,0,0,0,0,0,0
BiH,ROR,Water,50,,,1,1,0,0.4,2.8,40000,0.5,0,,0,0,0,0,0,0,0
BiH,ST ,Coal,30,,8.5,0.5,0.5,0,0,2,60000,3,0,50,0.3,0,0,0,0,0,0
BiH,ST ,Lignite,30,,10.3,0.5,0.5,0,0,2,60000,3,0,50,0.55,0,0,0,0,0,0
BiH,Storage,Battery,20,,,1,1,0,,0.3,40000,0,0,,0,0,0,0,0,0,0
