,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,HydroMC,m1,d1,0.352614005,0.330681527,0.181672459,0.178754404,0.18063702,0.182331374,0.179695712,0.179978104,0.182802028,0.180825281,0.183649206,0.183649206,0.181107674,0.192120978,0.359673816,0.350354866,0.353367052,0.351766828,0.355814453,0.352237482,0.351578567,0.352896398,0.35553206,0.352896398
Liberia,HydroMC,m1,d2,0.181201805,0.181578328,0.181672459,0.182048982,0.17950745,0.179883973,0.182896159,0.18299029,0.179883973,0.182707898,0.183272682,0.183649206,0.183460944,0.352237482,0.354779014,0.356285107,0.356190976,0.354873145,0.351484436,0.353931837,0.352708136,0.355343799,0.348942904,0.350731389
Liberia,HydroMC,m1,d3,0.177530703,0.178472011,0.179695712,0.182143113,0.180825281,0.182048982,0.182143113,0.180919412,0.182425505,0.181954851,0.182802028,0.182802028,0.180542889,0.209441047,0.356002714,0.355343799,0.353931837,0.356755761,0.351013782,0.351296174,0.355061406,0.354873145,0.35195509,0.351202043
Liberia,HydroMC,m1,d4,0.176965918,0.176965918,0.17602461,0.178848534,0.179789843,0.176965918,0.179789843,0.180731151,0.180731151,0.179789843,0.179789843,0.180731151,0.180731151,0.180731151,0.178848534,0.177907226,0.181672459,0.348283988,0.350166604,0.349225296,0.34734268,0.352049221,0.351107912,0.350166604
Liberia,HydroMC,m1,d5,0.351107912,0.345460064,0.178848534,0.17602461,0.175083302,0.178848534,0.17602461,0.17602461,0.17602461,0.176965918,0.176965918,0.179789843,0.17602461,0.179789843,0.176965918,0.179789843,0.176965918,0.179789843,0.179789843,0.296512044,0.348283988,0.344518756,0.349225296,0.175083302
Liberia,HydroMC,m1,d6,0.178848534,0.17602461,0.175083302,0.178848534,0.178848534,0.178848534,0.179789843,0.178848534,0.176965918,0.176965918,0.179789843,0.179789843,0.179789843,0.176965918,0.178848534,0.180731151,0.178848534,0.180731151,0.352049221,0.352049221,0.350166604,0.351107912,0.352049221,0.211794317
Liberia,HydroMC,m1,d7,0.17602461,0.17602461,0.178848534,0.17602461,0.177907226,0.178848534,0.176965918,0.176965918,0.176965918,0.179789843,0.177907226,0.178848534,0.177907226,0.177907226,0.179789843,0.177907226,0.179789843,0.176965918,0.179789843,0.349225296,0.353931837,0.351107912,0.351107912,0.175083302
Liberia,HydroMC,m1,d8,0.177907226,0.176965918,0.176965918,0.177907226,0.177907226,0.176965918,0.176965918,0.178848534,0.177907226,0.177907226,0.175083302,0.17602461,0.175083302,0.178848534,0.176965918,0.179789843,0.179789843,0.179789843,0.180731151,0.180731151,0.180731151,0.350166604,0.351107912,0.351107912
Liberia,HydroMC,m1,d9,0.24944664,0.176965918,0.17602461,0.175083302,0.177907226,0.175083302,0.177907226,0.175083302,0.176965918,0.177907226,0.177907226,0.177907226,0.175083302,0.177907226,0.177907226,0.179789843,0.179789843,0.180731151,0.180731151,0.350166604,0.34734268,0.345460064,0.344518756,0.345460064
Liberia,HydroMC,m1,d10,0.22497263,0.175083302,0.173200686,0.17602461,0.176965918,0.173200686,0.17602461,0.176965918,0.176965918,0.176965918,0.17602461,0.175083302,0.174141994,0.174141994,0.17602461,0.17602461,0.174141994,0.176965918,0.176965918,0.174141994,0.17602461,0.17602461,0.174141994,0.173200686
