attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,0.0
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-99822.26936732564
NetPresentCostSystem,Fixed O&M: $m,43690.61346144004
NetPresentCostSystem,Fuel costs: $m,63258.90297040814
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,0.0
NetPresentCostSystem,Import costs with internal zones: $m,108186.27205488658
NetPresentCostSystem,NPV of system cost: $m,171372.61937784584
NetPresentCostSystem,Spinning reserve costs: $m,1200.2928599908992
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-8364.002687560866
NetPresentCostSystem,Transmission costs: $m,0.0
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet country spinning reserve costs: $m,9.323113635117398
NetPresentCostSystem,Unmet demand costs: $m,3268.266465258514
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,7242.744172186614
NetPresentCostSystemPerMWh,Carbon costs: $m,0.0
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-17.328066323039593
NetPresentCostSystemPerMWh,Fixed O&M: $m,7.584217956097972
NetPresentCostSystemPerMWh,Fuel costs: $m,10.98106137179003
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,18.77996672777611
NetPresentCostSystemPerMWh,NPV of system cost: $m,29.74843322390289
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.2083578585902309
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-1.451900404736501
NetPresentCostSystemPerMWh,Transmission costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.0016183916918585
NetPresentCostSystemPerMWh,Unmet demand costs: $m,0.5673357100605354
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,1.2572620535667605
