Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2025,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2026,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2027,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2028,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2029,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2030,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2031,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2032,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2033,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2034,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2035,407.5
Capacity: MW,Armenia,Armenia,Armenia_ANPP,Nuclear,2036,407.5
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2025,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2026,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2027,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2028,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2029,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2030,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2031,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2032,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2033,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2034,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2035,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2036,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2037,200.0
Capacity: MW,Armenia,Armenia,Armenia_Ayg1_PV,PV,2038,200.0
