z,y,value
South_Africa,2025,254.65552619359377
South_Africa,2026,242.07172258980302
South_Africa,2027,224.19759739468674
South_Africa,2028,203.22702297187638
South_Africa,2029,190.34909744225766
South_Africa,2030,189.0316666092389
South_Africa,2031,181.58724222494538
South_Africa,2032,155.7560063941918
South_Africa,2033,143.03671120081646
South_Africa,2034,133.5178327891456
South_Africa,2035,133.9727934954845
Eswatini,2033,1.38385801191456e-05
Eswatini,2034,1.38385801191456e-05
Eswatini,2035,1.38385801191456e-05
Mozambique,2025,0.5028244206121544
Mozambique,2026,0.443124311142622
Zimbabwe,2025,11.92055557881109
Zimbabwe,2026,11.441428949360166
Zimbabwe,2027,11.54388126621609
Zimbabwe,2028,11.60492571279854
Zimbabwe,2029,10.366644675434424
Zimbabwe,2030,11.980330290205895
Zimbabwe,2031,11.98033029020587
Zimbabwe,2032,9.838588317591556
Zimbabwe,2033,10.031400964714221
Zimbabwe,2034,9.67728184570116
Zimbabwe,2035,10.007240295662244
Botswana,2025,5.0093136395752085
Botswana,2026,5.009313639575219
Botswana,2027,5.009313639575231
Botswana,2028,5.009313639575235
Botswana,2029,4.127948641453853
Botswana,2030,4.1279486414538455
Botswana,2031,4.127948641453844
Botswana,2032,4.1279486414538455
Botswana,2033,4.127948641453848
Botswana,2034,3.8389864517078474
Botswana,2035,4.115825973285115
Namibia,2025,0.13257741500639955
Namibia,2027,0.018345804958234894
Namibia,2028,0.0015945711964535881
Namibia,2029,0.0005719457878619688
Zambia,2025,2.1237121377373143
Zambia,2026,2.1237121377373103
Zambia,2027,2.897203880717077
Zambia,2028,4.524216421193694
Zambia,2029,4.524216421193692
Zambia,2030,2.312974621449638
Zambia,2031,2.1237121377373156
Zambia,2032,2.1237121377373147
Zambia,2033,2.123712137737317
Zambia,2034,2.123712137737311
Zambia,2035,2.1237121377373103
Angola,2027,0.06865272867937881
Angola,2028,0.34390455569184153
Angola,2029,0.3347975791325435
Angola,2030,0.003387048134084193
Angola,2031,0.0069415976746822865
Angola,2032,0.0011826686698672856
Tanzania,2025,2.531065027968752
Tanzania,2026,3.332323457875524
Tanzania,2027,3.837258456879682
Tanzania,2028,4.239675974598071
Tanzania,2029,4.4539282124878365
Tanzania,2030,5.649497212525156
Tanzania,2031,5.142575926015238
Tanzania,2032,2.902792615886356
Tanzania,2033,3.1693085050073235
Tanzania,2034,4.03931133499256
Tanzania,2035,3.387638611960683
DRC,2025,0.4787941571277023
DRC,2026,0.6728100726526102
DRC,2027,0.9597414466633213
DRC,2028,1.1571185632661753
DRC,2029,1.3386556242891388
DRC,2030,0.5287569455048654
DRC,2031,0.35565954684037454
DRC,2032,0.7316071314525837
DRC,2034,0.0006271207605358588
DRC,2035,0.00038915145149270744
