z,y,tech,f,value
Angola,2027,BiomassPlant,Battery,0.0
Angola,2028,BiomassPlant,Battery,0.0
Angola,2029,BiomassPlant,Battery,0.0
Angola,2030,BiomassPlant,Battery,0.0
Angola,2031,BiomassPlant,Battery,0.0
Angola,2032,BiomassPlant,Battery,0.0
Angola,2033,BiomassPlant,Battery,0.0
Angola,2034,BiomassPlant,Battery,0.0
Angola,2035,BiomassPlant,Battery,0.0
Angola,2027,BiomassPlant,Biomass,0.0
Angola,2028,BiomassPlant,Biomass,0.0
Angola,2029,BiomassPlant,Biomass,0.0
Angola,2030,BiomassPlant,Biomass,0.0
Angola,2031,BiomassPlant,Biomass,0.0
Angola,2032,BiomassPlant,Biomass,0.0
Angola,2033,BiomassPlant,Biomass,0.0
Angola,2034,BiomassPlant,Biomass,0.0
Angola,2035,BiomassPlant,Biomass,0.0
Angola,2027,BiomassPlant,CSP,0.0
Angola,2028,BiomassPlant,CSP,0.0
Angola,2029,BiomassPlant,CSP,0.0
Angola,2030,BiomassPlant,CSP,0.0
Angola,2031,BiomassPlant,CSP,0.0
Angola,2032,BiomassPlant,CSP,0.0
Angola,2033,BiomassPlant,CSP,0.0
Angola,2034,BiomassPlant,CSP,0.0
Angola,2035,BiomassPlant,CSP,0.0
Angola,2027,BiomassPlant,Coal,0.0
Angola,2028,BiomassPlant,Coal,0.0
Angola,2029,BiomassPlant,Coal,0.0
Angola,2030,BiomassPlant,Coal,0.0
Angola,2031,BiomassPlant,Coal,0.0
Angola,2032,BiomassPlant,Coal,0.0
Angola,2033,BiomassPlant,Coal,0.0
Angola,2034,BiomassPlant,Coal,0.0
Angola,2035,BiomassPlant,Coal,0.0
Angola,2027,BiomassPlant,Diesel,0.0
Angola,2028,BiomassPlant,Diesel,0.0
Angola,2029,BiomassPlant,Diesel,0.0
Angola,2030,BiomassPlant,Diesel,0.0
Angola,2031,BiomassPlant,Diesel,0.0
Angola,2032,BiomassPlant,Diesel,0.0
Angola,2033,BiomassPlant,Diesel,0.0
Angola,2034,BiomassPlant,Diesel,0.0
Angola,2035,BiomassPlant,Diesel,0.0
Angola,2027,BiomassPlant,Gas,0.0
Angola,2028,BiomassPlant,Gas,0.0
Angola,2029,BiomassPlant,Gas,0.0
Angola,2030,BiomassPlant,Gas,0.0
Angola,2031,BiomassPlant,Gas,0.0
Angola,2032,BiomassPlant,Gas,0.0
Angola,2033,BiomassPlant,Gas,0.0
Angola,2034,BiomassPlant,Gas,0.0
Angola,2035,BiomassPlant,Gas,0.0
Angola,2027,BiomassPlant,Geothermal,0.0
Angola,2028,BiomassPlant,Geothermal,0.0
Angola,2029,BiomassPlant,Geothermal,0.0
Angola,2030,BiomassPlant,Geothermal,0.0
Angola,2031,BiomassPlant,Geothermal,0.0
Angola,2032,BiomassPlant,Geothermal,0.0
Angola,2033,BiomassPlant,Geothermal,0.0
Angola,2034,BiomassPlant,Geothermal,0.0
Angola,2035,BiomassPlant,Geothermal,0.0
Angola,2027,BiomassPlant,HFO,0.0
Angola,2028,BiomassPlant,HFO,0.0
Angola,2029,BiomassPlant,HFO,0.0
Angola,2030,BiomassPlant,HFO,0.0
Angola,2031,BiomassPlant,HFO,0.0
Angola,2032,BiomassPlant,HFO,0.0
Angola,2033,BiomassPlant,HFO,0.0
Angola,2034,BiomassPlant,HFO,0.0
Angola,2035,BiomassPlant,HFO,0.0
Angola,2027,BiomassPlant,LNG,0.0
Angola,2028,BiomassPlant,LNG,0.0
Angola,2029,BiomassPlant,LNG,0.0
Angola,2030,BiomassPlant,LNG,0.0
Angola,2031,BiomassPlant,LNG,0.0
Angola,2032,BiomassPlant,LNG,0.0
Angola,2033,BiomassPlant,LNG,0.0
Angola,2034,BiomassPlant,LNG,0.0
Angola,2035,BiomassPlant,LNG,0.0
Angola,2027,BiomassPlant,Solar,0.0
Angola,2028,BiomassPlant,Solar,0.0
Angola,2029,BiomassPlant,Solar,0.0
Angola,2030,BiomassPlant,Solar,0.0
Angola,2031,BiomassPlant,Solar,0.0
Angola,2032,BiomassPlant,Solar,0.0
Angola,2033,BiomassPlant,Solar,0.0
Angola,2034,BiomassPlant,Solar,0.0
Angola,2035,BiomassPlant,Solar,0.0
Angola,2027,BiomassPlant,Uranium,0.0
Angola,2028,BiomassPlant,Uranium,0.0
Angola,2029,BiomassPlant,Uranium,0.0
Angola,2030,BiomassPlant,Uranium,0.0
Angola,2031,BiomassPlant,Uranium,0.0
Angola,2032,BiomassPlant,Uranium,0.0
Angola,2033,BiomassPlant,Uranium,0.0
Angola,2034,BiomassPlant,Uranium,0.0
Angola,2035,BiomassPlant,Uranium,0.0
Angola,2027,BiomassPlant,Water,0.0
Angola,2028,BiomassPlant,Water,0.0
Angola,2029,BiomassPlant,Water,0.0
Angola,2030,BiomassPlant,Water,0.0
Angola,2031,BiomassPlant,Water,0.0
Angola,2032,BiomassPlant,Water,0.0
Angola,2033,BiomassPlant,Water,0.0
Angola,2034,BiomassPlant,Water,0.0
Angola,2035,BiomassPlant,Water,0.0
Angola,2027,BiomassPlant,Wind,0.0
Angola,2028,BiomassPlant,Wind,0.0
Angola,2029,BiomassPlant,Wind,0.0
Angola,2030,BiomassPlant,Wind,0.0
Angola,2031,BiomassPlant,Wind,0.0
Angola,2032,BiomassPlant,Wind,0.0
Angola,2033,BiomassPlant,Wind,0.0
Angola,2034,BiomassPlant,Wind,0.0
Angola,2035,BiomassPlant,Wind,0.0
Angola,2027,CSPPlant,Battery,0.0
Angola,2028,CSPPlant,Battery,0.0
Angola,2029,CSPPlant,Battery,0.0
Angola,2030,CSPPlant,Battery,0.0
Angola,2031,CSPPlant,Battery,0.0
Angola,2032,CSPPlant,Battery,0.0
Angola,2033,CSPPlant,Battery,0.0
Angola,2034,CSPPlant,Battery,0.0
Angola,2035,CSPPlant,Battery,0.0
Angola,2027,CSPPlant,Biomass,0.0
Angola,2028,CSPPlant,Biomass,0.0
Angola,2029,CSPPlant,Biomass,0.0
Angola,2030,CSPPlant,Biomass,0.0
Angola,2031,CSPPlant,Biomass,0.0
Angola,2032,CSPPlant,Biomass,0.0
Angola,2033,CSPPlant,Biomass,0.0
Angola,2034,CSPPlant,Biomass,0.0
Angola,2035,CSPPlant,Biomass,0.0
Angola,2027,CSPPlant,CSP,0.0
Angola,2028,CSPPlant,CSP,0.0
Angola,2029,CSPPlant,CSP,0.0
Angola,2030,CSPPlant,CSP,0.0
Angola,2031,CSPPlant,CSP,0.0
Angola,2032,CSPPlant,CSP,0.0
Angola,2033,CSPPlant,CSP,0.0
Angola,2034,CSPPlant,CSP,0.0
Angola,2035,CSPPlant,CSP,0.0
Angola,2027,CSPPlant,Coal,0.0
Angola,2028,CSPPlant,Coal,0.0
Angola,2029,CSPPlant,Coal,0.0
Angola,2030,CSPPlant,Coal,0.0
Angola,2031,CSPPlant,Coal,0.0
Angola,2032,CSPPlant,Coal,0.0
Angola,2033,CSPPlant,Coal,0.0
Angola,2034,CSPPlant,Coal,0.0
Angola,2035,CSPPlant,Coal,0.0
Angola,2027,CSPPlant,Diesel,0.0
Angola,2028,CSPPlant,Diesel,0.0
Angola,2029,CSPPlant,Diesel,0.0
Angola,2030,CSPPlant,Diesel,0.0
Angola,2031,CSPPlant,Diesel,0.0
Angola,2032,CSPPlant,Diesel,0.0
Angola,2033,CSPPlant,Diesel,0.0
Angola,2034,CSPPlant,Diesel,0.0
Angola,2035,CSPPlant,Diesel,0.0
Angola,2027,CSPPlant,Gas,0.0
Angola,2028,CSPPlant,Gas,0.0
Angola,2029,CSPPlant,Gas,0.0
Angola,2030,CSPPlant,Gas,0.0
Angola,2031,CSPPlant,Gas,0.0
Angola,2032,CSPPlant,Gas,0.0
Angola,2033,CSPPlant,Gas,0.0
Angola,2034,CSPPlant,Gas,0.0
Angola,2035,CSPPlant,Gas,0.0
Angola,2027,CSPPlant,Geothermal,0.0
Angola,2028,CSPPlant,Geothermal,0.0
Angola,2029,CSPPlant,Geothermal,0.0
Angola,2030,CSPPlant,Geothermal,0.0
Angola,2031,CSPPlant,Geothermal,0.0
Angola,2032,CSPPlant,Geothermal,0.0
Angola,2033,CSPPlant,Geothermal,0.0
Angola,2034,CSPPlant,Geothermal,0.0
Angola,2035,CSPPlant,Geothermal,0.0
Angola,2027,CSPPlant,HFO,0.0
Angola,2028,CSPPlant,HFO,0.0
Angola,2029,CSPPlant,HFO,0.0
Angola,2030,CSPPlant,HFO,0.0
Angola,2031,CSPPlant,HFO,0.0
Angola,2032,CSPPlant,HFO,0.0
Angola,2033,CSPPlant,HFO,0.0
Angola,2034,CSPPlant,HFO,0.0
Angola,2035,CSPPlant,HFO,0.0
Angola,2027,CSPPlant,LNG,0.0
Angola,2028,CSPPlant,LNG,0.0
Angola,2029,CSPPlant,LNG,0.0
Angola,2030,CSPPlant,LNG,0.0
Angola,2031,CSPPlant,LNG,0.0
Angola,2032,CSPPlant,LNG,0.0
Angola,2033,CSPPlant,LNG,0.0
Angola,2034,CSPPlant,LNG,0.0
Angola,2035,CSPPlant,LNG,0.0
Angola,2027,CSPPlant,Solar,0.0
Angola,2028,CSPPlant,Solar,0.0
Angola,2029,CSPPlant,Solar,0.0
Angola,2030,CSPPlant,Solar,0.0
Angola,2031,CSPPlant,Solar,0.0
Angola,2032,CSPPlant,Solar,0.0
Angola,2033,CSPPlant,Solar,0.0
Angola,2034,CSPPlant,Solar,0.0
Angola,2035,CSPPlant,Solar,0.0
Angola,2027,CSPPlant,Uranium,0.0
Angola,2028,CSPPlant,Uranium,0.0
Angola,2029,CSPPlant,Uranium,0.0
Angola,2030,CSPPlant,Uranium,0.0
Angola,2031,CSPPlant,Uranium,0.0
Angola,2032,CSPPlant,Uranium,0.0
Angola,2033,CSPPlant,Uranium,0.0
Angola,2034,CSPPlant,Uranium,0.0
Angola,2035,CSPPlant,Uranium,0.0
Angola,2027,CSPPlant,Water,0.0
Angola,2028,CSPPlant,Water,0.0
Angola,2029,CSPPlant,Water,0.0
Angola,2030,CSPPlant,Water,0.0
Angola,2031,CSPPlant,Water,0.0
Angola,2032,CSPPlant,Water,0.0
Angola,2033,CSPPlant,Water,0.0
Angola,2034,CSPPlant,Water,0.0
Angola,2035,CSPPlant,Water,0.0
Angola,2027,CSPPlant,Wind,0.0
Angola,2028,CSPPlant,Wind,0.0
Angola,2029,CSPPlant,Wind,0.0
Angola,2030,CSPPlant,Wind,0.0
Angola,2031,CSPPlant,Wind,0.0
Angola,2032,CSPPlant,Wind,0.0
Angola,2033,CSPPlant,Wind,0.0
Angola,2034,CSPPlant,Wind,0.0
Angola,2035,CSPPlant,Wind,0.0
Angola,2027,OffshoreWind,Battery,0.0
Angola,2028,OffshoreWind,Battery,0.0
Angola,2029,OffshoreWind,Battery,0.0
Angola,2030,OffshoreWind,Battery,0.0
Angola,2031,OffshoreWind,Battery,0.0
Angola,2032,OffshoreWind,Battery,0.0
Angola,2033,OffshoreWind,Battery,0.0
Angola,2034,OffshoreWind,Battery,0.0
Angola,2035,OffshoreWind,Battery,0.0
Angola,2027,OffshoreWind,Biomass,0.0
Angola,2028,OffshoreWind,Biomass,0.0
Angola,2029,OffshoreWind,Biomass,0.0
Angola,2030,OffshoreWind,Biomass,0.0
Angola,2031,OffshoreWind,Biomass,0.0
Angola,2032,OffshoreWind,Biomass,0.0
Angola,2033,OffshoreWind,Biomass,0.0
Angola,2034,OffshoreWind,Biomass,0.0
Angola,2035,OffshoreWind,Biomass,0.0
Angola,2027,OffshoreWind,CSP,0.0
Angola,2028,OffshoreWind,CSP,0.0
Angola,2029,OffshoreWind,CSP,0.0
Angola,2030,OffshoreWind,CSP,0.0
Angola,2031,OffshoreWind,CSP,0.0
Angola,2032,OffshoreWind,CSP,0.0
Angola,2033,OffshoreWind,CSP,0.0
Angola,2034,OffshoreWind,CSP,0.0
Angola,2035,OffshoreWind,CSP,0.0
Angola,2027,OffshoreWind,Coal,0.0
Angola,2028,OffshoreWind,Coal,0.0
Angola,2029,OffshoreWind,Coal,0.0
Angola,2030,OffshoreWind,Coal,0.0
Angola,2031,OffshoreWind,Coal,0.0
Angola,2032,OffshoreWind,Coal,0.0
Angola,2033,OffshoreWind,Coal,0.0
Angola,2034,OffshoreWind,Coal,0.0
Angola,2035,OffshoreWind,Coal,0.0
Angola,2027,OffshoreWind,Diesel,0.0
Angola,2028,OffshoreWind,Diesel,0.0
Angola,2029,OffshoreWind,Diesel,0.0
Angola,2030,OffshoreWind,Diesel,0.0
Angola,2031,OffshoreWind,Diesel,0.0
