z,g,y,value
South_Africa,Arnot1_TH_ZAF,2025,332.5709203708882
South_Africa,Arnot1_TH_ZAF,2026,352.5460820944667
South_Africa,Arnot1_TH_ZAF,2027,383.75944324301196
South_Africa,Arnot1_TH_ZAF,2028,346.09496044489674
South_Africa,Arnot1_TH_ZAF,2029,322.1182964
South_Africa,Arnot1_TH_ZAF,2030,305.26564579919585
South_Africa,Arnot1_TH_ZAF,2031,266.49415326696413
South_Africa,Arnot1_TH_ZAF,2032,318.01160766111815
South_Africa,Arnot1_TH_ZAF,2033,283.06767218455593
South_Africa,Arnot2_TH_ZAF,2025,303.1576179876389
South_Africa,Arnot2_TH_ZAF,2026,362.824115081265
South_Africa,Arnot2_TH_ZAF,2027,353.9423943775345
South_Africa,Arnot2_TH_ZAF,2028,336.241835
South_Africa,Arnot2_TH_ZAF,2029,330.12600965607703
South_Africa,Arnot2_TH_ZAF,2030,314.4684907
South_Africa,Arnot2_TH_ZAF,2031,288.1620695668216
South_Africa,Arnot2_TH_ZAF,2032,305.62378324161926
South_Africa,Arnot2_TH_ZAF,2033,281.51028561655914
South_Africa,Camden_TH_ZAF,2025,414.7548862844322
South_Africa,Camden_TH_ZAF,2026,515.302903476167
South_Africa,Camden_TH_ZAF,2027,474.77929779999926
South_Africa,Camden_TH_ZAF,2028,490.1824627394723
South_Africa,Camden_TH_ZAF,2029,472.24402691854
South_Africa,Camden_TH_ZAF,2030,473.5216833878273
South_Africa,DrakensbergPH_HY_ZAF,2026,59.25035351483365
South_Africa,DrakensbergPH_HY_ZAF,2027,1282.3637099810196
South_Africa,DrakensbergPH_HY_ZAF,2028,1938.920288689878
South_Africa,DrakensbergPH_HY_ZAF,2029,1506.0054168314648
South_Africa,DrakensbergPH_HY_ZAF,2030,1709.907768
South_Africa,DrakensbergPH_HY_ZAF,2031,441.4691625999996
South_Africa,DrakensbergPH_HY_ZAF,2032,1617.6624028847316
South_Africa,DrakensbergPH_HY_ZAF,2033,1428.0777089543344
South_Africa,DrakensbergPH_HY_ZAF,2034,1937.1558972636715
South_Africa,DrakensbergPH_HY_ZAF,2035,2595.469190619527
South_Africa,Duvha_TH_ZAF,2025,819.5026266137996
South_Africa,Duvha_TH_ZAF,2026,1005.1456091112136
South_Africa,Duvha_TH_ZAF,2027,1033.3114081815056
South_Africa,Duvha_TH_ZAF,2028,999.4573283737635
South_Africa,Duvha_TH_ZAF,2029,940.339477442233
South_Africa,Duvha_TH_ZAF,2030,895.322664807346
South_Africa,Duvha_TH_ZAF,2031,932.7796822772407
South_Africa,Duvha_TH_ZAF,2032,856.3666118433563
South_Africa,ExistingHydro1985_HY_ZAF,2025,47.969020000000064
South_Africa,ExistingHydro1985_HY_ZAF,2026,52.527420000000035
South_Africa,ExistingHydro1985_HY_ZAF,2027,52.96898780000004
South_Africa,ExistingHydro1985_HY_ZAF,2028,52.51136000000003
South_Africa,ExistingHydro1985_HY_ZAF,2029,44.213400000000036
South_Africa,ExistingHydro1985_HY_ZAF,2030,42.45353630000005
South_Africa,ExistingHydro1985_HY_ZAF,2031,40.110337599999994
South_Africa,ExistingHydro1985_HY_ZAF,2032,47.212353104742746
South_Africa,ExistingHydro1985_HY_ZAF,2033,42.2280769218685
South_Africa,ExistingHydro1985_HY_ZAF,2034,42.108220000000024
South_Africa,ExistingHydro1985_HY_ZAF,2035,36.42717663883585
South_Africa,ExistingHydro2015_HY_ZAF,2025,21.249043921719192
South_Africa,ExistingHydro2015_HY_ZAF,2026,23.201121251888075
South_Africa,ExistingHydro2015_HY_ZAF,2027,22.13747000000002
South_Africa,ExistingHydro2015_HY_ZAF,2028,19.529340000000026
South_Africa,ExistingHydro2015_HY_ZAF,2029,18.60527500000001
South_Africa,ExistingHydro2015_HY_ZAF,2030,19.32547000000002
South_Africa,ExistingHydro2015_HY_ZAF,2031,18.61525000000002
South_Africa,ExistingHydro2015_HY_ZAF,2032,19.294975000000022
South_Africa,ExistingHydro2015_HY_ZAF,2033,18.151398683691216
South_Africa,ExistingHydro2015_HY_ZAF,2034,17.50367258810915
South_Africa,ExistingHydro2015_HY_ZAF,2035,16.242434999999983
South_Africa,Gariep_HY_ZAF,2025,404.67539583239943
South_Africa,Gariep_HY_ZAF,2026,414.3826241124393
