z,z2,y,value
Burundi,Rwanda,2030,0.9690639269406393
Burundi,Rwanda,2036,0.9506849315068492
Egypt,Libya,2024,0.9800228310502284
Egypt,Libya,2030,0.9800228310502284
Egypt,Libya,2036,0.795662100456621
Egypt,Sudan,2024,0.708675799086758
Egypt,Sudan,2030,0.5990867579908675
Egypt,Sudan,2036,0.5878995433789954
Ethiopia,Kenya,2024,1.0
Ethiopia,Kenya,2030,1.0
Ethiopia,Kenya,2036,1.0
Ethiopia,Djibouti,2024,0.4514840182648402
Ethiopia,Djibouti,2030,0.3463470319634703
Ethiopia,Djibouti,2036,0.5723744292237443
Ethiopia,Somaliland,2024,1.0
Ethiopia,Somaliland,2036,0.7514840182648402
Ethiopia,Sudan,2024,0.9164383561643836
Ethiopia,Sudan,2030,1.0
Ethiopia,Sudan,2036,0.6607305936073059
Libya,Egypt,2030,0.0004566210045662
Libya,Egypt,2036,0.1789954337899543
Rwanda,Burundi,2024,1.0
Rwanda,Drc_E,2024,0.7600456621004567
Rwanda,Tanzania,2024,0.5251141552511416
Rwanda,Tanzania,2036,0.1127853881278538
Somaliland,Ethiopia,2024,1.0
SouthSudan,Sudan,2030,0.4947488584474885
SouthSudan,Sudan,2036,0.7294520547945206
Sudan,Egypt,2024,0.1823059360730593
Sudan,Egypt,2030,0.316324200913242
Sudan,Egypt,2036,0.3649543378995434
Sudan,Ethiopia,2036,0.1521689497716895
Sudan,SouthSudan,2024,0.9308219178082192
Sudan,SouthSudan,2030,0.5042237442922375
Sudan,SouthSudan,2036,0.2655251141552511
Tanzania,Rwanda,2030,0.2493150684931507
Uganda,Kenya,2024,0.5220319634703197
Uganda,Rwanda,2036,0.0003424657534246
Uganda,Tanzania,2024,1.0
