z,z2,y,value
Kenya,Ethiopia,2024,1.4073939730997435e-05
Kenya,Ethiopia,2030,2.000086546823406e-06
Kenya,Ethiopia,2036,2.9432705822278524e-06
Kenya,Tanzania,2024,0.2878891672211739
Kenya,Tanzania,2030,0.2207607048080551
Kenya,Tanzania,2036,0.3609681334928768
Kenya,Uganda,2024,0.0001877433346246
Kenya,Uganda,2030,0.0338273264501897
Kenya,Uganda,2036,0.0001422759114762
Burundi,Rwanda,2024,6.123936543160967e-06
Burundi,Rwanda,2030,0.9907657569972488
Burundi,Rwanda,2036,0.9740063856298802
Djibouti,Ethiopia,2024,0.0029835416069586
Djibouti,Ethiopia,2030,0.0917195213236875
Djibouti,Ethiopia,2036,0.0019142630783466
Drc_E,Rwanda,2024,0.0006998448922172
Drc_E,Rwanda,2030,0.2423387527600382
Drc_E,Rwanda,2036,0.054972593713037
Egypt,Libya,2024,0.995559979420886
Egypt,Libya,2030,0.9869218830585672
Egypt,Libya,2036,0.796795401770893
Egypt,Sudan,2024,0.7384651566071188
Egypt,Sudan,2030,0.6314642792692322
Egypt,Sudan,2036,0.5930198084017021
Ethiopia,Kenya,2024,0.9999955060401332
Ethiopia,Kenya,2030,1.0000128528413823
Ethiopia,Kenya,2036,1.0000000078773363
Ethiopia,Djibouti,2024,0.8532440919182906
Ethiopia,Djibouti,2030,0.906301995161234
Ethiopia,Djibouti,2036,0.8397513097789718
Ethiopia,Somaliland,2030,0.7899120089180579
Ethiopia,Somaliland,2036,0.9409359422950252
Ethiopia,Sudan,2024,0.946843787932013
Ethiopia,Sudan,2030,1.0000017968195103
Ethiopia,Sudan,2036,0.6704162111667271
Libya,Egypt,2024,5.418351926665629e-05
Libya,Egypt,2030,0.0004940961028722
Libya,Egypt,2036,0.1823724223303658
Rwanda,Burundi,2024,1.0000844289627693
Rwanda,Burundi,2030,6.452057604179804e-05
Rwanda,Burundi,2036,0.0007467146445876
Rwanda,Drc_E,2024,0.87542603191947
Rwanda,Drc_E,2030,9.845489451216588e-05
Rwanda,Drc_E,2036,0.017084824880405
Rwanda,Tanzania,2024,0.8394966687860114
Rwanda,Tanzania,2030,0.0003524545740777
Rwanda,Tanzania,2036,0.1864365326625101
Rwanda,Uganda,2024,6.949513671266117e-05
Rwanda,Uganda,2030,2.874588500730968e-05
Rwanda,Uganda,2036,0.0010950609076231
Somaliland,Ethiopia,2030,0.2058260068690414
Somaliland,Ethiopia,2036,0.0002134166838729
SouthSudan,Sudan,2024,1.652352228961126e-05
SouthSudan,Sudan,2030,0.4949152797252547
SouthSudan,Sudan,2036,0.73348245254978
Sudan,Egypt,2024,0.2095776695623682
Sudan,Egypt,2030,0.3296215253635232
Sudan,Egypt,2036,0.3927926246566596
Sudan,Ethiopia,2024,0.0076845250582338
Sudan,Ethiopia,2030,3.0209610978704286e-06
Sudan,Ethiopia,2036,0.2392925465018423
Sudan,SouthSudan,2024,0.9309195833090704
Sudan,SouthSudan,2030,0.5046352962984952
Sudan,SouthSudan,2036,0.2657610141064224
Tanzania,Kenya,2024,1.4709805673683263e-05
Tanzania,Kenya,2030,0.0039106465935007
Tanzania,Kenya,2036,2.303834663643012e-05
Tanzania,Rwanda,2024,0.0004622705668819
Tanzania,Rwanda,2030,0.3577229838088491
Tanzania,Rwanda,2036,0.0014952158642629
Tanzania,Uganda,2024,0.0001368594261157
Tanzania,Uganda,2030,0.0055535444043212
Tanzania,Uganda,2036,8.498758702684985e-06
Uganda,Kenya,2024,0.8966856480434209
Uganda,Kenya,2030,0.0002420368571768
Uganda,Kenya,2036,0.0042229998533759
Uganda,Rwanda,2024,0.4000006882184899
Uganda,Rwanda,2030,0.1877505684392872
Uganda,Rwanda,2036,0.2227380494336796
Uganda,Tanzania,2024,0.9997565722726874
Uganda,Tanzania,2030,0.0216343311196609
Uganda,Tanzania,2036,0.0230689343150797
