z,tech,f,y,value
Kenya,Storage,Battery,2024,0.0053101752603892
Kenya,Storage,Battery,2030,0.000108605774888
Kenya,Storage,Battery,2036,0.0025737039609407
Kenya,Storage,Pumped,2036,0.4233672483792196
Kenya,ROR,Water,2024,0.5578117350422332
Kenya,ROR,Water,2030,0.5561543064430369
Kenya,ROR,Water,2036,0.5561541803155494
Kenya,ICE,Diesel,2030,0.0338158927025434
Kenya,ICE,Diesel,2036,0.0146740687654155
Kenya,ICE,HFO,2024,1.2993866450312442e-05
Kenya,ICE,HFO,2030,2.8325418122211684e-06
Kenya,ICE,HFO,2036,4.080266095113172e-06
Kenya,OCGT,Gas,2030,0.0335308332069116
Kenya,OCGT,Gas,2036,0.0066760736634459
Kenya,OCGT,HFO,2024,1.4492352842742436e-05
Kenya,OCGT,HFO,2030,2.7501744108943813e-06
Kenya,CCGT,Gas,2030,0.0706096401612713
Kenya,CCGT,Gas,2036,0.0236552092720374
Kenya,PV,Solar,2024,0.2363600763873731
Kenya,PV,Solar,2030,0.236374273522365
Kenya,PV,Solar,2036,0.2363682993978663
Kenya,ReservoirHydro,Water,2030,0.9799933832351868
Kenya,ReservoirHydro,Water,2036,0.985761156371819
Kenya,ST,Coal,2030,1.8314863182701304
Kenya,ST,Coal,2036,0.5931303795392205
Kenya,Geothermal,Geothermal,2024,0.9419969353701984
Kenya,Geothermal,Geothermal,2030,0.8633762741068914
Kenya,Geothermal,Geothermal,2036,0.8118461371197423
Kenya,CCGT_CCS,Gas,2036,0.2261364202252574
Kenya,Nuclear,Uranium,2036,1.5126344301688222
Kenya,BiomassPlant,Biomass,2024,0.8151929565711913
Kenya,BiomassPlant,Biomass,2030,0.6762519491382235
Kenya,BiomassPlant,Biomass,2036,0.692756607115362
Kenya,OCGT_CCS,Gas,2036,0.0837309053536073
Burundi,ROR,Water,2024,0.4550173518858919
Burundi,ROR,Water,2030,0.4551047421683555
Burundi,ROR,Water,2036,0.4550895252094873
Burundi,ICE,Diesel,2024,0.9000838460221581
Burundi,ICE,Diesel,2030,8.000839644871932e-06
Burundi,ICE,Diesel,2036,1.1615805201402692e-05
Burundi,ICE,HFO,2030,0.0168254219755041
Burundi,ICE,HFO,2036,0.014418454879988
Burundi,OCGT,Gas,2030,0.7907134208743387
Burundi,OCGT,Gas,2036,0.7928008658708989
Burundi,CCGT,Gas,2030,0.8542263311402386
Burundi,CCGT,Gas,2036,0.8523546930394631
Burundi,PV,Solar,2024,0.2310744522901417
Burundi,PV,Solar,2030,0.2308891629208105
Burundi,PV,Solar,2036,0.2307583384701615
Burundi,ReservoirHydro,Water,2024,0.6561362968504972
Burundi,ReservoirHydro,Water,2030,0.6561398970018605
Burundi,ReservoirHydro,Water,2036,0.6561307151680296
Burundi,ST,Peat,2030,0.3909951140950953
Burundi,ST,Peat,2036,0.2464887377668746
Burundi,ST,Waste,2030,0.9181079961878272
Burundi,ST,Waste,2036,0.6956310060065172
Burundi,BiomassPlant,Biomass,2030,1.4875310419331598
Burundi,BiomassPlant,Biomass,2036,0.9069862073688588
Djibouti,Storage,Battery,2030,0.3094335882946665
Djibouti,Storage,Battery,2036,0.0390696178931694
Djibouti,ICE,Diesel,2024,8.401480353048855e-05
Djibouti,ICE,Diesel,2030,2.04656653012818e-05
Djibouti,ICE,Diesel,2036,3.376458846772812e-05
Djibouti,ICE,HFO,2024,0.0882981790983793
Djibouti,ICE,HFO,2030,0.0145910965786919
Djibouti,ICE,HFO,2036,0.0661251342782027
Djibouti,OCGT,Gas,2036,0.0834020349333698
Djibouti,CCGT,Gas,2030,0.1682977907626664
Djibouti,CCGT,Gas,2036,0.3393530352142868
Djibouti,PV,Solar,2030,0.0369567608769179
Djibouti,PV,Solar,2036,0.2060707206434493
Djibouti,Geothermal,Geothermal,2024,0.5179671054532513
Djibouti,Geothermal,Geothermal,2030,0.2601014736121522
Djibouti,Geothermal,Geothermal,2036,0.5089250355618095
Djibouti,BiomassPlant,Biomass,2030,0.3012599175347733
Djibouti,BiomassPlant,Biomass,2036,0.845497582660981
Drc_E,Storage,Battery,2030,0.075750765786675
Drc_E,Storage,Battery,2036,0.0418087866445228
Drc_E,ROR,Water,2024,0.6518808536994674
