z,z2,y,value
Burundi,Drc_E,2024,1.0
Burundi,Drc_E,2030,1.0
Burundi,Drc_E,2036,0.7843607305936073
Burundi,Rwanda,2030,0.9924657534246576
Burundi,Rwanda,2036,1.0
Burundi,Tanzania,2024,1.0
Burundi,Tanzania,2030,1.0
Burundi,Tanzania,2036,1.0
Drc_E,Burundi,2024,1.0
Drc_E,Burundi,2030,1.0
Drc_E,Uganda,2024,1.0
Drc_E,Uganda,2030,1.0
Drc_E,Uganda,2036,1.0
Egypt,Libya,2024,0.98013698630137
Egypt,Libya,2030,0.9800228310502284
Egypt,Libya,2036,0.8122146118721462
Egypt,Sudan,2024,0.708675799086758
Egypt,Sudan,2030,0.5990867579908675
Egypt,Sudan,2036,0.0123287671232876
Ethiopia,Kenya,2024,1.0
Ethiopia,Kenya,2030,1.0
Ethiopia,Kenya,2036,0.7760273972602739
Ethiopia,Djibouti,2024,0.443607305936073
Ethiopia,Djibouti,2030,0.3426940639269406
Ethiopia,Djibouti,2036,0.1117579908675799
Ethiopia,Somaliland,2024,1.0
Ethiopia,Somaliland,2036,0.3018264840182648
Ethiopia,Mogadishu,2024,1.0
Ethiopia,Mogadishu,2030,1.0
Ethiopia,Mogadishu,2036,1.0
Ethiopia,SouthSudan,2024,1.0
Ethiopia,SouthSudan,2030,1.0
Ethiopia,SouthSudan,2036,0.4328767123287671
Ethiopia,Sudan,2024,0.9164383561643836
Ethiopia,Sudan,2030,1.0
Ethiopia,Sudan,2036,0.4950913242009132
Libya,Egypt,2030,0.0004566210045662
Libya,Egypt,2036,0.0174657534246575
Rwanda,Burundi,2024,1.0
Rwanda,Drc_E,2024,0.7600456621004567
Rwanda,Tanzania,2024,0.5251141552511416
Rwanda,Tanzania,2036,0.2128995433789954
Somaliland,Ethiopia,2024,1.0
Mogadishu,Ethiopia,2024,1.0
Mogadishu,Ethiopia,2030,1.0
Mogadishu,Ethiopia,2036,1.0
SouthSudan,Ethiopia,2024,1.0
SouthSudan,Ethiopia,2030,1.0
SouthSudan,Sudan,2030,0.4947488584474885
SouthSudan,Sudan,2036,0.4912100456621004
SouthSudan,Uganda,2024,1.0
SouthSudan,Uganda,2030,1.0
SouthSudan,Uganda,2036,0.1753424657534246
Sudan,Egypt,2024,0.1823059360730593
Sudan,Egypt,2030,0.316324200913242
Sudan,Egypt,2036,0.3381278538812785
Sudan,SouthSudan,2024,0.9308219178082192
Sudan,SouthSudan,2030,0.5042237442922375
Sudan,SouthSudan,2036,0.325
Tanzania,Burundi,2024,1.0
Tanzania,Burundi,2030,1.0
Tanzania,Rwanda,2030,0.2493150684931507
Tanzania,Rwanda,2036,0.0062785388127853
Tanzania,Uganda,2030,0.2490867579908675
Uganda,Kenya,2024,0.5220319634703197
Uganda,Kenya,2036,0.0001141552511415
Uganda,Drc_E,2024,1.0
Uganda,Drc_E,2030,1.0
Uganda,Drc_E,2036,1.0
Uganda,SouthSudan,2024,1.0
Uganda,SouthSudan,2030,1.0
Uganda,SouthSudan,2036,0.0242009132420091
Uganda,Tanzania,2024,1.0
