c,f,y,value
Kenya,Diesel,2030,3.095513229460638e-08
Kenya,Diesel,2036,4.86513676624322e-08
Kenya,Gas,2030,5.731789616305132e-07
Kenya,Gas,2036,1.0085684688503668e-06
Kenya,Solar,2024,0.0323460120020332
Kenya,Solar,2030,0.0276157993193273
Kenya,Solar,2036,0.0298883344929742
Kenya,Water,2024,0.2520277973887527
Kenya,Water,2030,0.3122220013662987
Kenya,Water,2036,0.3410856199292151
Kenya,HFO,2024,4.814921607946522e-06
Kenya,HFO,2030,8.771850481514292e-07
Kenya,HFO,2036,1.0047073392815065e-06
Kenya,Battery,2024,0.0007182917025055
Kenya,Battery,2030,1.067425572939644e-05
Kenya,Battery,2036,0.0003201679555865
Kenya,Geothermal,2024,0.6946944708761347
Kenya,Geothermal,2030,0.5699485412350784
Kenya,Geothermal,2036,0.5217468771934506
Kenya,Uranium,2036,3.6318533845266244e-07
Kenya,Biomass,2024,0.0202086124890394
Kenya,Biomass,2030,0.0902009459373112
Kenya,Biomass,2036,0.1069551685503471
Kenya,Coal,2030,5.56037869706361e-07
Kenya,Coal,2036,7.29177044422515e-07
Kenya,Pumped,2036,6.770160820808934e-07
Burundi,Diesel,2024,0.3172937598350096
Burundi,Diesel,2030,7.750059695862877e-07
Burundi,Diesel,2036,4.4128098368823604e-07
Burundi,Gas,2030,0.7732346931401556
Burundi,Gas,2036,0.9156784925680662
Burundi,Solar,2024,0.0191560356359808
Burundi,Solar,2030,0.0063575658813178
Burundi,Solar,2036,0.002366056940755
Burundi,Water,2024,0.6635501926928815
Burundi,Water,2030,0.2203997945251433
Burundi,Water,2036,0.0819499400605128
Burundi,Peat,2030,1.10744751758047e-06
Burundi,Peat,2036,7.605263354918013e-07
Burundi,Waste,2030,3.431389048305238e-06
Burundi,Waste,2036,1.9059465379954289e-06
Burundi,HFO,2030,2.848662718827161e-07
Burundi,HFO,2036,1.612327269805978e-07
Burundi,Biomass,2030,2.34381384812678e-06
Burundi,Biomass,2036,2.2399828480469262e-06
Djibouti,Diesel,2024,0.0002970815926882
Djibouti,Diesel,2030,5.647796738372752e-05
Djibouti,Diesel,2036,0.0004977417911657
Djibouti,Gas,2030,0.0001890394943314
Djibouti,Gas,2036,0.0010729944929248
Djibouti,Solar,2030,0.2239021558572962
Djibouti,Solar,2036,0.2705627706667134
Djibouti,HFO,2024,0.999537223956008
Djibouti,HFO,2030,0.2293991831245458
Djibouti,HFO,2036,0.0762768736658316
Djibouti,Battery,2030,0.545657902610877
Djibouti,Battery,2036,0.6407089525835529
Djibouti,Geothermal,2024,0.0001655386531735
Djibouti,Geothermal,2030,5.780458666949254e-05
Djibouti,Geothermal,2036,0.0001713634967031
Djibouti,Biomass,2030,0.0007373118487287
Djibouti,Biomass,2036,0.010708461779841
DRC,Diesel,2030,6.377789995013701e-07
DRC,Diesel,2036,8.958214493571573e-07
DRC,Solar,2030,3.936477321116159e-06
DRC,Solar,2036,4.588117692003341e-06
DRC,Water,2024,0.9999999815273508
DRC,Water,2030,0.759309516211458
