c,c2,y,value
Kenya,Ethiopia,2024,0.0112229683945893
Kenya,Ethiopia,2030,0.0048224036122383
Kenya,Ethiopia,2036,0.0675045550932503
Kenya,Tanzania,2024,3782.738744494834
Kenya,Tanzania,2030,2769.296562171583
Kenya,Tanzania,2036,2049.408121395602
Kenya,Uganda,2024,0.0991152118210275
Kenya,Uganda,2030,269.4145775750359
Kenya,Uganda,2036,1.451116213458196
Burundi,DRC,2036,896.9551451912298
Burundi,Rwanda,2024,0.0011094305156692
Burundi,Rwanda,2030,236.02043938084915
Burundi,Rwanda,2036,1550.685789922782
Burundi,Tanzania,2036,1314.16483343333
Djibouti,Ethiopia,2024,2.147547760544846
Djibouti,Ethiopia,2030,129.69459627724484
Djibouti,Ethiopia,2036,0.1110690291271853
DRC,Burundi,2036,0.0491923913857523
DRC,Rwanda,2024,0.0627727009445397
DRC,Rwanda,2030,43.981252223577386
DRC,Rwanda,2036,695.8389000769913
DRC,Uganda,2036,0.1495792123954618
Egypt,Libya,2024,1569.8079825876928
Egypt,Libya,2030,1556.171924789331
Egypt,Libya,2036,2630.2116492054643
Egypt,Sudan,2024,1940.678994364505
Egypt,Sudan,2030,1659.4868756195822
Egypt,Sudan,2036,1108.5452725299897
Ethiopia,Kenya,2024,919.7890040774204
Ethiopia,Kenya,2030,2847.0021542004984
Ethiopia,Kenya,2036,9995.50168646259
Ethiopia,Djibouti,2024,709.6644293245721
Ethiopia,Djibouti,2030,1270.2616450397045
Ethiopia,Djibouti,2036,1784.712612734775
Ethiopia,Somalia,2030,692.9059176412994
Ethiopia,Somalia,2036,1186.6770152599324
Ethiopia,SouthSudan,2036,1933.9555342725616
Ethiopia,Sudan,2024,1990.543630988931
Ethiopia,Sudan,2030,2102.3960311095607
Ethiopia,Sudan,2036,15838.19162735465
Libya,Egypt,2024,0.0759844463799881
Libya,Egypt,2030,0.7762717907910316
Libya,Egypt,2036,56.52087380076544
Rwanda,Burundi,2024,236.52244546015564
Rwanda,Burundi,2030,0.0087222006522301
Rwanda,Burundi,2036,0.0371797701555634
Rwanda,DRC,2024,92.04224831819676
Rwanda,DRC,2030,12.606302864952411
Rwanda,DRC,2036,0.1228457188305712
Rwanda,Tanzania,2024,198.57206090391344
Rwanda,Tanzania,2030,0.0589836870362328
Rwanda,Tanzania,2036,71.3164472329702
Rwanda,Uganda,2024,0.1810349833479933
Rwanda,Uganda,2030,0.0730674995166943
Rwanda,Uganda,2036,30.867253596520737
Somalia,Ethiopia,2030,180.69915529112367
Somalia,Ethiopia,2036,0.1914626085244352
SouthSudan,Ethiopia,2036,0.076709771374448
SouthSudan,Sudan,2024,0.001456863515186
SouthSudan,Sudan,2030,52.02094261828916
SouthSudan,Sudan,2036,51.666416470550594
SouthSudan,Uganda,2036,459.5873257378577
Sudan,Egypt,2024,550.7644569555739
Sudan,Egypt,2030,866.2383846743585
Sudan,Egypt,2036,9683.869566316143
Sudan,Ethiopia,2024,16.13612785138538
Sudan,Ethiopia,2030,0.0055343783076082
Sudan,Ethiopia,2036,0.0932113557369623
Sudan,SouthSudan,2024,97.84991747850306
Sudan,SouthSudan,2030,53.04298046191416
Sudan,SouthSudan,2036,35.18775508546782
Tanzania,Kenya,2024,0.1721555499253369
Tanzania,Kenya,2030,63.75791917245226
Tanzania,Kenya,2036,761.3394842949381
Tanzania,Burundi,2036,0.0372581856307206
Tanzania,Rwanda,2024,0.0942903962749891
Tanzania,Rwanda,2030,87.7857119278248
Tanzania,Rwanda,2036,10.372022572557162
Tanzania,Uganda,2024,0.0719912384919529
Tanzania,Uganda,2030,152.8401082508245
Tanzania,Uganda,2036,0.4877434202466653
Uganda,Kenya,2024,549.7103431647564
Uganda,Kenya,2030,0.7138437452154123
Uganda,Kenya,2036,124.67214618946464
Uganda,DRC,2036,0.0611187309589899
Uganda,Rwanda,2024,1198.5083754185382
Uganda,Rwanda,2030,697.2959652181065
Uganda,Rwanda,2036,173.53578885399634
Uganda,SouthSudan,2036,95.97167938938829
Uganda,Tanzania,2024,613.0413127221733
Uganda,Tanzania,2030,13.133439860336884
Uganda,Tanzania,2036,509.35630383063886
