z,g,uni,y,value
South_Africa,Ankerlig(Atlantis)_TH_ZAF,Variable Cost: $m,2025,126.13242733341005
South_Africa,Ankerlig(Atlantis)_TH_ZAF,Variable Cost: $m,2033,0.3311465002403009
South_Africa,Ankerlig(Atlantis)_TH_ZAF,Variable Cost: $m,2034,7.8798689040666465
South_Africa,Ankerlig(Atlantis)_TH_ZAF,Variable Cost: $m,2035,7.808103911916288
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2025,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2026,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2027,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2028,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2029,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2030,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2031,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2032,47.25
South_Africa,Arnot1_TH_ZAF,Fixed O&M: $m,2033,47.25
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2025,324.9871955943009
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2026,233.6701169066245
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2027,183.29312154962798
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2028,143.3845327591985
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2029,107.29269828178664
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2030,130.66780199381057
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2031,126.23713441281576
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2032,68.36572769127426
South_Africa,Arnot1_TH_ZAF,Variable Cost: $m,2033,107.41393583054031
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2025,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2026,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2027,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2028,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2029,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2030,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2031,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2032,47.25
South_Africa,Arnot2_TH_ZAF,Fixed O&M: $m,2033,47.25
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2025,324.98719559430083
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2026,233.67011690662451
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2027,204.6228004860542
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2028,143.3843525005902
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2029,93.13225754953298
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2030,131.21719124233846
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2031,90.8945429559822
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2032,60.233163363896075
South_Africa,Arnot2_TH_ZAF,Variable Cost: $m,2033,119.9153896536248
South_Africa,Avon_TH_ZAF,Variable Cost: $m,2034,0.30023555953489456
South_Africa,Avon_TH_ZAF,Variable Cost: $m,2035,0.18827702151322315
South_Africa,Camden_TH_ZAF,Fixed O&M: $m,2025,66.78
South_Africa,Camden_TH_ZAF,Fixed O&M: $m,2026,66.78
South_Africa,Camden_TH_ZAF,Fixed O&M: $m,2027,66.78
South_Africa,Camden_TH_ZAF,Fixed O&M: $m,2028,66.78
South_Africa,Camden_TH_ZAF,Fixed O&M: $m,2029,66.78
South_Africa,Camden_TH_ZAF,Fixed O&M: $m,2030,66.78
South_Africa,Camden_TH_ZAF,Variable Cost: $m,2025,395.2588155180873
South_Africa,Camden_TH_ZAF,Variable Cost: $m,2026,375.54544205127854
South_Africa,Camden_TH_ZAF,Variable Cost: $m,2027,239.57478285103994
South_Africa,Camden_TH_ZAF,Variable Cost: $m,2028,140.92831434089814
South_Africa,Camden_TH_ZAF,Variable Cost: $m,2029,0.500204090835032
South_Africa,Camden_TH_ZAF,Variable Cost: $m,2030,1.4611481388799874
South_Africa,Dedisa_TH_ZAF,Variable Cost: $m,2034,0.12016596468839869
South_Africa,Dedisa_TH_ZAF,Variable Cost: $m,2035,0.1191026876587196
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2025,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2026,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2027,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2028,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2029,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2030,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2031,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2032,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2033,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2034,46.5
South_Africa,DrakensbergPH_HY_ZAF,Fixed O&M: $m,2035,46.5
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2026,0.01856487071249994
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2027,0.40083718130249985
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2028,0.46851874596551024
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2029,0.5306432462517856
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2030,0.20968527871500012
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2031,0.1119030271799998
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2032,0.021999293404721555
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2033,0.3014927026497314
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2034,0.44797901890391656
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2035,0.3841296695837975
