z,g,y,value
South_Africa,Ankerlig(Atlantis)_TH_ZAF,2025,0.08477171395271955
South_Africa,Ankerlig(Atlantis)_TH_ZAF,2033,0.00022831050228310502
South_Africa,Ankerlig(Atlantis)_TH_ZAF,2034,0.005480884164949779
South_Africa,Ankerlig(Atlantis)_TH_ZAF,2035,0.005479452054794521
South_Africa,Arnot1_TH_ZAF,2025,0.5300000000000001
South_Africa,Arnot1_TH_ZAF,2026,0.39641095890410954
South_Africa,Arnot1_TH_ZAF,2027,0.32339179326981016
South_Africa,Arnot1_TH_ZAF,2028,0.26304485123981197
South_Africa,Arnot1_TH_ZAF,2029,0.20461780687869163
South_Africa,Arnot1_TH_ZAF,2030,0.25899142634378614
South_Africa,Arnot1_TH_ZAF,2031,0.2599811723506238
South_Africa,Arnot1_TH_ZAF,2032,0.14625886117609077
South_Africa,Arnot1_TH_ZAF,2033,0.23864969792185256
South_Africa,Arnot2_TH_ZAF,2025,0.53
South_Africa,Arnot2_TH_ZAF,2026,0.3964109589041096
South_Africa,Arnot2_TH_ZAF,2027,0.36102464638946485
South_Africa,Arnot2_TH_ZAF,2028,0.2630445205479452
South_Africa,Arnot2_TH_ZAF,2029,0.17761244329411957
South_Africa,Arnot2_TH_ZAF,2030,0.2600803488091761
South_Africa,Arnot2_TH_ZAF,2031,0.18719428279078043
South_Africa,Arnot2_TH_ZAF,2032,0.12886038335493757
South_Africa,Arnot2_TH_ZAF,2033,0.2664251272029276
South_Africa,Avon_TH_ZAF,2034,0.00022831050228310502
South_Africa,Avon_TH_ZAF,2035,0.0001444511474374115
South_Africa,Camden_TH_ZAF,2025,0.4464683135674768
South_Africa,Camden_TH_ZAF,2026,0.4412876712328772
South_Africa,Camden_TH_ZAF,2027,0.2927916706036963
South_Africa,Camden_TH_ZAF,2028,0.17909321066350603
South_Africa,Camden_TH_ZAF,2029,0.0006608350430239893
South_Africa,Camden_TH_ZAF,2030,0.0020063350395296696
South_Africa,Dedisa_TH_ZAF,2034,0.00022831050228310502
South_Africa,Dedisa_TH_ZAF,2035,0.00022831050228310502
South_Africa,DrakensbergPH_HY_ZAF,2026,0.00038185179794520427
South_Africa,DrakensbergPH_HY_ZAF,2027,0.008244625062785386
South_Africa,DrakensbergPH_HY_ZAF,2028,0.009636734254093346
South_Africa,DrakensbergPH_HY_ZAF,2029,0.010914542890529958
South_Africa,DrakensbergPH_HY_ZAF,2030,0.0043129145319634726
South_Africa,DrakensbergPH_HY_ZAF,2031,0.0023016789497716855
