z,uni,y,value
Angola,Generation,2028,117440000.0
Angola,Generation,2029,517475795.8538983
Angola,Generation,2030,1610407619.9511003
Angola,Generation,2031,1857607619.9511003
Angola,Generation,2032,2101207619.9511003
Angola,Generation,2033,3644890341.3028913
Angola,Generation,2034,5577507487.543355
Angola,Generation,2035,6312274522.431015
Angola,Generation,2036,6449074522.431015
Angola,Generation,2037,11581987200.0
Angola,Generation,2038,11714227200.0
Angola,Generation,2039,13817368903.733128
Angola,Generation,2040,14393584409.130001
Angola,StorageEnergy,2032,51756000.0
Angola,StorageEnergy,2033,102600000.0
Angola,StorageEnergy,2034,152456000.0
Angola,StorageEnergy,2035,201400000.0
Angola,StorageEnergy,2036,249356000.0
Angola,StorageEnergy,2037,296400000.0
Angola,StorageEnergy,2038,342532000.0
Angola,StorageEnergy,2039,387676000.0
Angola,StorageEnergy,2040,431908000.0
Angola,Transmission,2030,452647843.0
Angola,Transmission,2033,608198452.4415005
Angola,Transmission,2035,635915187.0460942
Angola,Transmission,2038,650771525.0431865
Angola,Transmission,2039,726609927.7943823
Angola,Transmission,2040,730345150.77559
Botswana,Generation,2026,174720000.0
Botswana,Generation,2027,570704000.0
Botswana,Generation,2028,875664000.0
Botswana,Generation,2029,1286704000.0
Botswana,Generation,2030,1686064000.0
Botswana,Generation,2031,2082864000.0
Botswana,Generation,2032,2477584000.0
Botswana,Generation,2033,2869744000.0
Botswana,Generation,2034,3259344000.0
Botswana,Generation,2035,3646544000.0
Botswana,Generation,2036,4031184000.0
Botswana,Generation,2037,4413424000.0
Botswana,Generation,2038,4793424000.0
Botswana,Generation,2039,4987505442.952571
Botswana,Generation,2040,5362545442.952571
Botswana,StorageEnergy,2026,16302000.0
Botswana,StorageEnergy,2027,47462000.0
Botswana,StorageEnergy,2028,63264308.44444445
Botswana,StorageEnergy,2029,76099796.44444445
Botswana,StorageEnergy,2030,88547988.44444443
Botswana,StorageEnergy,2031,111625350.44444445
Botswana,StorageEnergy,2032,137503350.44444445
Botswana,StorageEnergy,2033,162925350.44444445
Botswana,StorageEnergy,2034,187853350.44444445
Botswana,StorageEnergy,2035,212325350.44444445
Botswana,StorageEnergy,2036,236303350.44444445
Botswana,StorageEnergy,2037,259825350.44444445
Botswana,StorageEnergy,2038,282891350.4444445
Botswana,StorageEnergy,2039,305463350.4444445
Botswana,StorageEnergy,2040,350212489.3547682
Botswana,Transmission,2034,128515000.0
Botswana,Transmission,2038,160651325.9796947
Botswana,Transmission,2040,259161580.94825006
DRC,Generation,2025,1952597895.6117
DRC,Generation,2026,2035624539.5912867
DRC,Generation,2027,2127364683.448478
DRC,Generation,2028,2201903337.4233713
DRC,Generation,2029,2272723196.996146
DRC,Generation,2030,2312915196.996146
DRC,Generation,2031,2645636964.417146
DRC,Generation,2032,2684612964.417146
DRC,Generation,2033,2722948964.417146
DRC,Generation,2034,2760644964.417146
DRC,Generation,2035,2797764964.417146
DRC,Generation,2037,6725578917.417147
DRC,Generation,2038,10653392870.417147
DRC,Generation,2039,12651923846.917147
DRC,Generation,2040,12685971846.917147
DRC,StorageEnergy,2027,15580000.0
DRC,StorageEnergy,2028,30438000.0
DRC,StorageEnergy,2029,44574000.0
DRC,StorageEnergy,2030,57988000.0
DRC,StorageEnergy,2031,71155000.0
DRC,StorageEnergy,2032,84094000.0
DRC,StorageEnergy,2033,96805000.0
DRC,StorageEnergy,2034,109269000.0
DRC,StorageEnergy,2035,121505000.0
DRC,StorageEnergy,2036,133494000.0
DRC,StorageEnergy,2039,144780000.0
DRC,StorageEnergy,2040,155838000.0
DRC,Transmission,2030,31222582.30804105
DRC,Transmission,2033,186773191.74954158
DRC,Transmission,2034,232800939.67173323
DRC,Transmission,2035,352336908.73385656
DRC,Transmission,2036,464328046.23906356
DRC,Transmission,2037,749509419.723725
DRC,Transmission,2038,1611638732.339026
DRC,Transmission,2039,2171052413.525606
DRC,Transmission,2040,2247281381.65563
DRC_South,Generation,2025,71520000.0
DRC_South,Generation,2026,125280000.0
DRC_South,Generation,2027,175648000.0
DRC_South,Generation,2028,222624000.0
DRC_South,Generation,2029,266208000.0
DRC_South,Generation,2030,306400000.0
DRC_South,Generation,2031,345952000.0
DRC_South,Generation,2032,384928000.0
DRC_South,Generation,2033,423264000.0
DRC_South,Generation,2034,460960000.0
DRC_South,Generation,2035,498080000.0
DRC_South,Generation,2036,534560000.0
DRC_South,Generation,2037,570464000.0
DRC_South,Generation,2038,605728000.0
DRC_South,Generation,2039,640352000.0
DRC_South,Generation,2040,674400000.0
DRC_South,StorageEnergy,2027,48052000.0
DRC_South,StorageEnergy,2028,57229225.53862407
DRC_South,StorageEnergy,2029,64669225.53862407
DRC_South,StorageEnergy,2030,186935378.130276
DRC_South,StorageEnergy,2031,225777686.01199704
DRC_South,StorageEnergy,2032,264989953.59976333
DRC_South,StorageEnergy,2033,308191618.76293373
DRC_South,StorageEnergy,2034,314751618.76293373
DRC_South,StorageEnergy,2035,321191618.76293373
DRC_South,StorageEnergy,2036,327501618.76293373
DRC_South,StorageEnergy,2037,333691618.76293373
DRC_South,StorageEnergy,2038,339761618.76293373
DRC_South,StorageEnergy,2039,345701618.76293373
