z,z2,y,value
South_Africa,Botswana,2034,600.0
South_Africa,DRC,2035,102.09145179742217
South_Africa,DRC,2036,88.29841694050455
South_Africa,DRC,2037,332.55544849444806
South_Africa,DRC,2038,1071.7091573195228
South_Africa,DRC,2039,799.1624016951145
South_Africa,DRC,2040,23.780008142341142
Mozambique,Zimbabwe,2038,374.57782350370326
Mozambique,Zimbabwe,2039,50.964068119858254
Mozambique,Zambia,2031,580.3294264422109
Mozambique,Zambia,2037,19.6705735577892
Mozambique,Tanzania,2032,400.0
Mozambique,Malawi,2026,600.0
Zimbabwe,Mozambique,2038,374.57782350370326
Zimbabwe,Mozambique,2039,50.964068119858254
Zimbabwe,Botswana,2040,83.91627192542151
Zimbabwe,Zambia,2030,820.0
Botswana,South_Africa,2034,600.0
Botswana,Zimbabwe,2040,83.91627192542151
Botswana,Namibia,2038,55.96712988452577
Botswana,Namibia,2040,90.32277160531463
Namibia,Botswana,2038,55.96712988452577
Namibia,Botswana,2040,90.32277160531463
Namibia,Zambia,2034,243.18923307810834
Namibia,Zambia,2038,66.81076692189166
Namibia,Angola,2030,626.0
Zambia,Mozambique,2031,580.3294264422109
Zambia,Mozambique,2037,19.6705735577892
Zambia,Zimbabwe,2030,820.0
Zambia,Namibia,2034,243.18923307810834
Zambia,Namibia,2038,66.81076692189166
Zambia,Angola,2035,82.89116891093407
Zambia,Angola,2038,44.43016971093074
Zambia,Angola,2039,226.80643813441725
Zambia,Angola,2040,11.170760317630105
Zambia,Malawi,2028,800.0
Zambia,DRC_South,2030,429.90000000000003
Angola,Namibia,2030,626.0
Angola,Zambia,2035,82.89116891093407
Angola,Zambia,2038,44.43016971093074
Angola,Zambia,2039,226.80643813441725
Angola,Zambia,2040,11.170760317630105
Angola,DRC,2033,252.10141947939852
Tanzania,Mozambique,2032,400.0
Tanzania,Malawi,2030,400.0
DRC,South_Africa,2035,102.09145179742217
DRC,South_Africa,2036,88.29841694050455
DRC,South_Africa,2037,332.55544849444806
DRC,South_Africa,2038,1071.7091573195228
DRC,South_Africa,2039,799.1624016951145
DRC,South_Africa,2040,23.780008142341142
DRC,Angola,2033,252.10141947939852
DRC,DRC_South,2030,21.163069797587696
DRC,DRC_South,2034,31.19820238738701
DRC,DRC_South,2035,32.58379087478164
DRC,DRC_South,2036,34.01417463636723
DRC,DRC_South,2037,35.51235395744311
DRC,DRC_South,2038,75.86956788859122
DRC,DRC_South,2040,40.386101963659414
Malawi,Mozambique,2026,600.0
Malawi,Zambia,2028,800.0
Malawi,Tanzania,2030,400.0
DRC_South,Zambia,2030,429.90000000000003
DRC_South,DRC,2030,21.163069797587696
DRC_South,DRC,2034,31.19820238738701
DRC_South,DRC,2035,32.58379087478164
DRC_South,DRC,2036,34.01417463636723
DRC_South,DRC,2037,35.51235395744311
DRC_South,DRC,2038,75.86956788859122
DRC_South,DRC,2040,40.386101963659414
