c,sumhdr,y,value
South_Africa,Generation costs: $m,2025,1.0571604757057063
South_Africa,Generation costs: $m,2026,2.9620495868461703
South_Africa,Generation costs: $m,2027,5.111711531606902
South_Africa,Generation costs: $m,2028,7.384973761386869
South_Africa,Generation costs: $m,2029,9.018631869419288
South_Africa,Generation costs: $m,2030,10.182867139435208
South_Africa,Generation costs: $m,2031,11.290782298814905
South_Africa,Generation costs: $m,2032,12.226645617181465
South_Africa,Generation costs: $m,2033,13.890658506922081
South_Africa,Generation costs: $m,2034,14.829891635657876
South_Africa,Generation costs: $m,2035,15.48249074239363
South_Africa,Generation costs: $m,2036,16.03040962562354
South_Africa,Generation costs: $m,2037,16.115340422772878
South_Africa,Generation costs: $m,2038,16.359231333350507
South_Africa,Generation costs: $m,2039,17.427435099092428
South_Africa,Generation costs: $m,2040,18.754951653516947
South_Africa,Fixed O&M: $m,2025,9.580761133603234
South_Africa,Fixed O&M: $m,2026,9.962700000000007
South_Africa,Fixed O&M: $m,2027,10.42155378486056
South_Africa,Fixed O&M: $m,2028,10.968386587771219
South_Africa,Fixed O&M: $m,2029,11.366398437500008
South_Africa,Fixed O&M: $m,2030,11.604453846153843
South_Africa,Fixed O&M: $m,2031,11.308647727272739
South_Africa,Fixed O&M: $m,2032,10.882947955390335
South_Africa,Fixed O&M: $m,2033,10.115686131386878
South_Africa,Fixed O&M: $m,2034,9.713681954484183
South_Africa,Fixed O&M: $m,2035,9.595018805605596
South_Africa,Fixed O&M: $m,2036,9.458991363030364
South_Africa,Fixed O&M: $m,2037,9.330099786295134
South_Africa,Fixed O&M: $m,2038,9.149334713714339
South_Africa,Fixed O&M: $m,2039,8.726428017503677
South_Africa,Fixed O&M: $m,2040,8.434087048368191
South_Africa,Variable O&M: $m,2025,2.712418219505455
South_Africa,Variable O&M: $m,2026,2.580081860677575
South_Africa,Variable O&M: $m,2027,2.4137058873905466
South_Africa,Variable O&M: $m,2028,2.2503434257158146
South_Africa,Variable O&M: $m,2029,2.099731172463745
South_Africa,Variable O&M: $m,2030,2.022358849251889
South_Africa,Variable O&M: $m,2031,1.9252998419502032
South_Africa,Variable O&M: $m,2032,1.645743438651032
South_Africa,Variable O&M: $m,2033,1.5161607685254557
South_Africa,Variable O&M: $m,2034,1.4247261096430524
South_Africa,Variable O&M: $m,2035,1.3898248001174716
South_Africa,Variable O&M: $m,2036,1.36227403991157
South_Africa,Variable O&M: $m,2037,1.3233276884352771
South_Africa,Variable O&M: $m,2038,1.2642659415572153
South_Africa,Variable O&M: $m,2039,1.1714587058628914
South_Africa,Variable O&M: $m,2040,1.121696157160914
South_Africa,Fuel costs: $m,2025,49.46400978659737
South_Africa,Fuel costs: $m,2026,44.09958549410064
South_Africa,Fuel costs: $m,2027,39.0830175332869
South_Africa,Fuel costs: $m,2028,34.60516872599037
South_Africa,Fuel costs: $m,2029,30.737597796105344
South_Africa,Fuel costs: $m,2030,28.371180444069186
South_Africa,Fuel costs: $m,2031,25.835534641724784
South_Africa,Fuel costs: $m,2032,21.026174203471566
South_Africa,Fuel costs: $m,2033,18.47476894152677
South_Africa,Fuel costs: $m,2034,16.658107021369624
South_Africa,Fuel costs: $m,2035,15.665687640186151
South_Africa,Fuel costs: $m,2036,14.827690252152964
South_Africa,Fuel costs: $m,2037,13.878705170450674
South_Africa,Fuel costs: $m,2038,12.740049545479213
South_Africa,Fuel costs: $m,2039,12.080880707393234
South_Africa,Fuel costs: $m,2040,12.335213818385418
South_Africa,Transmission costs: $m,2034,0.02739220785701891
South_Africa,Transmission costs: $m,2035,0.0415181699247969
South_Africa,Transmission costs: $m,2036,0.052886490746040155
South_Africa,Transmission costs: $m,2037,0.09729386355265951
South_Africa,Transmission costs: $m,2038,0.23709984445341206
South_Africa,Transmission costs: $m,2039,0.3330809237509451
South_Africa,Transmission costs: $m,2040,0.3270959922289675
South_Africa,Unmet country spinning reserve costs: $m,2034,0.001944589160853862
South_Africa,Unmet country spinning reserve costs: $m,2035,0.0017845402591770772
South_Africa,Unmet country spinning reserve costs: $m,2036,0.0007516955479458249
South_Africa,Unmet country spinning reserve costs: $m,2037,0.0038978208709085378
South_Africa,Unmet country spinning reserve costs: $m,2038,0.002287100236696936
South_Africa,Unmet country spinning reserve costs: $m,2039,0.0055565973294850225
South_Africa,Unmet country spinning reserve costs: $m,2040,0.005308260664938764
South_Africa,Unmet country planning reserve costs: $m,2035,0.009066036865045434
South_Africa,Unmet country planning reserve costs: $m,2036,0.05955379224770279
South_Africa,Unmet country planning reserve costs: $m,2037,0.059342446058690865
South_Africa,Unmet country planning reserve costs: $m,2039,0.11743258878136922
South_Africa,Unmet country planning reserve costs: $m,2040,0.20172997979893512
South_Africa,Unmet system planning reserve costs: $m,2034,0.11103979224852323
South_Africa,Unmet system planning reserve costs: $m,2035,0.02827280815516805
South_Africa,Import costs with internal zones: $m,2025,0.07787357319731165
South_Africa,Import costs with internal zones: $m,2026,0.0746831266012523
South_Africa,Import costs with internal zones: $m,2027,0.22681554574844565
South_Africa,Import costs with internal zones: $m,2028,0.23146845026041613
South_Africa,Import costs with internal zones: $m,2029,0.18333883903644643
South_Africa,Import costs with internal zones: $m,2030,0.07262652815207568
South_Africa,Import costs with internal zones: $m,2031,0.16515664400185148
South_Africa,Import costs with internal zones: $m,2032,0.9262361437515708
South_Africa,Import costs with internal zones: $m,2033,1.057452952631733
South_Africa,Import costs with internal zones: $m,2034,1.706330862447782
South_Africa,Import costs with internal zones: $m,2035,1.7186679626521024
South_Africa,Import costs with internal zones: $m,2036,1.6378485678030414
South_Africa,Import costs with internal zones: $m,2037,2.2094948312816514
South_Africa,Import costs with internal zones: $m,2038,3.303815781519563
South_Africa,Import costs with internal zones: $m,2039,4.101489130322939
South_Africa,Import costs with internal zones: $m,2040,4.117417517634417
South_Africa,Export revenues with internal zones: $m,2025,-2.034477271325849
South_Africa,Export revenues with internal zones: $m,2026,-2.1120289560921135
South_Africa,Export revenues with internal zones: $m,2027,-2.7210003825082616
South_Africa,Export revenues with internal zones: $m,2028,-3.310373335886017
South_Africa,Export revenues with internal zones: $m,2029,-3.1061748315625635
South_Africa,Export revenues with internal zones: $m,2030,-3.478276908120343
South_Africa,Export revenues with internal zones: $m,2031,-3.5353011159602623
South_Africa,Export revenues with internal zones: $m,2032,-0.9460092110217418
South_Africa,Export revenues with internal zones: $m,2033,-0.9189801427979167
South_Africa,Export revenues with internal zones: $m,2034,-0.6804635769814525
South_Africa,Export revenues with internal zones: $m,2035,-0.7979560504253135
South_Africa,Export revenues with internal zones: $m,2036,-0.8340585926057201
South_Africa,Export revenues with internal zones: $m,2037,-0.8658506364173046
South_Africa,Export revenues with internal zones: $m,2038,-1.3613875500708155
