z,y,q,d,uni,t,value
Burundi,2026,Q1,d1,Demand,t1,182.1859615955019
Burundi,2026,Q1,d1,Demand,t10,214.84396280124813
Burundi,2026,Q1,d1,Demand,t11,212.4717665799056
Burundi,2026,Q1,d1,Demand,t12,225.49581444668024
Burundi,2026,Q1,d1,Demand,t13,224.6091196407297
Burundi,2026,Q1,d1,Demand,t14,204.95213523469556
Burundi,2026,Q1,d1,Demand,t15,212.0111460892933
Burundi,2026,Q1,d1,Demand,t16,212.98420718406868
Burundi,2026,Q1,d1,Demand,t17,214.74608083711877
Burundi,2026,Q1,d1,Demand,t18,212.5811642193396
Burundi,2026,Q1,d1,Demand,t19,211.37779273748475
Burundi,2026,Q1,d1,Demand,t2,168.18309493807286
Burundi,2026,Q1,d1,Demand,t20,252.7645544661749
Burundi,2026,Q1,d1,Demand,t21,275.49618164654794
Burundi,2026,Q1,d1,Demand,t22,266.83075634536624
Burundi,2026,Q1,d1,Demand,t23,241.3929831801094
Burundi,2026,Q1,d1,Demand,t24,207.5891883019381
Burundi,2026,Q1,d1,Demand,t3,162.52897718946772
Burundi,2026,Q1,d1,Demand,t4,160.70952572698795
Burundi,2026,Q1,d1,Demand,t5,160.59437039167497
Burundi,2026,Q1,d1,Demand,t6,172.13291684305767
Burundi,2026,Q1,d1,Demand,t7,195.35971097286364
Burundi,2026,Q1,d1,Demand,t8,199.45923438843556
Burundi,2026,Q1,d1,Demand,t9,202.0387099297949
Burundi,2026,Q1,d1,Diesel,t1,30.0
Burundi,2026,Q1,d1,Diesel,t10,18.0
Burundi,2026,Q1,d1,Diesel,t11,42.0
Burundi,2026,Q1,d1,Diesel,t12,26.0
Burundi,2026,Q1,d1,Diesel,t13,34.0
Burundi,2026,Q1,d1,Diesel,t14,42.0
Burundi,2026,Q1,d1,Diesel,t15,18.0
Burundi,2026,Q1,d1,Diesel,t16,42.0
Burundi,2026,Q1,d1,Diesel,t17,42.0
Burundi,2026,Q1,d1,Diesel,t18,18.0
Burundi,2026,Q1,d1,Diesel,t19,42.0
Burundi,2026,Q1,d1,Diesel,t2,18.0
Burundi,2026,Q1,d1,Diesel,t20,26.0
Burundi,2026,Q1,d1,Diesel,t21,34.0
Burundi,2026,Q1,d1,Diesel,t22,42.0
Burundi,2026,Q1,d1,Diesel,t23,26.0
Burundi,2026,Q1,d1,Diesel,t24,34.0
Burundi,2026,Q1,d1,Diesel,t3,42.0
Burundi,2026,Q1,d1,Diesel,t4,26.0
Burundi,2026,Q1,d1,Diesel,t5,34.0
Burundi,2026,Q1,d1,Diesel,t6,42.0
Burundi,2026,Q1,d1,Diesel,t7,18.0
Burundi,2026,Q1,d1,Diesel,t8,42.0
Burundi,2026,Q1,d1,Diesel,t9,42.0
Burundi,2026,Q1,d1,PV,t10,4.187743731
Burundi,2026,Q1,d1,PV,t11,5.308599753
Burundi,2026,Q1,d1,PV,t12,5.008370463
Burundi,2026,Q1,d1,PV,t13,4.154991444
Burundi,2026,Q1,d1,PV,t14,3.5854655760000003
Burundi,2026,Q1,d1,PV,t15,3.0168494910000003
Burundi,2026,Q1,d1,PV,t16,2.276283906
Burundi,2026,Q1,d1,PV,t17,1.270970667
Burundi,2026,Q1,d1,PV,t18,0.3374999999999999
Burundi,2026,Q1,d1,PV,t6,0.000909
Burundi,2026,Q1,d1,PV,t7,0.6156
Burundi,2026,Q1,d1,PV,t8,1.962407826
Burundi,2026,Q1,d1,PV,t9,3.079624707
Burundi,2026,Q1,d1,ROR,t1,22.125
Burundi,2026,Q1,d1,ROR,t10,22.125
Burundi,2026,Q1,d1,ROR,t11,22.125
Burundi,2026,Q1,d1,ROR,t12,22.125
Burundi,2026,Q1,d1,ROR,t13,22.125
Burundi,2026,Q1,d1,ROR,t14,22.125
Burundi,2026,Q1,d1,ROR,t15,22.125
Burundi,2026,Q1,d1,ROR,t16,22.125
Burundi,2026,Q1,d1,ROR,t17,22.125
Burundi,2026,Q1,d1,ROR,t18,22.125
Burundi,2026,Q1,d1,ROR,t19,22.125
Burundi,2026,Q1,d1,ROR,t2,22.125
Burundi,2026,Q1,d1,ROR,t20,22.125
Burundi,2026,Q1,d1,ROR,t21,22.125
Burundi,2026,Q1,d1,ROR,t22,22.125
Burundi,2026,Q1,d1,ROR,t23,22.125
Burundi,2026,Q1,d1,ROR,t24,22.125
Burundi,2026,Q1,d1,ROR,t3,22.125
Burundi,2026,Q1,d1,ROR,t4,22.125
Burundi,2026,Q1,d1,ROR,t5,22.125
