z,y,tech,f,value,techfuel
Burundi,2026,Nuclear,Uranium,0.0,Nuclear
Burundi,2026,CCGT,Gas,0.0,Gas
Burundi,2026,CCGT,LNG,0.0,Gas
Burundi,2026,ICE,Gas,0.0,Gas
Burundi,2026,OCGT,Gas,0.0,Gas
Burundi,2026,OCGT,LNG,0.0,Gas
Burundi,2026,ST,Gas,0.0,Gas
Burundi,2026,CCGT_CCS,Gas,0.0,Gas
Burundi,2026,OCGT_CCS,Gas,0.0,Gas
Burundi,2026,ST,Coal,0.0,Coal
Burundi,2026,ST,DomesticCoal,0.0,Coal
Burundi,2026,ST,ImportedCoal,0.0,Coal
Burundi,2026,ST,Lignite,0.0,Coal
Burundi,2026,ST,Geothermal,0.0,Geothermal
Burundi,2026,Geothermal,Geothermal,0.0,Geothermal
Burundi,2026,CCGT,LFO,0.0,Diesel
Burundi,2026,ICE,Diesel,0.0,Diesel
Burundi,2026,ICE,HFO,0.0,Diesel
Burundi,2026,OCGT,LFO,0.0,Diesel
Burundi,2026,OCGT,Diesel,0.0,Diesel
Burundi,2026,OCGT,HFO,0.0,Diesel
Burundi,2026,ST,HFO,0.0,Diesel
Burundi,2026,BiomassPlant,Biomass,0.0,Biomass
Burundi,2026,ST,Biomass,0.0,Biomass
Burundi,2026,ReservoirHydro,Water,0.0,Reservoir
Burundi,2026,ROR,Water,16.0,ROR
Burundi,2026,CSPPlant,CSP,0.0,CSP
Burundi,2026,OffshoreWind,Wind,0.0,Offshore Wind
Burundi,2026,OnshoreWind,Wind,0.0,Onshore Wind
Burundi,2026,PV,Solar,0.0,PV
Burundi,2026,pvwsto,Solar,0.0,PV+Storage
Burundi,2026,STOPV,Solar,0.0,Solar Thermal
Burundi,2026,Storage,Battery,0.0,Battery
Burundi,2026,Storage,Water,0.0,PSH
Burundi,2026,Storage,Pumped,0.0,PSH
Burundi,2026,ImportTransmission,Import,0.0,Imports
Burundi,2026,ST,Peat,0.0,Peat
Burundi,2026,ST,Waste,0.0,Waste
Burundi,2026,Methane,Methane,0.0,Methane
Burundi,2026,CSPPlant,Solar,0.0,Solar
Burundi,2026,RPV,Solar,0.0,Solar
Djibouti,2026,Nuclear,Uranium,0.0,Nuclear
Djibouti,2026,CCGT,Gas,0.0,Gas
Djibouti,2026,CCGT,LNG,0.0,Gas
Djibouti,2026,ICE,Gas,0.0,Gas
Djibouti,2026,OCGT,Gas,0.0,Gas
Djibouti,2026,OCGT,LNG,0.0,Gas
Djibouti,2026,ST,Gas,0.0,Gas
Djibouti,2026,CCGT_CCS,Gas,0.0,Gas
Djibouti,2026,OCGT_CCS,Gas,0.0,Gas
Djibouti,2026,ST,Coal,0.0,Coal
Djibouti,2026,ST,DomesticCoal,0.0,Coal
Djibouti,2026,ST,ImportedCoal,0.0,Coal
Djibouti,2026,ST,Lignite,0.0,Coal
Djibouti,2026,ST,Geothermal,0.0,Geothermal
Djibouti,2026,Geothermal,Geothermal,0.0,Geothermal
Djibouti,2026,CCGT,LFO,0.0,Diesel
Djibouti,2026,ICE,Diesel,0.0,Diesel
Djibouti,2026,ICE,HFO,0.0,Diesel
Djibouti,2026,OCGT,LFO,0.0,Diesel
Djibouti,2026,OCGT,Diesel,0.0,Diesel
Djibouti,2026,OCGT,HFO,0.0,Diesel
Djibouti,2026,ST,HFO,0.0,Diesel
Djibouti,2026,BiomassPlant,Biomass,0.0,Biomass
Djibouti,2026,ST,Biomass,0.0,Biomass
Djibouti,2026,ReservoirHydro,Water,0.0,Reservoir
Djibouti,2026,ROR,Water,0.0,ROR
Djibouti,2026,CSPPlant,CSP,0.0,CSP
Djibouti,2026,OffshoreWind,Wind,0.0,Offshore Wind
Djibouti,2026,OnshoreWind,Wind,0.0,Onshore Wind
Djibouti,2026,PV,Solar,50.0,PV
Djibouti,2026,pvwsto,Solar,0.0,PV+Storage
Djibouti,2026,STOPV,Solar,0.0,Solar Thermal
Djibouti,2026,Storage,Battery,5.0,Battery
Djibouti,2026,Storage,Water,0.0,PSH
Djibouti,2026,Storage,Pumped,0.0,PSH
Djibouti,2026,ImportTransmission,Import,0.0,Imports
Djibouti,2026,ST,Peat,0.0,Peat
Djibouti,2026,ST,Waste,0.0,Waste
Djibouti,2026,Methane,Methane,0.0,Methane
Djibouti,2026,CSPPlant,Solar,0.0,Solar
Djibouti,2026,RPV,Solar,0.0,Solar
Drc_E,2026,Nuclear,Uranium,0.0,Nuclear
Drc_E,2026,CCGT,Gas,0.0,Gas
Drc_E,2026,CCGT,LNG,0.0,Gas
Drc_E,2026,ICE,Gas,0.0,Gas
Drc_E,2026,OCGT,Gas,0.0,Gas
Drc_E,2026,OCGT,LNG,0.0,Gas
Drc_E,2026,ST,Gas,0.0,Gas
Drc_E,2026,CCGT_CCS,Gas,0.0,Gas
Drc_E,2026,OCGT_CCS,Gas,0.0,Gas
Drc_E,2026,ST,Coal,0.0,Coal
Drc_E,2026,ST,DomesticCoal,0.0,Coal
Drc_E,2026,ST,ImportedCoal,0.0,Coal
Drc_E,2026,ST,Lignite,0.0,Coal
Drc_E,2026,ST,Geothermal,0.0,Geothermal
Drc_E,2026,Geothermal,Geothermal,0.0,Geothermal
Drc_E,2026,CCGT,LFO,0.0,Diesel
Drc_E,2026,ICE,Diesel,0.0,Diesel
Drc_E,2026,ICE,HFO,0.0,Diesel
Drc_E,2026,OCGT,LFO,0.0,Diesel
Drc_E,2026,OCGT,Diesel,0.0,Diesel
Drc_E,2026,OCGT,HFO,0.0,Diesel
Drc_E,2026,ST,HFO,0.0,Diesel
Drc_E,2026,BiomassPlant,Biomass,0.0,Biomass
Drc_E,2026,ST,Biomass,0.0,Biomass
Drc_E,2026,ReservoirHydro,Water,0.0,Reservoir
Drc_E,2026,ROR,Water,58.8,ROR
Drc_E,2026,CSPPlant,CSP,0.0,CSP
Drc_E,2026,OffshoreWind,Wind,0.0,Offshore Wind
Drc_E,2026,OnshoreWind,Wind,0.0,Onshore Wind
Drc_E,2026,PV,Solar,0.0,PV
Drc_E,2026,pvwsto,Solar,0.0,PV+Storage
Drc_E,2026,STOPV,Solar,0.0,Solar Thermal
Drc_E,2026,Storage,Battery,0.0,Battery
Drc_E,2026,Storage,Water,0.0,PSH
Drc_E,2026,Storage,Pumped,0.0,PSH
Drc_E,2026,ImportTransmission,Import,0.0,Imports
Drc_E,2026,ST,Peat,0.0,Peat
Drc_E,2026,ST,Waste,0.0,Waste
Drc_E,2026,Methane,Methane,0.0,Methane
Drc_E,2026,CSPPlant,Solar,0.0,Solar
Drc_E,2026,RPV,Solar,0.0,Solar
Egypt,2026,Nuclear,Uranium,0.0,Nuclear
Egypt,2026,CCGT,Gas,0.0,Gas
Egypt,2026,CCGT,LNG,0.0,Gas
Egypt,2026,ICE,Gas,0.0,Gas
Egypt,2026,OCGT,Gas,0.0,Gas
Egypt,2026,OCGT,LNG,0.0,Gas
Egypt,2026,ST,Gas,0.0,Gas
Egypt,2026,CCGT_CCS,Gas,0.0,Gas
Egypt,2026,OCGT_CCS,Gas,0.0,Gas
Egypt,2026,ST,Coal,0.0,Coal
Egypt,2026,ST,DomesticCoal,0.0,Coal
Egypt,2026,ST,ImportedCoal,0.0,Coal
Egypt,2026,ST,Lignite,0.0,Coal
Egypt,2026,ST,Geothermal,0.0,Geothermal
Egypt,2026,Geothermal,Geothermal,0.0,Geothermal
Egypt,2026,CCGT,LFO,0.0,Diesel
Egypt,2026,ICE,Diesel,0.0,Diesel
Egypt,2026,ICE,HFO,0.0,Diesel
Egypt,2026,OCGT,LFO,0.0,Diesel
Egypt,2026,OCGT,Diesel,0.0,Diesel
Egypt,2026,OCGT,HFO,0.0,Diesel
Egypt,2026,ST,HFO,0.0,Diesel
Egypt,2026,BiomassPlant,Biomass,0.0,Biomass
Egypt,2026,ST,Biomass,0.0,Biomass
Egypt,2026,ReservoirHydro,Water,0.0,Reservoir
Egypt,2026,ROR,Water,0.0,ROR
Egypt,2026,CSPPlant,CSP,0.0,CSP
