z,g,tech,f,y,value
Kenya,Lake_Turkana_Wind_Power,OnshoreWind,Wind,2026,0.5431798211789166
Kenya,Gitaru,ROR,Water,2026,0.3921750518686366
Kenya,Kiambere,ROR,Water,2026,0.2387891870332
Kenya,Olkaria_V_,Geothermal,Geothermal,2026,0.9400000000000004
Kenya,Olkaria_I_units_4_&_5,Geothermal,Geothermal,2026,0.94
Kenya,Olkaria_IV,Geothermal,Geothermal,2026,0.9399999999999992
Kenya,Turkwel,ROR,Water,2026,0.7088648067898735
Kenya,Olkaria_II,Geothermal,Geothermal,2026,0.9399999999999972
Kenya,Kipeto_Wind_-_I,OnshoreWind,Wind,2026,0.5431798211789172
Kenya,Olkaria_Mobile_Wellheads___Eburru,Geothermal,Geothermal,2026,0.939999999999998
Kenya,Kamburu,ROR,Water,2026,0.4932328947942672
Kenya,Kindaruma,ROR,Water,2026,0.3608426863577053
Kenya,Orpower_4_(I),Geothermal,Geothermal,2026,0.9399999999999962
Kenya,Sondu,ROR,Water,2026,0.4033390179206187
Kenya,Baringo_Silali__-_Korosi_I,Geothermal,Geothermal,2026,0.9400000000000002
Kenya,Baringo_Silali__-_Paka_I,Geothermal,Geothermal,2026,0.94
Kenya,Olkaria_7,Geothermal,Geothermal,2026,0.94
Kenya,Olkaria_8,Geothermal,Geothermal,2026,0.94
Kenya,Olkaria_Brine,Geothermal,Geothermal,2026,0.9400000000000002
Kenya,Olkaria_Topping,Geothermal,Geothermal,2026,0.9399999999999996
Kenya,Olkaria_VI,Geothermal,Geothermal,2026,0.9400000000000002
Kenya,Menengai_I_Quantum,Geothermal,Geothermal,2026,0.9399999999999988
Kenya,Menengai_I_Sosian,Geothermal,Geothermal,2026,0.94
Kenya,Olkaria_1_B_(Rehabilitated),Geothermal,Geothermal,2026,0.9399999999999988
Kenya,Olkaria_1_Unit_6,Geothermal,Geothermal,2026,0.9399999999999954
Kenya,Generic_Rooftop_2021,RPV,Solar,2026,1.0
Kenya,Generic_Rooftop_2022,RPV,Solar,2026,1.0
Kenya,Generic_Rooftop_2023,RPV,Solar,2026,1.0
Kenya,Generic_Rooftop_2024,RPV,Solar,2026,1.0
Kenya,Generic_Rooftop_2025,RPV,Solar,2026,1.0
Kenya,Generic_Rooftop_2026,RPV,Solar,2026,1.0
Kenya,REA_Garissa_Solar,PV,Solar,2026,0.1204439538406472
Kenya,Olkaria_I_,Geothermal,Geothermal,2026,0.9399999999999968
Kenya,Orpower_4_(II),Geothermal,Geothermal,2026,0.9399999999999996
Kenya,Alten_Kesses_1_Kenya_Ltd,PV,Solar,2026,0.2363550573402966
Kenya,Eldosol-Cedate,PV,Solar,2026,0.2363550573402966
Kenya,Malindi_Solar-_Vateki,PV,Solar,2026,0.2363550573402966
Kenya,Masinga,ROR,Water,2026,0.5039160836371475
Kenya,Orpower_4_(IV),Geothermal,Geothermal,2026,0.889999999999999
Kenya,Mumias_(Biomass),BiomassPlant,Biomass,2026,0.2370456621004566
Kenya,Ngong_Hills_Wind,OnshoreWind,Wind,2026,0.5039812773824992
Kenya,ExistingSmallHydro,ROR,Water,2026,0.3349863013698644
Kenya,Sangoro,ROR,Water,2026,0.5056128120312046
Kenya,Tana,ROR,Water,2026,0.4499646118721477
Kenya,Kwale_Co-Generation_TAnaBiomass,BiomassPlant,Biomass,2026,0.1639497716894977
Kenya,Orpower_4_(III),Geothermal,Geothermal,2026,0.9400000000000022
Burundi,Rusumo_Falls,ReservoirHydro,Water,2026,0.5170958904109593
Burundi,Kirasa-karonge,ROR,Water,2026,0.5198630136986288
Burundi,CTH_30,ICE,Diesel,2026,0.9
Burundi,Rwegura,ReservoirHydro,Water,2026,1.0
Burundi,RUZB_007,ReservoirHydro,Water,2026,0.514876712328767
Burundi,Ruzizi_II,ROR,Water,2026,0.5170958904109613
Burundi,CTH_10,ICE,Diesel,2026,0.9
