country,zone,attribute,resolution,year,RETRADE_P1,baseline
,,NPV of system cost: $m,,,182288.3,179938.0
,,Total Demand: GWh,,,6554168.7,6554168.7
,,Total Generation: GWh,,,6566272.1,6568816.0
,,Total USE: GWh,,,3150.3,3150.2
,,Total Capacity Added: MW,,,55005.2,54383.5
,,Total Emission: mt,,,1536.6,1511.5
Uganda,,Average Total Annual Cost: $m,,,392.5,376.7
Tanzania,,Average Total Annual Cost: $m,,,1061.2,1083.5
Rwanda,,Average Total Annual Cost: $m,,,130.8,114.5
DRC,,Average Total Annual Cost: $m,,,35.8,30.3
Ethiopia,,Average Total Annual Cost: $m,,,1121.5,1241.6
Egypt,,Average Total Annual Cost: $m,,,10415.1,10310.8
Djibouti,,Average Total Annual Cost: $m,,,39.4,23.0
Libya,,Average Total Annual Cost: $m,,,3404.1,3376.9
Sudan,,Average Total Annual Cost: $m,,,1494.5,1240.5
Kenya,,Average Total Annual Cost: $m,,,882.1,851.0
Somalia,,Average Total Annual Cost: $m,,,84.7,75.7
SouthSudan,,Average Total Annual Cost: $m,,,356.2,328.8
Burundi,,Average Total Annual Cost: $m,,,70.6,93.5
DRC,,Average Capex: $m,,,0.0,0.0
Tanzania,,Average Capex: $m,,,34.8,30.7
Rwanda,,Average Capex: $m,,,0.0,0.0
Burundi,,Average Capex: $m,,,20.6,49.3
SouthSudan,,Average Capex: $m,,,10.8,11.2
Sudan,,Average Capex: $m,,,46.2,34.0
Kenya,,Average Capex: $m,,,4.6,4.6
Libya,,Average Capex: $m,,,589.4,589.4
Djibouti,,Average Capex: $m,,,27.7,11.2
Egypt,,Average Capex: $m,,,144.0,138.9
Ethiopia,,Average Capex: $m,,,71.0,71.0
Uganda,,Average Capex: $m,,,0.5,0.5
Somalia,,Average Capex: $m,,,42.2,35.9
Sudan,,Average Annualized capex: $m,,,235.7,208.2
Djibouti,,Average Annualized capex: $m,,,9.4,4.3
Egypt,,Average Annualized capex: $m,,,1881.3,1869.0
Libya,,Average Annualized capex: $m,,,288.7,288.7
SouthSudan,,Average Annualized capex: $m,,,22.5,12.5
DRC,,Average Annualized capex: $m,,,7.3,4.4
Ethiopia,,Average Annualized capex: $m,,,325.0,341.5
Burundi,,Average Annualized capex: $m,,,13.1,19.3
Somalia,,Average Annualized capex: $m,,,15.5,13.3
Rwanda,,Average Annualized capex: $m,,,28.8,22.8
Tanzania,,Average Annualized capex: $m,,,358.8,371.1
Uganda,,Average Annualized capex: $m,,,111.2,105.2
Kenya,,Average Annualized capex: $m,,,241.7,230.7
Burundi,,Average Fixed O&M: $m,,,9.1,13.6
Tanzania,,Average Fixed O&M: $m,,,22.5,21.9
Somalia,,Average Fixed O&M: $m,,,6.3,6.1
Uganda,,Average Fixed O&M: $m,,,16.4,15.6
DRC,,Average Fixed O&M: $m,,,2.6,2.1
SouthSudan,,Average Fixed O&M: $m,,,18.9,19.6
Rwanda,,Average Fixed O&M: $m,,,1.9,1.6
Djibouti,,Average Fixed O&M: $m,,,2.0,0.7
Libya,,Average Fixed O&M: $m,,,261.4,257.6
Sudan,,Average Fixed O&M: $m,,,70.4,64.3
Egypt,,Average Fixed O&M: $m,,,762.3,751.6
Kenya,,Average Fixed O&M: $m,,,118.8,114.5
Ethiopia,,Average Fixed O&M: $m,,,5.7,14.1
Djibouti,,Average Variable O&M: $m,,,8.8,1.5
Sudan,,Average Variable O&M: $m,,,537.7,304.0
Ethiopia,,Average Variable O&M: $m,,,0.0,0.0
Egypt,,Average Variable O&M: $m,,,6241.2,6175.7
Tanzania,,Average Variable O&M: $m,,,67.9,49.5
Uganda,,Average Variable O&M: $m,,,0.0,0.0
DRC,,Average Variable O&M: $m,,,0.0,0.0
Somalia,,Average Variable O&M: $m,,,4.4,0.3
Burundi,,Average Variable O&M: $m,,,4.9,4.9
Rwanda,,Average Variable O&M: $m,,,12.7,11.3
Libya,,Average Variable O&M: $m,,,2031.7,2008.0
Kenya,,Average Variable O&M: $m,,,0.0,0.0
SouthSudan,,Average Variable O&M: $m,,,24.9,23.1
Burundi,,Average Spinning Reserve costs: $m,,,2.4,2.4
DRC,,Average Spinning Reserve costs: $m,,,0.1,0.2
Rwanda,,Average Spinning Reserve costs: $m,,,0.0,0.0
Egypt,,Average Spinning Reserve costs: $m,,,0.0,0.0
Kenya,,Average Spinning Reserve costs: $m,,,0.0,0.0
Sudan,,Average Spinning Reserve costs: $m,,,22.5,22.5
SouthSudan,,Average Spinning Reserve costs: $m,,,167.7,167.7
Somalia,,Average Spinning Reserve costs: $m,,,29.8,29.8
Uganda,,Average Spinning Reserve costs: $m,,,0.0,0.0
Libya,,Average Spinning Reserve costs: $m,,,19.8,19.8
Djibouti,,Average Spinning Reserve costs: $m,,,0.0,0.0
