c,z,y,q,d,t,uni,value
Angola,Angola,2025,Q1,d1,t1,Gas,112.05074043191436
Angola,Angola,2025,Q1,d1,t1,Gas,498.0
Angola,Angola,2025,Q1,d1,t1,Reservoir,960.0
Angola,Angola,2025,Q1,d1,t1,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t1,Demand,1679.772740431914
Angola,Angola,2025,Q1,d1,t2,Gas,750.0
Angola,Angola,2025,Q1,d1,t2,Gas,497.0
Angola,Angola,2025,Q1,d1,t2,Reservoir,214.85302129221984
Angola,Angola,2025,Q1,d1,t2,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t2,Demand,1571.5750212922196
Angola,Angola,2025,Q1,d1,t3,Gas,787.8764596556541
Angola,Angola,2025,Q1,d1,t3,Gas,317.0
Angola,Angola,2025,Q1,d1,t3,Reservoir,318.88448074094333
Angola,Angola,2025,Q1,d1,t3,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t3,Demand,1533.482940396597
Angola,Angola,2025,Q1,d1,t4,Gas,37.87645965565406
Angola,Angola,2025,Q1,d1,t4,Gas,496.0
Angola,Angola,2025,Q1,d1,t4,Reservoir,812.889849143408
Angola,Angola,2025,Q1,d1,t4,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t4,Demand,1456.4883087990618
Angola,Angola,2025,Q1,d1,t5,Gas,398.45221461036687
Angola,Angola,2025,Q1,d1,t5,Gas,344.0
Angola,Angola,2025,Q1,d1,t5,Reservoir,580.0
Angola,Angola,2025,Q1,d1,t5,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t5,Demand,1432.1742146103666
Angola,Angola,2025,Q1,d1,t6,Gas,383.0
Angola,Angola,2025,Q1,d1,t6,Reservoir,911.4910062933668
Angola,Angola,2025,Q1,d1,t6,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t6,Demand,1404.2130062933666
Angola,Angola,2025,Q1,d1,t7,Gas,37.87645965565406
Angola,Angola,2025,Q1,d1,t7,Gas,313.0
Angola,Angola,2025,Q1,d1,t7,Reservoir,924.6285599307856
Angola,Angola,2025,Q1,d1,t7,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t7,PV,5.208
Angola,Angola,2025,Q1,d1,t7,Demand,1390.4350195864397
Angola,Angola,2025,Q1,d1,t8,Gas,787.8764596556541
Angola,Angola,2025,Q1,d1,t8,Gas,317.0
Angola,Angola,2025,Q1,d1,t8,Reservoir,312.87906911833403
Angola,Angola,2025,Q1,d1,t8,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t8,PV,54.6336
