c,z,attribute,y,tech,f,techfuel,g,uni,value
Angola,Angola,CapacityPlant,2025,CCGT,Gas,Gas,Soyo,,750.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Cazenga,,140.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Boa Vista,,131.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT CFL,,125.0
Angola,Angola,CapacityPlant,2025,CCGT,Gas,Gas,CCGT Lobito,,37.87645965565406
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Malembo,,105.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Belem,,50.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Camana,,50.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Morro Bento 2,,50.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Biopo,,27.0
Angola,Angola,CapacityPlant,2025,OCGT,Gas,Gas,CT Viana,,22.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,Huila thermique,,137.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,Namibe thermique,,105.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Cuebe,,50.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,Cunene thermique,,48.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Lunda Sul,,46.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Dundo,,41.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Huambo,,38.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Benfica,,36.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Bie,,34.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Luau,,33.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Chibodo,,31.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Quarteis,,28.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Capoca 2,,20.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Cavaco,,16.0
Angola,Angola,CapacityPlant,2025,ICE,Diesel,Diesel,CD Menongue,,12.0
