attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,0.0
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,5502.368996745241
NetPresentCostSystem,Export revenues with internal zones: $m,-98942.12807053945
NetPresentCostSystem,Fixed O&M: $m,38750.02680122706
NetPresentCostSystem,Fuel costs: $m,53984.44250352771
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,199.53576019231824
NetPresentCostSystem,Import costs with internal zones: $m,104354.71653340136
NetPresentCostSystem,NPV of system cost: $m,143138.0635488721
NetPresentCostSystem,Spinning reserve costs: $m,1178.2488568305196
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-5412.588462861899
NetPresentCostSystem,Transmission costs: $m,240.0746475337624
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet country spinning reserve costs: $m,8.811739497655399
NetPresentCostSystem,Unmet demand costs: $m,0.0
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,6610.97899977506
NetPresentCostSystemPerMWh,Carbon costs: $m,0.0
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,1.0549565060461348
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-18.96994581639437
NetPresentCostSystemPerMWh,Fixed O&M: $m,7.429453187817403
NetPresentCostSystemPerMWh,Fuel costs: $m,10.35031254320781
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0382565306921915
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,20.007688907928948
NetPresentCostSystemPerMWh,NPV of system cost: $m,27.443530503506725
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.2259029334437652
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-1.0377430915345756
NetPresentCostSystemPerMWh,Transmission costs: $m,0.0460289579819689
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.0016894544728159
NetPresentCostSystemPerMWh,Unmet demand costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,1.2675077428054171
